pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_HEPATOCYTE_DIFFERENTIATION	1	0.2499999665528849	1.5066304972443658	1.0	63.7	['CPS1', 'ANXA1', 'HNF4A', 'PROX1', 'ITGA2', 'E2F7', 'PCK2', 'E2F8', 'TAF10', 'FRZB', 'MESP1', 'HNF1B']
GOBP_PHARYNGEAL_SYSTEM_DEVELOPMENT	1	0.24975815165443419	1.5065935787338194	1.0	64.1	['ISL1', 'HES1', 'EDN1', 'NKX3-1', 'EDNRA', 'SIX1', 'BMP5', 'TGFB2', 'BMP4', 'GATA3', 'PLXNA2', 'NOG', 'BMP7', 'TBX1', 'SIX4', 'ECE1', 'EYA1', 'ADGRF5', 'TGFBR1', 'RIPPLY3', 'PTCH1', 'FOLR1', 'HOXA2']
GOBP_GLUTAMATE_BIOSYNTHETIC_PROCESS	1	0.24971589798076207	-1.3552003140470628	1.0	51.12	['GLS', 'GLS2', 'SLC25A12', 'GLUD1', 'GLUD2']
GOBP_POSITIVE_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY	1	0.24962578761369605	-1.3551686242546057	1.0	21.84	['HSP90AB1', 'HSP90AA1', 'NAB2', 'EGR1']
GOBP_CELL_FATE_COMMITMENT_INVOLVED_IN_PATTERN_SPECIFICATION	1	0.24947447161626313	1.5075834027904347	1.0	18.13	['GLI3', 'DMRT3', 'DLL4', 'ASCL1']
GOBP_CHEMOKINE_PRODUCTION	1	0.24907520669862634	1.5095326257472763	1.0	60.88	['CHIA', 'OAS1', 'HMOX1', 'ELANE', 'SELENOK', 'TLR2', 'CLEC7A', 'IL6R', 'IL10', 'LPL', 'FOXP1', 'TREM2', 'HMGB1', 'ADCYAP1', 'AZU1', 'IFNG', 'F2RL1', 'AGER', 'ARG2', 'CD74', 'SIGIRR', 'TLR7', 'MIR590', 'SYK', 'IL7', 'IL1RL1', 'IL1B', 'EPHA2', 'CSF1R', 'MEFV', 'CARD9', 'HIF1A', 'ACKR1', 'MBP', 'MIF', 'CXCL6', 'APOD', 'TNFSF4', 'RIPK2', 'C1QTNF3', 'HAVCR2', 'TWIST1', 'SNAI2', 'TREM1', 'IL6', 'ZFPM1', 'GSTP1', 'IL18', 'TLR9', 'ALOX15B', 'TNF', 'MCOLN2', 'IL33', 'LILRB4', 'SIRPA', 'AIF1', 'WNT5A', 'C5', 'TRPV4', 'TLR4', 'LBP', 'FFAR2', 'KLF4', 'DEFB124', 'CD84']
GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	1	0.2489836866420346	1.508586971200854	1.0	59.68	['NCAPG2', 'CD81', 'CLEC7A', 'CNTN1', 'TREM2', 'FGF7', 'PDGFD', 'EFNA1', 'CD36', 'CD74', 'EPHA7', 'OSM', 'NF2', 'IL6ST', 'TNFRSF14', 'PRKCZ', 'IL34', 'FLT3', 'RIPK2', 'CTF1', 'BST1', 'GHR', 'CRLF1', 'KIT', 'EREG', 'FYN', 'TNFSF18', 'PTPN6', 'ERRFI1', 'CD300A', 'TNF', 'CNTF', 'CASS4', 'CSF3', 'CD40', 'ANGPT1', 'ZGPAT', 'CCL5', 'PLCG2', 'CD80', 'SAMSN1', 'FGFR3', 'FCGR1A', 'HSF1', 'PDGFC', 'IL12A', 'HBEGF', 'IL24', 'AGT', 'ITGB2', 'TP53', 'EPHA4', 'CLEC6A', 'IL22RA2', 'ADRA2A', 'HPX', 'GREM1', 'ITGB3', 'SEMA4D', 'CD3E', 'LILRA5', 'YES1', 'IL31RA', 'SRCIN1', 'TNK2', 'NOX4', 'ALKAL2', 'SOCS4', 'CAV1', 'CSPG4', 'MVP', 'ADORA1', 'CADM4', 'DOCK3', 'NRG1', 'GHRL', 'SH3BP5', 'IFNG', 'THBS4', 'RAP2B', 'BTC', 'THY1', 'CD24', 'IL11', 'IL7', 'RACK1', 'CSF1R', 'CD44', 'IL15', 'CSF2', 'BANK1', 'PDGFA', 'GPRC5B', 'TNFRSF18', 'TMEM102', 'SFRP2', 'VEGFA', 'IL18', 'IGF1', 'HCLS1', 'ALKAL1', 'ACE', 'LRP8', 'SOCS1', 'HGF', 'GPRC5A', 'LIF', 'AFAP1L2', 'SHC1', 'ISL1', 'SPINK1', 'SOCS3', 'DLG3', 'HYAL2', 'ITGA5', 'PECAM1', 'VTN', 'SYK', 'PTK2B', 'EFNA5', 'DLG4', 'ERBB3', 'LRP4', 'WNT3A', 'GAS6', 'DGKQ', 'DOK7', 'PTK6', 'MIF', 'HAX1', 'PTPRC', 'SFRP1', 'GFRA1', 'ENPP2', 'EGF', 'NEURL1', 'NCF1', 'CD4', 'BMP6', 'AREG', 'IL6', 'ZFYVE28', 'ERBB4', 'MIR106B', 'STAP1', 'LILRB4', 'RELN', 'IGF2', 'MIR221', 'NEDD9']
GOBP_SKELETAL_SYSTEM_MORPHOGENESIS	1	0.2489646065820233	1.5093654867117163	1.0	85.6	['LRP5', 'ARID5B', 'HOXB2', 'MTHFD1', 'HOXB3', 'SATB2', 'WNT7A', 'HOXB4', 'FGFR2', 'FOXC1', 'CITED2', 'COL3A1', 'ZFAND5', 'CHAD', 'COL1A1', 'PSEN1', 'DCANP1', 'ALX3', 'SKI', 'HOXB7', 'DLX5', 'CHSY1', 'ACVR2B', 'PDGFRA', 'TIPARP', 'GHR', 'HYAL1', 'HOXD4', 'CTNNB1', 'SP5', 'PAX5', 'TBX1', 'SPEF2', 'SIX4', 'CSRNP1', 'EYA1', 'TFAP2A', 'TGFBR1', 'ATG9A', 'AXIN2', 'HOXD8', 'BARX2', 'PKD1', 'FGFR3', 'SMAD3', 'HOXD10', 'PRKRA', 'STC1', 'IFT80', 'HOXA5', 'WWOX', 'ANKRD11', 'SOX5', 'PHOSPHO1', 'FLVCR1', 'HOXC11', 'MMP14', 'GREM1', 'THBS3', 'TBX15', 'FGR', 'LTF', 'HOXC9', 'ROR2', 'DLG1', 'EXT2', 'SOX9', 'SMPD3', 'SCX', 'WNT10B', 'HOXD3', 'BMP1', 'COL11A1', 'SOX6', 'OSR2', 'RUNX2', 'HOXD9', 'PPARGC1B', 'SMAD2', 'PCGF2', 'FOXN3', 'HOXC8', 'HOXB9', 'HOXB8', 'P2RX7', 'FREM1', 'SOX11', 'MED12', 'GLI3', 'GLG1', 'RARB', 'THRA', 'RFLNB', 'HOXB5', 'RYK', 'INPPL1', 'HOXA6', 'RAB33B', 'COL27A1', 'COMP', 'RARA', 'TMEM119', 'MDFI', 'MMP13', 'FOXC2', 'EIF4A3', 'WDR19', 'TBX4', 'MMP2', 'SLC39A3', 'RARG', 'SGPL1', 'TMEM107', 'BMP4', 'FMN1', 'MSX1', 'SERPINH1', 'FGF18', 'NOG', 'HOXC4', 'POR', 'RFLNA', 'HOXA4', 'NLE1', 'IHH', 'EXT1', 'FGFR1', 'BMP7', 'CSGALNACT1', 'TWIST1', 'RAB23', 'SFRP2', 'MSX2', 'MGP', 'BMPR1B', 'SFRP4', 'FUZ', 'ALPL', 'HOXA1', 'TRPV4', 'PLEKHA1', 'PRRX1', 'MTHFD1L', 'ALX1', 'MEGF8', 'HAS2', 'HYAL2', 'HOXB6', 'INSIG1', 'HHIP', 'IRX5', 'ZEB1', 'TGFB3', 'NDST1', 'IFT140', 'DSCAML1', 'SHOX2', 'SIX2', 'SIX1', 'ANXA6', 'OSR1', 'HOXA3', 'SETD2', 'CYP26B1', 'RDH10', 'TSKU', 'LTBP3', 'HOXA7', 'GRHL2', 'TGFBR2', 'SFRP1', 'ATG9B', 'NIPBL', 'CHST11', 'BMP6', 'LRP5L', 'ACP5', 'MEF2C', 'TIFAB', 'MEF2D', 'SLC39A1', 'COL13A1', 'HOXA11', 'NAB1', 'DHRS3', 'HOXA2']
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	1	0.24893545847430285	1.5083579532677094	1.0	23.93	['TCF21', 'IRX1', 'LIF', 'AGTR2', 'OSR1', 'FOXD1', 'PAX8', 'RET', 'WNT4', 'SALL1', 'PDGFRA', 'SMO', 'LGR4', 'IRX2', 'WT1']
GOBP_CARDIAC_SEPTUM_DEVELOPMENT	1	0.24887078575705338	1.5091939047693368	1.0	17.47	['GATA6', 'ANK2', 'ROBO2', 'SOX11', 'PAX8', 'ISL1', 'PDE2A', 'NDST1', 'APLNR', 'PROX1', 'BMP5', 'SLIT2', 'SALL1', 'LRP2', 'HEG1', 'TGFB2', 'LMO4', 'GATA3', 'DNAH11', 'CHD7', 'NOG', 'SLIT3', 'SALL4', 'SMO', 'TBX5', 'TBX2', 'WNT5A', 'NOS3', 'MIR17HG']
