pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_LEISHMANIA_INFECTION	1	0.2499949865242435	-1.2477916703363285	1.0	72.41	['NCF2', 'ELK1', 'TLR2', 'HLA-DMA', 'FCGR1A', 'IRAK1', 'IL10', 'RELA', 'MYD88', 'NCF4', 'MAPK1', 'IRAK4', 'STAT1', 'TAB1', 'FCGR2C', 'NFKB1', 'IFNG', 'TGFB3', 'ITGB2', 'TGFB1', 'ITGAM', 'MAPK11', 'IL1A', 'HLA-DOA', 'IL1B', 'IFNGR2', 'JAK1', 'IFNGR1', 'HLA-DRB1', 'FCGR3B', 'MAPK12', 'HLA-DQA2', 'MAP3K7', 'ITGA4', 'MAPK14', 'TRAF6', 'MAPK13', 'HLA-DRA', 'FOS', 'JUN', 'HLA-DRB5', 'MAPK3', 'C3', 'NFKBIB', 'PTGS2', 'PTPN6', 'NCF1', 'FCGR2A', 'JAK2', 'TAB2', 'HLA-DPA1', 'TNF', 'NFKBIA', 'HLA-DMB', 'FCGR3A', 'HLA-DOB', 'ITGB1', 'HLA-DPB1']
KEGG_VIRAL_MYOCARDITIS	1	0.24432718107297358	-1.2573372673109335	1.0	67.23	['CXADR', 'MYH10', 'HLA-DMA', 'CASP9', 'SGCB', 'MYH11', 'HLA-E', 'EIF4G3', 'CASP3', 'RAC3', 'HLA-B', 'DMD', 'ABL1', 'DAG1', 'MYH14', 'ITGB2', 'ACTG1', 'ICAM1', 'ABL2', 'RAC2', 'CASP8', 'HLA-DOA', 'HLA-G', 'BID', 'HLA-F', 'ACTB', 'RAC1', 'HLA-C', 'HLA-DQA2', 'EIF4G1', 'CCND1', 'MYH3', 'HLA-DRA', 'MYH9', 'FYN', 'HLA-A', 'ITGAL', 'CD86', 'CD55', 'SGCD', 'HLA-DPA1', 'EIF4G2', 'HLA-DMB', 'HLA-DOB', 'CD40', 'HLA-DPB1', 'CAV1', 'CD80']
KEGG_BLADDER_CANCER	1	0.23761928768847368	-1.267689692602503	1.0	55.33	['THBS1', 'E2F3', 'NRAS', 'BRAF', 'MAPK1', 'RB1', 'RAF1', 'CDKN1A', 'DAPK3', 'VEGFB', 'MAP2K2', 'TP53', 'TYMP', 'MMP2', 'DAPK1', 'MDM2', 'CDH1', 'RASSF1', 'EGFR', 'ERBB2', 'CCND1', 'CDK4', 'EGF', 'MAPK3', 'RPS6KA5', 'VEGFA', 'ARAF', 'MAP2K1', 'KRAS', 'MYC']
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.21038080623225902	1.3580555011191089	1.0	37.12	['UGT1A10', 'UGT1A6', 'UGT2B4', 'UGT2B7', 'UGT1A8', 'UGT1A9', 'UGT1A1', 'MIOX', 'UGT2B15', 'UGT1A7', 'UGT1A4']
KEGG_FATTY_ACID_METABOLISM	1	0.19347146261215978	-1.3243812119818539	1.0	68.62	['ACADM', 'ACSL1', 'ALDH2', 'GCDH', 'ALDH1B1', 'ACAT1', 'ACADSB', 'ACADS', 'ACAT2', 'ACSL4', 'ECI1', 'ECI2', 'CPT1A', 'HADHA', 'ACADVL', 'ALDH7A1', 'ALDH3A2', 'ADH6', 'ACSL3', 'ECHS1', 'HADH', 'HADHB', 'ADH5', 'ACAA1', 'ALDH9A1', 'ADH7', 'ACOX3', 'ACOX1', 'ACSL5', 'EHHADH', 'ADH1C', 'CPT2', 'ACAA2']
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.1842209192225818	-1.3396183253862364	1.0	63.22	['CUL1', 'SMAD3', 'PPP2CB', 'PPP2CA', 'THBS1', 'MYC', 'MAPK1', 'CREBBP', 'BMP8B', 'SMAD4', 'ACVRL1', 'TGFB3', 'SMURF2', 'THBS4', 'TGFB1', 'ROCK2', 'GDF7', 'RBL2', 'EP300', 'SMURF1', 'BMP4', 'SMAD5', 'CHRD', 'E2F4', 'SMAD7', 'THBS3', 'SMAD1', 'ROCK1', 'THBS2', 'SMAD6', 'RBX1', 'E2F5', 'RHOA', 'TGFBR2', 'ACVR2B', 'GDF5', 'ID2', 'BMP7', 'BMPR2', 'BMPR1A', 'SP1', 'MAPK3', 'RPS6KB1', 'PITX2', 'BMP8A', 'TFDP1', 'SKP1', 'BMPR1B', 'RPS6KB2', 'TNF', 'DCN', 'PPP2R1A', 'ACVR1', 'ACVR2A', 'TGFBR1', 'ZFYVE9', 'RBL1', 'SMAD2', 'ZFYVE16', 'PPP2R1B']
KEGG_ALZHEIMERS_DISEASE	1	0.18262850940153613	-1.3447696481572877	1.0	88.24	['PLCB2', 'CACNA1F', 'NDUFB5', 'CAPN1', 'CASP9', 'MAPK1', 'NDUFV3', 'PLCB3', 'COX7A2', 'COX6A1', 'ITPR3', 'TNFRSF1A', 'NAE1', 'NDUFS7', 'COX8A', 'MT-CO1', 'CYCS', 'NDUFS8', 'NDUFS1', 'CALM3', 'NDUFB10', 'PSEN1', 'UQCRH', 'NDUFB2', 'APOE', 'COX6B1', 'UQCRC1', 'CYC1', 'NDUFB1', 'PPP3CB', 'COX4I1', 'GRIN2D', 'COX7C', 'NDUFA9', 'GAPDH', 'COX6B2', 'TNF', 'MME', 'NDUFA1', 'COX7A1', 'NDUFC1', 'ITPR2', 'NDUFA4', 'LPL', 'PLCB4', 'CASP3', 'NDUFS6', 'CALML5', 'PSEN2', 'CASP8', 'COX7B', 'APP', 'BAD', 'HSD17B10', 'APBB1', 'NDUFB7', 'NCSTN', 'ADAM10', 'COX4I2', 'BACE1', 'ATP2A2', 'NDUFB3', 'MAPT', 'APH1A', 'PPP3CC', 'COX5B', 'NDUFS5', 'ERN1', 'PPP3CA', 'ATF6', 'CASP7', 'CDK5', 'COX7A2L', 'UQCR10', 'NDUFA10', 'NDUFA8', 'COX6C', 'NDUFS4', 'CACNA1C', 'CHP2', 'NDUFS2', 'CALM2', 'NDUFA7', 'CDK5R1', 'IL1B', 'NDUFB8', 'NDUFA2', 'ATP2A3', 'UQCRFS1', 'PPP3R1', 'IDE', 'LRP1', 'MT-CYB', 'NDUFA4L2', 'CHP1', 'CACNA1D', 'COX5A', 'GRIN1', 'NDUFA5', 'APAF1', 'GNAQ', 'NDUFV2', 'UQCRC2', 'UQCR11', 'CAPN2', 'NDUFC2', 'ITPR1', 'SDHC', 'ADAM17', 'MT-CO3', 'NDUFA3', 'ATP2A1', 'NDUFS3', 'CALM1', 'NDUFA6', 'FADD', 'MT-CO2', 'NDUFAB1', 'BID', 'EIF2AK3', 'SDHD', 'MT-ATP8', 'UQCRQ', 'PSENEN', 'BACE2', 'SDHB', 'NDUFB6', 'NDUFB9', 'FAS', 'MAPK3', 'MT-ATP6', 'UQCRB', 'NDUFV1', 'GSK3B', 'COX7B2', 'NDUFB4', 'UQCRHL']
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.1811462444381194	-1.3495702293230754	1.0	57.79	['ITK', 'NCF2', 'CDC42', 'GNAI3', 'GNAI1', 'F11R', 'PRKCA', 'VCL', 'CLDN23', 'JAM3', 'CLDN1', 'PXN', 'MYL12B', 'RAPGEF4', 'ACTN1', 'PIK3CA', 'PLCG1', 'VCAM1', 'VAV2', 'PECAM1', 'ITGB2', 'EZR', 'ROCK2', 'CTNNA1', 'ACTG1', 'PTK2B', 'ICAM1', 'ITGAM', 'CYBB', 'ARHGAP35', 'PIK3CB', 'MMP2', 'GNAI2', 'PIK3CD', 'AFDN', 'RAPGEF3', 'MSN', 'MYL12A', 'VASP', 'CLDN4', 'RAC1', 'ACTB', 'ROCK1', 'MAPK12', 'PTPN11', 'RASSF5', 'PIK3CG', 'RHOA', 'ITGA4', 'MAPK14', 'MAPK13', 'VAV3', 'ARHGAP5', 'CLDN22', 'ITGAL', 'SIPA1', 'PIK3R2', 'BCAR1', 'CTNNB1', 'RAP1A', 'RAP1B', 'MYL9', 'ACTN4', 'CTNND1', 'OCLN', 'CLDN7', 'VAV1', 'ITGB1', 'CLDN16', 'PLCG2']
KEGG_SMALL_CELL_LUNG_CANCER	1	0.16652509781627262	-1.3736254974712347	1.0	60.11	['APAF1', 'ITGA6', 'CASP9', 'TRAF4', 'BIRC2', 'AKT2', 'RARB', 'RELA', 'E2F3', 'FN1', 'CCNE1', 'RB1', 'MAX', 'NFKB1', 'PIK3CA', 'CDKN1B', 'PIAS1', 'TP53', 'BIRC3', 'BCL2L1', 'LAMC2', 'PIK3CB', 'COL4A1', 'SKP2', 'PIK3CD', 'CCNE2', 'AKT3', 'CDK2', 'XIAP', 'AKT1', 'CHUK', 'TRAF2', 'PIAS3', 'PIAS4', 'IKBKB', 'PIK3CG', 'ITGA2B', 'CCND1', 'TRAF6', 'FHIT', 'CDK4', 'LAMB3', 'PTGS2', 'PIK3R2', 'CKS1B', 'LAMA4', 'ITGA2', 'RXRA', 'LAMB1', 'COL4A2', 'TRAF3', 'RXRB', 'TRAF5', 'ITGA3', 'ITGB1', 'LAMA3', 'LAMB2', 'MYC', 'TRAF1', 'LAMC1']
KEGG_SPHINGOLIPID_METABOLISM	1	0.1572817398597484	-1.3899045543956992	1.0	26.21	['GALC', 'SMPD4', 'ACER3', 'SPTLC2', 'KDSR', 'NEU3', 'SPTLC1', 'PLPP3', 'GBA', 'UGCG', 'SGPP2', 'SGPL1', 'DEGS1', 'SGMS2', 'GLB1', 'ASAH2']
