pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	4	2.231748122406695e-11	0.5	0.251984126984127	['HNRNPK', 'AQR', 'SF3B3', 'RBM22', 'PRPF8', 'TCERG1', 'DDX42', 'PRPF38B', 'PLRG1', 'DDX23', 'SLU7', 'SF3B1', 'DDX46', 'SF3A1', 'CHERP', 'SF3B2', 'HNRNPM', 'SNRNP27', 'CDC40', 'RBMX', 'SNRNP200', 'SF3A3', 'SRSF10', 'EFTUD2', 'DDX5', 'RBM25', 'TRA2B', 'PRPF40A', 'U2AF2', 'THOC2', 'HNRNPU', 'U2SURP', 'SNRNP40', 'DHX8', 'SRSF4', 'DHX15']
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	4	3.44184276850341e-11	0.5	0.23846153846153847	['CUL5', 'UBE2G1', 'HERC2', 'WWP1', 'BIRC2', 'UBE4A', 'CUL2', 'FBXW11', 'UBE3A', 'CUL4A', 'UBE2Z', 'PIAS1', 'ITCH', 'NEDD4', 'DDB1', 'CDC23', 'BIRC6', 'XIAP', 'FZR1', 'TRAF6', 'UBE2D2', 'CUL7', 'UBE4B', 'ANAPC4', 'UBA3', 'UBE2D3', 'UBE2H', 'CUL3', 'UBR5', 'ANAPC5', 'FBXW8', 'HERC1', 'VHL', 'HERC4', 'UBE3C', 'CUL4B', 'TRIP12', 'CDC27', 'ANAPC1', 'HUWE1']
KEGG_RIBOSOME	1	3.0449099861041444e-10	0.125	0.2823529411764706	['RPLP0', 'RPL35A', 'RPL19', 'RPL30', 'RPS27', 'RPL36A', 'FAU', 'RPL14', 'RPL15', 'RPS15', 'RPS25', 'RPS27A', 'RPS27L', 'RPL3', 'RPS24', 'RPSA', 'RPL23', 'UBA52', 'RPL26', 'RPL29', 'RPS13', 'RPL11', 'RPS12', 'RPL37A']
KEGG_ENDOMETRIAL_CANCER	4	3.5512518815676743e-06	0.5	0.30102040816326525	['CTNNB1', 'MLH1', 'CDH1', 'RAF1', 'CTNNA1', 'GSK3B', 'SOS2', 'PDPK1', 'AKT2', 'BRAF', 'PIK3CB', 'PTEN', 'SOS1', 'GRB2', 'TCF7L2', 'APC', 'PIK3CA']
KEGG_RENAL_CELL_CARCINOMA	4	1.1899826616677611e-05	0.5	0.23550724637681159	['AKT2', 'BRAF', 'CREBBP', 'SOS1', 'CUL2', 'GRB2', 'PIK3CA', 'ARNT', 'RAF1', 'TGFB1', 'PIK3CB', 'PAK1', 'EP300', 'PTPN11', 'SOS2', 'GAB1', 'RAP1A', 'VHL', 'PAK2']
KEGG_ACUTE_MYELOID_LEUKEMIA	4	2.0139577087346834e-05	0.5	0.25	['STAT3', 'RAF1', 'STAT5B', 'GRB2', 'SOS2', 'MTOR', 'AKT2', 'RELA', 'BRAF', 'PIK3CB', 'RUNX1', 'SOS1', 'NFKB1', 'RPS6KB1', 'TCF7L2', 'PIK3CA']
KEGG_WNT_SIGNALING_PATHWAY	4	2.8217273816580806e-05	0.5	0.16111111111111112	['SMAD3', 'PPP2CB', 'CREBBP', 'SMAD4', 'FBXW11', 'ROCK2', 'MAPK8', 'SENP2', 'CHD8', 'EP300', 'CSNK2A1', 'PSEN1', 'APC', 'ROCK1', 'CSNK1A1', 'PPP3CB', 'CTNNB1', 'PRKACA', 'GSK3B', 'NFAT5', 'NLK', 'LRP6', 'TBL1XR1', 'DAAM1', 'TCF7L2']
KEGG_ERBB_SIGNALING_PATHWAY	4	3.2671767745169894e-05	0.5	0.21296296296296297	['STAT5B', 'AKT2', 'BRAF', 'SOS1', 'GRB2', 'PIK3CA', 'RAF1', 'MAPK8', 'ABL2', 'PIK3CB', 'PAK1', 'MAP2K4', 'NCK2', 'RPS6KB1', 'SOS2', 'GAB1', 'GSK3B', 'MTOR', 'PAK2', 'PTK2']
KEGG_COLORECTAL_CANCER	4	5.882273835413035e-05	0.5	0.22916666666666666	['CTNNB1', 'MLH1', 'RAF1', 'SMAD3', 'APPL1', 'TGFB1', 'GSK3B', 'MAPK8', 'AKT2', 'BRAF', 'PIK3CB', 'MSH6', 'SMAD4', 'TCF7L2', 'APC', 'PIK3CA']
KEGG_ADHERENS_JUNCTION	4	6.270113696803953e-05	0.5	0.20652173913043478	['CTNNB1', 'CDH1', 'IQGAP1', 'SMAD3', 'CTNNA1', 'FARP2', 'CTNND1', 'TJP1', 'FER', 'NLK', 'CREBBP', 'AFDN', 'EP300', 'SMAD4', 'CSNK2A1', 'TCF7L2']
