pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_ACETYL_COA_METABOLIC_PROCESS	1	0.24846369414288683	1.3729459954527397	1.0	56.65	['PPCS', 'PMVK', 'DIP2A', 'NUDT7', 'DLST', 'DLAT', 'HMGCS1', 'PDK4', 'PIPOX', 'ACLY', 'ACACA', 'PDK2', 'PDHX', 'PDHB', 'PDK3', 'MVK', 'PDHA1', 'AASS', 'DLD', 'MLYCD', 'MPC2', 'ACSS2', 'HMGCS2', 'ACACB']
GOBP_NEGATIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	1	0.24811612321257542	1.3734440277834228	1.0	43.74	['DMTN', 'SPRY2', 'SMAD7', 'EIF4G1', 'PARD3', 'CALM3', 'CALM2', 'CALM1', 'SPRED1', 'INPP5K', 'SPRED2']
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	1	0.2472418421634605	1.3744055973353984	1.0	37.99	['NIFK', 'RPL7L1', 'ZNHIT6', 'ZNHIT3', 'FTSJ3', 'WDR12', 'URB1', 'DDX18', 'NOL9', 'RPF2']
GOBP_REGULATION_OF_PROTEIN_K48_LINKED_UBIQUITINATION	1	0.24690531370760888	1.3750064026099842	1.0	31.25	['TRIM44', 'NMI', 'BIRC2', 'GABARAP']
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	1	0.24690182858803922	1.3748926759640208	1.0	51.0	['EIF3D', 'MIF4GD', 'SLBP', 'EIF4G1', 'NCK1']
GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS	1	0.24654081149108661	1.375506668587089	1.0	56.58	['GMPS', 'KDM1A', 'PPAT', 'PAICS', 'PRPS1', 'DPYD', 'GDA', 'GMPR2', 'XDH', 'SHMT2', 'GMPR', 'SHMT1', 'HPRT1', 'GART', 'ADA']
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	1	0.24640444420721086	1.376004470155141	1.0	10.7	['SUPV3L1', 'TRNT1', 'PNPT1']
GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS	1	0.24636594521596042	1.3761644609149266	1.0	60.17	['NANS', 'MGAT1', 'GSK3A', 'GFPT1', 'AMDHD2', 'DPM1', 'MPI', 'UGP2', 'UGGT2', 'PMM1', 'PMM2', 'UXS1', 'PARG', 'PGM3', 'TGDS', 'UAP1', 'SLC35A3', 'UGGT1', 'DPAGT1', 'EXTL2', 'GNE', 'GALT', 'GMPPB', 'FUT8', 'UGDH']
GOBP_REGULATION_OF_MITOCHONDRIAL_FISSION	1	0.24634742658676445	1.3763112252957501	1.0	69.64	['RALA', 'PINK1', 'DDHD2', 'LRRK2', 'TMEM135', 'MYO19', 'MIEF2', 'KDR', 'MIEF1', 'DNM1L', 'PPARG', 'MFF', 'VPS35', 'STAT2', 'MCU', 'MUL1', 'INF2', 'SPIRE1', 'DDHD1', 'PGAM5', 'DCN', 'MAPT', 'RALBP1', 'FIS1']
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	1	0.24627727844594371	1.3760027750117052	1.0	34.13	['CREB3', 'PTPN1', 'SGTA', 'USP25', 'DNAJB9', 'NR1H2', 'USP14', 'OPA1', 'TMBIM6', 'BCL2L1', 'PPP1R15B', 'UBXN1', 'NCK1', 'UFL1', 'NCK2', 'HSPA5', 'ATF6B', 'SVIP', 'TXNDC12', 'PPP1R15A', 'LPCAT3', 'DDRGK1']
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS	1	0.24617707320047763	1.3759740623546062	1.0	71.2	['ST3GAL4', 'ST6GALNAC3', 'PIGZ', 'PIGN', 'PIGA', 'LARGE1', 'PIGC', 'PIGV', 'A4GALT', 'ST6GALNAC6', 'B4GALT5', 'GAL3ST4', 'PGAP2', 'B4GALT4', 'PGAP3', 'FA2H', 'GBGT1', 'ST8SIA4', 'MPPE1', 'DPM1', 'ST3GAL5', 'PIGL', 'B4GALT6', 'UGT8', 'SCCPDH', 'ST6GALNAC5', 'ST3GAL2', 'PIGO', 'B4GALNT1', 'B4GALT3', 'PIGH', 'B3GALT4', 'PIGK', 'PIGQ', 'CWH43', 'PIGB', 'UGCG', 'PIGY', 'PIGW', 'PIGS', 'ST8SIA6', 'PIGM', 'ST8SIA1', 'PIGG', 'B3GNT5', 'PIGF', 'PRKAA1', 'ST3GAL3', 'PIGU', 'PGAP1', 'PIGT', 'PIGX', 'TM9SF2', 'B3GALT2']
GOBP_REGULATION_OF_PROTEIN_GLYCOSYLATION	1	0.2460792084621903	1.3769765867629993	1.0	40.69	['FKTN', 'ALG10B', 'TMEM59', 'MT3', 'CHP1', 'POMT1', 'POMT2', 'ARFGEF1', 'ACER2', 'GOLGA2']
