pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_PURINE_METABOLISM	1	0.22074083775091227	1.3350806563732034	1.0	70.95	['NUDT5', 'NT5C', 'POLR2C', 'PNPT1', 'PDE6B', 'POLD1', 'ADCY3', 'PRUNE1', 'ITPA', 'PDE2A', 'POLR2A', 'POLR3B', 'PDE1B', 'PDE9A', 'GDA', 'PRIM1', 'POLA1', 'NPR1', 'DCK', 'GMPR2', 'POLR3H', 'NT5C3A', 'POLR1E', 'POLD4', 'GMPR', 'ADCY7', 'CANT1', 'PDE4A', 'POLA2', 'POLR2H', 'NPR2', 'PAICS', 'PRPS1', 'ENTPD5', 'POLR3G', 'PDE8B', 'RRM2B', 'ADCY1', 'POLR2E', 'ADCY6', 'POLR1C', 'IMPDH2', 'PKM', 'POLR2J3', 'POLR1B', 'PAPSS1', 'POLR2G', 'RRM1', 'POLR1A', 'POLE3', 'AMPD3', 'PAPSS2', 'ATIC', 'PDE5A', 'POLR3GL', 'PDE1C', 'POLR3D', 'ADSL', 'POLR2D', 'POLR3A', 'PDE6D', 'ADCY9', 'ENPP3', 'POLR2B', 'POLR2J2', 'ADCY4', 'GUCY2C', 'NME5', 'POLD2', 'NUDT9', 'PDE3B', 'POLR3C', 'AMPD2', 'DGUOK', 'PNP', 'POLE', 'POLE2', 'AK2', 'POLR3F', 'ADA', 'AK7', 'POLR3K', 'FHIT', 'POLD3', 'PDE7A', 'ENPP1', 'POLR2L', 'ENTPD4', 'ENTPD6', 'PDE4B', 'PDE7B', 'GMPS', 'PDE4D', 'PPAT', 'PDE3A', 'ADK', 'GART', 'NT5C1A', 'ENTPD1', 'POLR1D', 'XDH', 'NT5E', 'NME4', 'NT5C2', 'ENTPD3', 'PRPS2', 'NME7', 'NME6', 'PDE8A', 'PFAS', 'ADPRM', 'HPRT1', 'PRIM2']
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.19308744126004207	1.3716818636972024	1.0	56.3	['ARPC1A', 'TUBA1A', 'CDC42', 'TUBB6', 'PRKCA', 'CTTN', 'CLDN1', 'ARHGEF2', 'ARPC2', 'ARPC1B', 'YWHAZ', 'ABL1', 'EZR', 'ROCK2', 'ACTG1', 'NCK1', 'TLR5', 'ACTB', 'CDH1', 'NCK2', 'NCL', 'WASL', 'ROCK1', 'TUBA1B', 'KRT18', 'RHOA', 'TUBB', 'FYN', 'CTNNB1', 'TUBA4A', 'YWHAQ', 'OCLN', 'ARPC4', 'TUBA1C', 'TLR4', 'ARPC3', 'ITGB1']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.18897772823733683	1.3809005511744081	1.0	36.97	['PPP3CA', 'AKT2', 'RELA', 'NRAS', 'MAPK1', 'CBLC', 'SOS1', 'NFKB1', 'GRB2', 'PIK3CA', 'VAV2', 'RAF1', 'TEC', 'PDPK1', 'PAK6', 'MAP2K2', 'PAK4', 'PIK3CB', 'PIK3CD', 'PAK1', 'MAPK9', 'NCK1', 'CHUK', 'NCK2', 'MALT1', 'CBLB', 'IKBKB', 'MAP3K7', 'DLG1', 'PPP3R1', 'MAPK14', 'PPP3CB', 'BCL10', 'NFATC3', 'MAPK13', 'JUN', 'RHOA', 'MAPK3', 'SOS2', 'PIK3R2', 'CBL', 'MAP2K7', 'GSK3B', 'NFAT5', 'MAP2K1', 'PAK2', 'MAP3K14', 'CHP1', 'KRAS', 'NFKBIE']
KEGG_RNA_POLYMERASE	1	0.18737923241578042	1.3859600743360703	1.0	49.73	['POLR2E', 'POLR1C', 'POLR2A', 'POLR3B', 'POLR3C', 'POLR2J3', 'POLR1B', 'POLR2G', 'POLR3F', 'POLR1A', 'POLR3H', 'POLR3GL', 'POLR3K', 'POLR3D', 'POLR1E', 'POLR2D', 'POLR3A', 'POLR2B', 'POLR2H', 'POLR3G']
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.14996773761626186	1.4431425064737395	1.0	74.12	['DNMT3B', 'LDHC', 'MTAP', 'AMD1', 'APIP', 'GOT1', 'SMS', 'MAT2A', 'CTH', 'MAT2B', 'AHCYL2', 'ADI1', 'CBS', 'TRDMT1', 'SDS', 'AHCYL1', 'DNMT1', 'IL4I1', 'MTR', 'ENOPH1', 'LDHB', 'DNMT3A', 'SRM', 'CDO1', 'MAT1A', 'GOT2', 'AHCY', 'LDHA']
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.1267043011498398	1.4841385248907877	1.0	68.88	['IDI1', 'ACAT2', 'PDSS1', 'PMVK', 'HMGCS1', 'IDI2', 'HMGCS2', 'PDSS2', 'GGPS1', 'MVD', 'ACAT1', 'HMGCR', 'MVK', 'FDPS', 'DHDDS']
KEGG_MAPK_SIGNALING_PATHWAY	1	0.1250925448048768	1.4982601928985915	1.0	83.3	['CACNA1F', 'FGF9', 'NTRK2', 'PPM1A', 'CACNG6', 'MAP3K3', 'CACNB1', 'MAPK1', 'FGF7', 'CACNG4', 'STK3', 'FGFR2', 'RASGRF1', 'FGF2', 'GRB2', 'LAMTOR3', 'HSPB1', 'RAF1', 'TNFRSF1A', 'MAP2K2', 'TAOK2', 'MAP3K2', 'CRK', 'ARRB1', 'FGF14', 'RPS6KA1', 'MAP2K6', 'CHUK', 'TRAF2', 'RAC1', 'EGFR', 'FGF13', 'IKBKB', 'PPP3CB', 'PDGFRA', 'RPS6KA2', 'HSPA6', 'JUN', 'CACNA2D4', 'ATF2', 'HRAS', 'RPS6KA5', 'GNG12', 'TAOK3', 'CACNA2D2', 'TNF', 'RASGRF2', 'PRKCB', 'CACNB2', 'FGF11', 'NLK', 'TGFBR1', 'PAK2', 'MAP3K14', 'NF1', 'CDC25B', 'DUSP5', 'NR4A1', 'GNA12', 'DUSP16', 'PRKACB', 'PLA2G6', 'FGFR3', 'MAPKAPK2', 'MAP3K12', 'MAP2K3', 'SRF', 'RELA', 'MAP3K20', 'PLA2G4A', 'BRAF', 'MAPKAPK5', 'CACNB3', 'MAX', 'CASP3', 'JUND', 'DUSP4', 'TP53', 'MAP3K13', 'HSPA1L', 'PLA2G4B', 'DUSP10', 'MAPK9', 'AKT3', 'DUSP14', 'TGFB2', 'MAP3K6', 'NFATC4', 'MAP2K4', 'ARRB2', 'MKNK1', 'PRKX', 'MAPK12', 'RASGRP3', 'CACNA2D3', 'TRAF6', 'JMJD7-PLA2G4B', 'MAP4K4', 'SOS2', 'CACNA2D1', 'HSPA1B', 'NGF', 'RAP1A', 'RAP1B', 'RPS6KA4', 'MAP2K7', 'PDGFRB', 'HSPA2', 'MAPT', 'NTF4', 'GADD45B', 'NFKB2', 'PPP3CC', 'KRAS', 'RASGRP2', 'RASA1', 'MYC', 'ELK1', 'STK4', 'CDC42', 'DUSP6', 'DUSP8', 'PPP3CA', 'PLA2G12A', 'RRAS', 'MAPK7', 'RPS6KA3', 'MAP3K4', 'CACNA1H', 'CRKL', 'TAB1', 'NFATC2', 'FGFR4', 'MAP3K5', 'FLNA', 'CACNA1C', 'CHP2', 'MAPK8', 'FLNB', 'TAOK1', 'PAK1', 'RASA2', 'IL1B', 'DUSP7', 'DAXX', 'AKT1', 'RPS6KA6', 'RASGRP4', 'STMN1', 'MAPKAPK3', 'DUSP2', 'IL1R1', 'FGF18', 'MAP3K7', 'MAP4K2', 'PPP3R1', 'PLA2G1B', 'DUSP3', 'PDGFA', 'FGFR1', 'FOS', 'PTPRR', 'PPP5C', 'GADD45A', 'PRKACA', 'MKNK2', 'MAP2K5', 'IKBKG', 'CHP1', 'CACNA1D', 'MAP3K8', 'ECSIT', 'FGF1', 'MAP4K3', 'AKT2', 'RELB', 'NRAS', 'PRKCA', 'MAPK10', 'MAP3K1', 'SOS1', 'NFKB1', 'TGFB3', 'TGFB1', 'MAPK11', 'ELK4', 'HSPA1A', 'RASGRP1', 'RAPGEF2', 'MRAS', 'MECOM', 'FGF12', 'PLA2G4E', 'TGFBR2', 'MAPK8IP2', 'MAPK14', 'MAPK13', 'FAS', 'DDIT3', 'EGF', 'MAPK3', 'MAPK8IP1', 'MEF2C', 'TAB2', 'BDNF', 'MAP2K1', 'MAPK8IP3', 'PPM1B', 'MAP3K11', 'RRAS2', 'PDGFB', 'HSPA8', 'CD14']
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.12427178377901069	1.4918629438664053	1.0	40.79	['GGT7', 'METTL2B', 'SEPHS1', 'TRMT11', 'PAPSS2', 'SCLY', 'PAPSS1', 'LCMT1', 'MARS2', 'MAT2A', 'MAT1A', 'AHCYL1', 'HEMK1', 'METTL6', 'SEPHS2', 'MAT2B']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.12327255318831062	1.4981002360899252	1.0	52.66	['IL13RA1', 'STAT3', 'STAT5A', 'IL6R', 'STAT5B', 'SPRY4', 'IL22RA1', 'IL10', 'AKT2', 'CBLC', 'CREBBP', 'STAT1', 'PIK3R3', 'EPOR', 'IRF9', 'SOS1', 'GRB2', 'IL23A', 'IL24', 'LEPR', 'PIK3CA', 'LIFR', 'CCND3', 'PIAS1', 'JAK3', 'BCL2L1', 'IL7', 'PIK3CB', 'SOCS7', 'IL6ST', 'PIK3CD', 'PIK3R1', 'AKT3', 'EP300', 'STAT6', 'SPRED1', 'CLCF1', 'IFNGR2', 'STAT2', 'JAK1', 'PIAS3', 'SPRY2', 'PIAS4', 'IFNAR1', 'IL10RB', 'PTPN11', 'IFNAR2', 'CBLB', 'IFNGR1', 'OSMR', 'SOCS5', 'STAM2', 'IL15RA', 'SOS2', 'PIK3R2', 'CBL', 'JAK2', 'CNTF', 'TYK2', 'STAT4', 'SOCS4', 'SOCS2', 'IL11RA', 'PIM1', 'SPRY1', 'PIAS2', 'IL4R', 'STAM', 'IFNLR1', 'SPRED2']
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.12018967974963024	1.511528782544215	1.0	36.26	['CTBP2', 'RBPJ', 'NUMB', 'CREBBP', 'ADAM17', 'KAT2B', 'PSEN2', 'EP300', 'MAML2', 'PSEN1', 'NOTCH1', 'HDAC2', 'DTX3L', 'MAML3', 'NOTCH2', 'HDAC1', 'NCSTN', 'DVL3', 'NCOR2', 'SNW1', 'CIR1', 'DTX3', 'MAML1', 'APH1A', 'DVL2']
