pathway	freq	padj	NES	stability	overlap
GOBP_POSITIVE_REGULATION_OF_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION	1	0.24952652919787055	-1.3716827943373933	1.0	44.26
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEOLUS	1	0.24943091212625773	-1.3720106176037714	1.0	58.06
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_NEURON_DEATH	1	0.24934516908813356	-1.3719841671262067	1.0	37.02
GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	1	0.24921590030708315	-1.3724441027434449	1.0	51.36
GOBP_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	1	0.24921569923661002	-1.3723411837467119	1.0	50.66
GOBP_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	1	0.24880009087286403	-1.373220770676416	1.0	50.29
GOBP_MEIOTIC_CYTOKINESIS	1	0.24872817211535903	-1.3730498676551257	1.0	30.03
GOBP_ISG15_PROTEIN_CONJUGATION	1	0.24869046276826298	-1.373215497263254	1.0	21.66
GOBP_ION_HOMEOSTASIS	1	0.248142545696564	1.6404553688311105	1.0	56.0
GOBP_SYNAPTIC_VESICLE_LOCALIZATION	1	0.24767542495502304	-1.3744473672044462	1.0	39.58
GOBP_HORMONE_CATABOLIC_PROCESS	1	0.24691367937560868	1.641869430716753	1.0	17.89
GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	0.2466722111416128	-1.375700918082787	1.0	63.67
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	1	0.24661717075121867	-1.375628324115667	1.0	44.77
GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS	1	0.2457693597289706	-1.3772196528029994	1.0	7.4
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR	1	0.2457415495777463	-1.3771367468004738	1.0	28.29
GOBP_REGULATION_OF_ER_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1	0.24570833718802254	-1.3769388844388595	1.0	50.95
GOBP_NEGATIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	1	0.24563976948922583	1.6438629402643918	1.0	20.67
GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	1	0.24563299763310908	-1.3771294851658624	1.0	50.29
GOBP_CHEMOKINE_PRODUCTION	1	0.24561535438934037	-1.3769152549439607	1.0	7.13
GOBP_CARBON_CATABOLITE_REGULATION_OF_TRANSCRIPTION	1	0.2453446016355069	-1.377780827326106	1.0	29.85
GOBP_SPHINGOLIPID_TRANSLOCATION	1	0.24520069223622468	1.643715070662031	1.0	20.86
GOBP_AXONAL_TRANSPORT	1	0.2447972029908264	-1.3784433329639467	1.0	42.51
GOBP_PYRIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.2447404147107731	-1.3788633604327771	1.0	44.42
GOBP_TRANSPOSITION	1	0.24469025190132052	-1.3786734522057729	1.0	59.14
GOBP_NEGATIVE_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	1	0.24467453617943935	-1.3788123717837062	1.0	34.0
GOBP_PEPTIDE_CROSS_LINKING	1	0.24452798282426097	1.6477582699960733	1.0	53.61
GOBP_TRABECULA_FORMATION	1	0.24450516177877507	1.6452115452271001	1.0	31.75
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	1	0.2444341608564359	1.6457881964957999	1.0	15.29
GOBP_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	1	0.24431802141806044	1.6474031684251402	1.0	33.92
GOBP_PHOSPHAGEN_METABOLIC_PROCESS	1	0.2441245935066536	1.6470596547572374	1.0	41.03
GOBP_HEPARIN_METABOLIC_PROCESS	1	0.24409921696841594	-1.3797088718481074	1.0	22.37
GOBP_PROTEIN_HETEROOLIGOMERIZATION	1	0.2440803965508662	-1.3799546955061766	1.0	56.94
GOBP_MITOCHONDRION_MORPHOGENESIS	1	0.24402298018618251	-1.3803791748224505	1.0	31.46
GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION	1	0.2440187338156835	-1.3799007861029742	1.0	35.27
GOBP_STRESS_GRANULE_DISASSEMBLY	1	0.2440042545087646	-1.3796890585036143	1.0	30.97
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	1	0.24397043226216505	1.648773569171196	1.0	33.25
GOBP_RESPONSE_TO_COBALT_ION	1	0.24392264229170144	-1.3803615074944264	1.0	44.5
GOBP_VENTRICULAR_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	1	0.24390315589151304	1.646720545502994	1.0	34.15
GOBP_VITAMIN_TRANSMEMBRANE_TRANSPORT	1	0.24389152748188683	-1.3802736335831525	1.0	43.3
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	1	0.24362714845996716	1.6495772353910059	1.0	15.31
GOBP_INOSITOL_PHOSPHATE_MEDIATED_SIGNALING	1	0.24343900380142644	-1.381194762440551	1.0	66.86
GOBP_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	1	0.24339307456332265	-1.38113270037495	1.0	68.19
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION	1	0.24326116912607854	-1.3818586030842432	1.0	50.99
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	1	0.243240035413258	-1.3820048083880638	1.0	60.76
GOBP_GLIAL_CELL_APOPTOTIC_PROCESS	1	0.2432343104477836	-1.3817626273401626	1.0	65.37
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.2431959230871651	-1.381681018888518	1.0	62.36
GOBP_REGULATION_OF_MRNA_BINDING	1	0.24319568264968522	-1.3815644463018255	1.0	18.46
GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS	1	0.24283411611222153	-1.3827692178217077	1.0	50.83
GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS	1	0.24272923366827814	-1.3827566320163163	1.0	44.59
GOBP_REGULATION_OF_MICROTUBULE_BINDING	1	0.24269565429965953	-1.3830132625403617	1.0	43.97
GOBP_MICROGLIA_DIFFERENTIATION	1	0.24263486923765012	-1.3827373146386295	1.0	5.29
GOBP_N_GLYCAN_PROCESSING	1	0.242069067106648	-1.3838986636475223	1.0	58.22
GOBP_LIPID_DROPLET_FORMATION	1	0.2420624026238035	-1.383786245375339	1.0	29.24
GOBP_RNA_5_END_PROCESSING	1	0.24185806689235276	-1.3842373608862995	1.0	65.75
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	1	0.24173177800503276	-1.38459758201279	1.0	55.43
GOBP_REGULATION_OF_CILIUM_BEAT_FREQUENCY_INVOLVED_IN_CILIARY_MOTILITY	1	0.24170458300868844	-1.3847296391348167	1.0	39.92
GOBP_EMBRYONIC_CLEAVAGE	1	0.24164280059784884	-1.3845638138926604	1.0	29.6
GOBP_DETERMINATION_OF_DIGESTIVE_TRACT_LEFT_RIGHT_ASYMMETRY	1	0.24045375284495418	-1.386088877140999	1.0	54.51
GOBP_NOTCH_RECEPTOR_PROCESSING	1	0.23959765193816615	-1.3871669169388714	1.0	29.02
GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY	1	0.2395531609756241	-1.3870967903834903	1.0	57.78
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	1	0.23922586461535275	1.6536700962469715	1.0	17.89
GOBP_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	1	0.23915654521178667	1.6569904403792834	1.0	19.4
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	1	0.23885175130093547	1.6577350755957958	1.0	26.18
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	1	0.23877875601005913	1.656781572760538	1.0	53.67
GOBP_NEUROTRANSMITTER_TRANSPORT	1	0.23876076613600314	1.6545346377399723	1.0	19.59
GOBP_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	1	0.2386474521593454	-1.3882201072271254	1.0	41.97
GOBP_ANION_TRANSMEMBRANE_TRANSPORT	1	0.23863616662779386	1.6551879318111753	1.0	13.65
GOBP_CEREBELLAR_GRANULAR_LAYER_MORPHOGENESIS	1	0.23855844774052634	1.6610517344075	1.0	50.22
GOBP_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	1	0.23850625063547204	1.659061800870112	1.0	28.02
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	1	0.23847453273430008	-1.3886284836649807	1.0	7.35
GOBP_LEUKOCYTE_APOPTOTIC_PROCESS	1	0.23843750670523212	-1.3885523558038457	1.0	44.14
GOBP_POSITIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	1	0.23821870733391146	1.6567455427751463	1.0	31.17
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	1	0.238203645608214	1.6608535338966144	1.0	12.35
GOBP_POSITIVE_REGULATION_OF_MYOBLAST_PROLIFERATION	1	0.237903128111497	1.6590582912372576	1.0	15.62
GOBP_TERTIARY_ALCOHOL_METABOLIC_PROCESS	1	0.23767929061193466	1.6607640110398842	1.0	38.71
GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE	1	0.23764569813811307	1.6567197038324712	1.0	45.15
GOBP_REGULATION_OF_METAL_ION_TRANSPORT	1	0.23716569008862656	1.6606801650737923	1.0	16.31
GOBP_TOOTH_MINERALIZATION	1	0.23714534679039698	-1.3901951560775487	1.0	36.52
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	1	0.23713983231709235	-1.3900894800256165	1.0	28.07
GOBP_DEPYRIMIDINATION	1	0.23706738450635054	-1.390399202069048	1.0	34.76
GOBP_NEGATIVE_REGULATION_OF_ISOTYPE_SWITCHING	1	0.23610039291315207	-1.3914514710783852	1.0	10.12
GOBP_DNA_DEAMINATION	1	0.23603561377550045	-1.391734705334011	1.0	25.45
GOBP_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS	1	0.23598709565295808	-1.3920053821343659	1.0	50.95
GOBP_CHROMOSOME_LOCALIZATION	1	0.23595699237883655	-1.3916966699057611	1.0	31.19
GOBP_BASE_EXCISION_REPAIR_GAP_FILLING	1	0.23591427121466355	-1.391960708740507	1.0	52.33
GOBP_REGULATION_OF_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY	1	0.2356280417874131	1.6652135324536494	1.0	19.6
GOBP_KILLING_BY_HOST_OF_SYMBIONT_CELLS	1	0.23541859270384616	1.665918237872621	1.0	34.45
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	1	0.23519458774756408	1.6650698248705995	1.0	14.98
GOBP_CARDIAC_PACEMAKER_CELL_DIFFERENTIATION	1	0.23503367462260705	1.664691871318496	1.0	10.44
