pathway	freq	padj	NES	stability	overlap
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	1	0.24971491511663937	1.3351225528729647	0.03125	51.98
GOBP_FAT_SOLUBLE_VITAMIN_CATABOLIC_PROCESS	1	0.24964057166517908	-1.648607256184411	0.03125	6.95
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	1	0.24942008689918332	1.3428858436416047	0.03125	65.31
GOBP_DUMP_METABOLIC_PROCESS	1	0.24906662672898897	1.325682245085479	0.03125	22.39
GOBP_DENDRITIC_CELL_CYTOKINE_PRODUCTION	1	0.24900128910150557	-1.610708429746999	0.03125	39.1
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING	1	0.24886823815382308	-1.4720801630400127	0.03125	22.35
GOBP_NEGATIVE_REGULATION_OF_THYMOCYTE_APOPTOTIC_PROCESS	1	0.24885542530313956	1.3348869137642405	0.03125	45.82
GOBP_LEUKOTRIENE_SIGNALING_PATHWAY	1	0.24849108078987425	-1.611610798986138	0.03125	21.84
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT	2	0.2484203453374743	1.3347881781171573	0.0625	44.455
GOBP_UBIQUITIN_RECYCLING	1	0.24834462931572415	-1.3382189692208641	0.03125	39.75
GOBP_POSITIVE_REGULATION_OF_T_HELPER_2_CELL_DIFFERENTIATION	1	0.24833672288651487	1.3538420842805303	0.03125	58.39
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	1	0.24833474843911935	1.3323809798858883	0.03125	59.56
GOBP_REGULATION_OF_PIGMENTATION	1	0.24828453512412066	-1.338406422009729	0.03125	27.17
GOBP_PLATELET_DEGRANULATION	1	0.2480728101071382	1.3598472399531185	0.03125	36.4
GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION	2	0.24785701147798328	1.341046591244728	0.0625	64.81
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	1	0.24783867510410848	-1.3651923976432678	0.03125	18.39
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	1	0.24783438355228218	-1.356675386031961	0.03125	34.75
GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS	1	0.2477515778628317	1.35462197640935	0.03125	73.34
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY	1	0.24753574501322403	1.3365584871931115	0.03125	61.63
GOBP_NOTCH_RECEPTOR_PROCESSING	2	0.2474856146307874	1.3360306073801786	0.0625	41.345
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	1	0.2473075786448971	1.338997844055521	0.03125	57.25
GOBP_PROGESTERONE_BIOSYNTHETIC_PROCESS	1	0.24718829041465354	1.3282147386646006	0.03125	52.85
GOBP_REGULATION_OF_RHO_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	2	0.24717987079682097	1.4498992292289068	0.0625	48.35
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT	1	0.24697128739951732	-1.3875777729538774	0.03125	39.76
GOBP_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS	1	0.24627116082029718	1.3297961040678383	0.03125	56.84
GOBP_COPPER_ION_TRANSMEMBRANE_TRANSPORT	2	0.24621105084955391	1.3497589439616324	0.0625	39.81
GOBP_PEPTIDYL_PROLINE_MODIFICATION	2	0.24621047250849384	1.4073742956677444	0.0625	63.605000000000004
GOBP_EMBRYONIC_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY	1	0.2461948361554267	1.3568250711651377	0.03125	55.2
GOBP_MIDBODY_ABSCISSION	1	0.24612995202286927	-1.4171283957706604	0.03125	41.87
GOBP_RESPONSE_TO_INDOLE_3_METHANOL	1	0.24602150368835798	1.3361010170955916	0.03125	55.73
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	1	0.24599604316618928	1.4922860050661793	0.03125	60.35
GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE	1	0.2456002196479062	2.3843884022747575	0.03125	14.56
GOBP_METHIONINE_BIOSYNTHETIC_PROCESS	1	0.24541461165500708	-1.3599714751402008	0.03125	39.1
GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS	1	0.24524324491367058	-1.3418899588520445	0.03125	64.91
GOBP_POSITIVE_REGULATION_OF_PODOSOME_ASSEMBLY	1	0.2452276597348277	1.3398546853548028	0.03125	67.09
GOBP_REGULATION_OF_ASTROCYTE_ACTIVATION	1	0.24514377425101694	1.3642817252208574	0.03125	50.15
GOBP_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT	2	0.24503327198770727	1.4089799311803362	0.0625	34.790000000000006
GOBP_FATTY_ACID_DERIVATIVE_CATABOLIC_PROCESS	1	0.24492506378227386	-1.4235362073646332	0.03125	8.07
GOBP_PYRIMIDINE_NUCLEOTIDE_CATABOLIC_PROCESS	1	0.24485816485792422	-1.3424167643700247	0.03125	32.07
GOBP_REGULATION_OF_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM	1	0.24468377256662155	1.3593388541148939	0.03125	61.07
GOBP_NEGATIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	3	0.24462237294349412	1.43319739855887	0.09375	53.01
GOBP_MITOCHONDRIAL_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	1	0.24458402047845879	-1.3695733219883994	0.03125	31.34
GOBP_NEGATIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	1	0.24446772150803578	1.4623576951552228	0.03125	51.74
GOBP_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS	1	0.24444012544089916	-1.370100181984828	0.03125	39.11
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	1	0.24409927667730444	1.3387399210413686	0.03125	41.45
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES	1	0.2439967560727617	-1.3624311029429563	0.03125	28.15
GOBP_LABYRINTHINE_LAYER_MORPHOGENESIS	1	0.24370586727301768	1.3335567451109074	0.03125	69.98
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT	1	0.24340072731019574	1.3445929332180186	0.03125	68.46
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	2	0.24326888617389247	1.3422569175934762	0.0625	74.455
GOBP_NADH_METABOLIC_PROCESS	1	0.24323518877725536	1.3669584640082002	0.03125	74.97
GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	1	0.2432127927271141	1.3451938095234033	0.03125	48.77
GOBP_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	1	0.24259402159916935	-1.4214687654920737	0.03125	69.15
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION	1	0.2423700435861974	1.33560887140243	0.03125	52.39
GOBP_LATE_NUCLEOPHAGY	3	0.24176551130493354	-1.3489330178232706	0.09375	15.44
GOBP_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	3	0.2417143917628433	-0.6298989154904868	0.09375	38.35333333333333
GOBP_OXALOACETATE_METABOLIC_PROCESS	1	0.24163809898092276	-1.4294004836154424	0.03125	45.73
GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	1	0.2414488749360052	1.3923583603792398	0.03125	63.71
GOBP_REGULATION_OF_NODAL_SIGNALING_PATHWAY	2	0.24141954547915906	1.349362017403612	0.0625	36.685
GOBP_PENILE_ERECTION	1	0.24120980960411523	1.3696683324149628	0.03125	47.97
GOBP_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS	1	0.2410588267049212	-1.3965604856750105	0.03125	30.04
GOBP_POSITIVE_REGULATION_OF_CILIUM_MOVEMENT	2	0.24098914376817238	1.4636974132303022	0.0625	56.315
GOBP_NEGATIVE_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	1	0.2409549146209873	1.348616121795712	0.03125	56.1
GOBP_SPINAL_CORD_MOTOR_NEURON_CELL_FATE_SPECIFICATION	2	0.24089731538872	1.3567939394566606	0.0625	51.55
GOBP_NEGATIVE_REGULATION_OF_HELICASE_ACTIVITY	2	0.24075632006586684	1.3461823031031486	0.0625	51.755
GOBP_CELLULAR_RESPONSE_TO_WATER_STIMULUS	6	0.24068625741629338	1.348933272339614	0.1875	44.68666666666667
GOBP_RIBONUCLEOSIDE_CATABOLIC_PROCESS	1	0.24062943501333964	1.3600218416676755	0.03125	17.83
GOBP_ISOPRENOID_CATABOLIC_PROCESS	1	0.2406020706008012	1.4638802941253048	0.03125	51.78
GOBP_ZINC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1	0.24040842062665044	1.4650471717905913	0.03125	20.1
GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1	0.24021454462469377	1.3576648837967384	0.03125	61.01
GOBP_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	1	0.24020478186377178	1.3575766045696573	0.03125	53.17
GOBP_RESPONSE_TO_PROSTAGLANDIN_E	1	0.24018983357395765	1.3713518507757205	0.03125	60.18
GOBP_PHOSPHATE_ION_TRANSPORT	1	0.24016755139168766	1.3662126908513377	0.03125	65.42
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	1	0.24012848579648802	1.344025103819155	0.03125	48.06
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	2	0.240082689491722	1.343726703214367	0.0625	47.69
GOBP_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS	1	0.23994668681795586	-1.431831970047238	0.03125	29.6
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3	0.23994028587392222	1.3551179179220145	0.09375	71.25333333333333
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE	1	0.23975536907454045	1.3448658299409462	0.03125	51.53
GOBP_PYRIMIDINE_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	3	0.23946253981538335	-1.4008634096301584	0.09375	42.63333333333333
GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	2	0.2393360222799771	1.3504023183082268	0.0625	39.205
GOBP_THIAMINE_TRANSPORT	2	0.23930738291809583	-1.6454814142928038	0.0625	41.129999999999995
GOBP_MUSCLE_CELL_FATE_COMMITMENT	1	0.23905587470130044	1.351282890252908	0.03125	69.64
GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION	1	0.23898925990269304	1.36762399585444	0.03125	61.07
GOBP_HEAT_ACCLIMATION	1	0.2389587280082268	-1.5124611248620452	0.03125	34.99
GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	1	0.23884491864135768	1.4682364003529786	0.03125	70.6
GOBP_PRIMARY_ALCOHOL_CATABOLIC_PROCESS	2	0.23883831860751836	1.4701022703509885	0.0625	67.04
GOBP_LEYDIG_CELL_DIFFERENTIATION	1	0.23865009534049808	1.457030705659378	0.03125	50.16
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	1	0.23856861456578204	1.350509978983332	0.03125	62.45
GOBP_VACUOLAR_ACIDIFICATION	1	0.23855985000310226	-1.3684874294904075	0.03125	43.73
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_RESULTING_IN_TRANSCRIPTION	1	0.2385458145086195	-1.3487056531117023	0.03125	40.14
GOBP_NEURONAL_SIGNAL_TRANSDUCTION	2	0.2385451731407766	-1.3885542149705525	0.0625	51.32
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.2385362387483299	-1.486542049901947	0.03125	23.7
GOBP_SKIN_MORPHOGENESIS	1	0.23824522574785764	1.3630068391021755	0.03125	59.39
