pathway	freq	padj	stability	overlap
GOBP_CELL_CYCLE	16	4.5086899923749075e-08	0.5	0.9870550161812299
GOBP_CHROMOSOME_ORGANIZATION	16	2.932697966109174e-06	0.5	0.9950396825396826
GOBP_CELL_CYCLE_PROCESS	16	3.6626360000442105e-06	0.5	0.9864995178399227
GOBP_INTRACELLULAR_TRANSPORT	16	2.10482268338788e-05	0.5	0.9809163701067615
GOBP_CELL_PROJECTION_ORGANIZATION	14	3.498094771030616e-05	0.4375	0.982811306340718
GOBP_MITOTIC_CELL_CYCLE	16	5.727453569222083e-05	0.5	0.9869150246305417
GOBP_MICROTUBULE_BASED_PROCESS	16	6.306327483885162e-05	0.5	0.9877968337730871
GOBP_NEUROGENESIS	14	8.87233768687403e-05	0.4375	0.9781921618204804
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	14	0.00011723755943944266	0.4375	0.9900699616339425
GOBP_MRNA_METABOLIC_PROCESS	16	0.00017785265010771567	0.5	0.9883970358814353
GOBP_CELL_PART_MORPHOGENESIS	14	0.00023216970360151446	0.4375	0.9909297052154195
GOBP_NEURON_DIFFERENTIATION	14	0.00032058965487560565	0.4375	0.9804096170970613
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	14	0.0003755245729613449	0.4375	0.980624914722336
GOBP_DNA_METABOLIC_PROCESS	15	0.00041436336875936777	0.46875	0.9865843621399175
GOBP_MITOTIC_CELL_CYCLE_PROCESS	16	0.0005193055459239054	0.5	0.9863077496274218
GOBP_CELL_CELL_SIGNALING_BY_WNT	14	0.0006917588676182416	0.4375	0.9925989672977623
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	14	0.0007152197765675073	0.4375	0.9905063291139242
GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	14	0.0007491964258456977	0.4375	0.9871310507674147
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	15	0.0008993634449451257	0.46875	0.9867697594501718
GOBP_EMBRYO_DEVELOPMENT	14	0.0010067712874358191	0.4375	0.9804194778527427
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	14	0.0012689561176416884	0.4375	0.9917118746232669
GOBP_NEURON_DEVELOPMENT	14	0.0013849948053468797	0.4375	0.9805689413959274
GOBP_DNA_REPAIR	16	0.0014514158836236015	0.5	0.9949638429752063
GOBP_AXON_DEVELOPMENT	14	0.0015112822073002487	0.4375	0.9931554931554931
GOBP_CYTOSKELETON_ORGANIZATION	14	0.00184901732624695	0.4375	0.9761718313010403
GOBP_CELL_DIVISION	16	0.0018883550888945822	0.5	0.988036672629696
GOBP_REGULATION_OF_CELL_CYCLE	16	0.0019246463095933966	0.5	0.9835665258711721
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	14	0.002054657448847224	0.4375	0.9785551206784087
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	16	0.002191461751864793	0.5	0.9902626811594204
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	14	0.0025356802104608903	0.4375	0.9814217848659654
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	14	0.0026153548169582765	0.4375	0.9738451086956522
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	13	0.0031739399294237395	0.40625	0.985413290113452
GOBP_DEVELOPMENTAL_GROWTH	14	0.0032077386374340785	0.4375	0.9859506302521008
GOBP_MRNA_PROCESSING	16	0.0033203414609851113	0.5	0.9891493055555554
GOBP_HEAD_DEVELOPMENT	14	0.0033548647819050944	0.4375	0.9833080424886192
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	16	0.003372961098952419	0.5	0.9870810055865921
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	14	0.003434195429474194	0.4375	0.9807729282830223
GOBP_CELLULAR_RESPONSE_TO_STRESS	15	0.0036715457907059534	0.46875	0.9766549157853505
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	16	0.004009572370365863	0.5	0.9875621890547264
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	16	0.0042539654917193685	0.5	0.9779128761371589
GOBP_NITROGEN_COMPOUND_TRANSPORT	15	0.004520668095522679	0.46875	0.9749621212121212
GOBP_REGULATION_OF_CATABOLIC_PROCESS	14	0.004574653429372987	0.4375	0.9783134472750726
GOBP_CILIUM_ORGANIZATION	14	0.004685348439568574	0.4375	0.9928135888501741
GOBP_GOLGI_VESICLE_TRANSPORT	16	0.004718039112691176	0.5	0.9962455830388692
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	15	0.004719360431647949	0.46875	0.9736327000575706
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	16	0.004851431402343335	0.5	0.9753825681969395
GOBP_CHROMATIN_ORGANIZATION	16	0.004856348030351402	0.5	0.9959466527196653
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	14	0.0048928339262960105	0.4375	0.973971452560873
GOBP_RNA_PROCESSING	9	0.0050190401427210206	0.28125	0.9772798008092125
GOBP_SYNAPTIC_SIGNALING	7	0.0050686257557989835	0.21875	0.9840352325901459
GOBP_ORGANELLE_FISSION	14	0.00509502384788857	0.4375	0.9886515353805075
GOBP_CHROMOSOME_SEGREGATION	16	0.005310690761439447	0.5	0.9935064935064937
GOBP_DNA_REPLICATION	16	0.005428231204266117	0.5	0.9965277777777779
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	16	0.005549705735531126	0.5	0.9781730769230769
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	16	0.005667151128032332	0.5	0.9748462214411249
GOBP_PROTEIN_CATABOLIC_PROCESS	14	0.005675545717647642	0.4375	0.9774350649350649
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	14	0.005823439229736994	0.4375	0.9864016736401674
GOBP_DNA_CONFORMATION_CHANGE	15	0.006003950660995486	0.46875	0.9981407702523242
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	15	0.006043981066611068	0.46875	0.9792952506018822
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	2	0.006318060393529122	0.0625	0.9743718592964824
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	12	0.006376146759391768	0.375	0.9900000000000002
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	15	0.006775433173489185	0.46875	0.9744186046511628
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	16	0.006930675792229646	0.5	0.9881981382978721
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	14	0.007087030146551455	0.4375	0.9763715372080393
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	16	0.0072169981495356535	0.5	0.9791666666666664
GOBP_CELL_MORPHOGENESIS	13	0.007430674049677884	0.40625	0.9782992237120676
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	15	0.007603893330829907	0.46875	0.9797426317974266
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	14	0.007959066778239885	0.4375	0.9782572751322751
GOBP_PHOSPHORYLATION	12	0.00813899400958345	0.375	0.9694908266336838
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	15	0.008266919573355869	0.46875	0.9888603256212513
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	16	0.008335140738086439	0.5	0.9757439228834871
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	13	0.008788472614360708	0.40625	0.9831689677843525
GOBP_GAMETE_GENERATION	14	0.008972241521889468	0.4375	0.9841113610798651
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	13	0.008986784671048865	0.40625	0.9795508838987101
GOBP_TUBE_DEVELOPMENT	2	0.009460515252639736	0.0625	0.9738493723849373
GOBP_MACROAUTOPHAGY	14	0.009696240208228363	0.4375	0.9920096852300241
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	13	0.010444931321727512	0.40625	0.9892864795371759
GOBP_SENSORY_ORGAN_DEVELOPMENT	12	0.010620340875919067	0.375	0.9845264727815063
