pathway	freq	padj	NES	stability	overlap
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.24227950973931403	1.256362873418348	1.0	45.56
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	0.23142675373128582	-1.4067625585939614	1.0	11.14
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0.2140630951604316	1.294247254726134	1.0	71.69
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.2126509155706784	1.293622907796339	1.0	51.99
KEGG_GNRH_SIGNALING_PATHWAY	1	0.2060984055095529	1.3073847164158647	1.0	64.58
KEGG_PRION_DISEASES	1	0.2053162629609376	1.3113108990080917	1.0	65.74
KEGG_BLADDER_CANCER	1	0.18618756459332908	1.3391052470837663	1.0	26.39
KEGG_PHENYLALANINE_METABOLISM	1	0.1821865666008907	-1.4737760581543986	1.0	62.86
KEGG_PYRUVATE_METABOLISM	1	0.16880072347331315	1.3671070482950805	1.0	66.37
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0.16528986435075418	1.374587271109764	1.0	13.5
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.1320280643241086	1.4319049435330025	1.0	17.15
KEGG_GLYCEROLIPID_METABOLISM	1	0.11821661787885611	1.4613810909890455	1.0	33.64
KEGG_PYRIMIDINE_METABOLISM	1	0.11561990845935903	1.4682138366667106	1.0	46.55
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.11485431821906877	1.4719724338352753	1.0	59.86
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	0.11443243513723135	1.4779824592199748	1.0	60.27
KEGG_LONG_TERM_POTENTIATION	1	0.1135158098041446	1.4773487570596877	1.0	65.76
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.1124450396425651	1.4846440946931174	1.0	48.52
KEGG_BASE_EXCISION_REPAIR	1	0.10308521018683098	1.506561321729269	1.0	28.46
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.10306684123695192	-1.6128680854155095	1.0	28.59
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1	0.09658527935628185	-1.6371776790241042	1.0	32.43
KEGG_HUNTINGTONS_DISEASE	1	0.0901873252131377	-1.6641375059099544	1.0	43.11
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	0.08782577987685872	-1.6840278617256181	1.0	52.07
KEGG_DNA_REPLICATION	1	0.08471081216975415	1.555211070580413	1.0	54.49
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.08333088578430893	1.5611820131030665	1.0	62.83
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.08152472011963117	1.5684289611465954	1.0	56.08
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.079911931747104	1.5748599461310684	1.0	57.44
KEGG_TYROSINE_METABOLISM	1	0.07317884960300772	-1.7343331879312622	1.0	62.86
KEGG_ALZHEIMERS_DISEASE	1	0.06370258775395772	-1.776925906180855	1.0	43.24
KEGG_SPHINGOLIPID_METABOLISM	1	0.04623245936949451	1.6896947514221905	1.0	38.36
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.04484725662388351	1.6972289933573017	1.0	66.49
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	0.04156127975925528	1.7180005438639148	1.0	37.76
KEGG_ALLOGRAFT_REJECTION	1	0.04111807340343939	1.7178378012621898	1.0	63.47
KEGG_THYROID_CANCER	1	0.039930946483524736	1.7284489374352967	1.0	28.63
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.0393697973071988	1.7337103972470982	1.0	43.94
KEGG_GRAFT_VERSUS_HOST_DISEASE	1	0.03819827836452769	1.741377328392099	1.0	60.27
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.037926123521180626	-1.8851522779309287	1.0	39.92
KEGG_PROPANOATE_METABOLISM	1	0.03564347735348553	1.758142216963491	1.0	66.37
KEGG_RIBOFLAVIN_METABOLISM	1	0.03341478534753322	1.7732248773885901	1.0	15.47
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	0.03186219319972979	1.7832595286880424	1.0	64.58
KEGG_PROTEIN_EXPORT	1	0.030118278374601074	1.7954165621643299	1.0	56.9
KEGG_MELANOGENESIS	1	0.030023268032725366	1.8030654045306749	1.0	25.43
KEGG_REGULATION_OF_AUTOPHAGY	1	0.029984276775540004	1.8008614613616925	1.0	30.84
KEGG_GAP_JUNCTION	1	0.0298500568709981	1.7992921310176406	1.0	26.49
KEGG_MISMATCH_REPAIR	1	0.029482849208136305	1.8092998526826676	1.0	54.49
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.027646425980134608	1.8271091054949307	1.0	33.49
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.027473346638165124	1.8256802578848046	1.0	36.51
KEGG_MTOR_SIGNALING_PATHWAY	1	0.027467233051560905	1.8230821773302959	1.0	38.74
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.01915569073073886	1.8999872285664836	1.0	38.25
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1	0.018828878094809192	1.906230899930969	1.0	12.81
KEGG_BASAL_CELL_CARCINOMA	1	0.01818800875025971	1.9147207613746424	1.0	25.15
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1	0.017812312004490044	1.9238875495480066	1.0	12.81
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.017660745901603155	1.9228263647864574	1.0	36.63
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	0.017159452421780727	1.9363781301811158	1.0	25.15
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	0.017058675018593955	1.9332197682366417	1.0	63.47
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.01616096224574045	1.9514147439447278	1.0	56.66
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0.015417821340895777	-2.050993517342491	1.0	28.59
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	0.013677266548241553	1.9823228377240358	1.0	75.45
KEGG_AXON_GUIDANCE	1	0.01329255979835986	1.9885117431158275	1.0	47.19
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0.012255399574014123	2.006600812258572	1.0	31.05
KEGG_DILATED_CARDIOMYOPATHY	1	0.011308764292326554	2.0225448432551083	1.0	33.02
