pathway	freq	padj	NES	stability	overlap
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	1	0.24977390190376403	1.3365119010205613	1.0	45.05
GOBP_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR	1	0.24977375779570515	1.3364310016683696	1.0	32.56
GOBP_RESPONSE_TO_CATECHOLAMINE	1	0.24940278634148638	1.3370682140884487	1.0	72.22
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS	1	0.24938538659042384	1.3370034381881628	1.0	57.02
GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS	1	0.24911970162544952	1.3374488989295532	1.0	31.38
GOBP_PURINE_NUCLEOSIDE_METABOLIC_PROCESS	1	0.24893680003086824	1.3377059743363395	1.0	42.13
GOBP_PLASMA_MEMBRANE_TUBULATION	1	0.2486374841138713	1.338083488799288	1.0	40.38
GOBP_ASTROCYTE_DIFFERENTIATION	1	0.24812370278276574	1.338705465833618	1.0	25.55
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY	1	0.2472893234850245	1.3396119862538944	1.0	57.88
GOBP_NEGATIVE_REGULATION_OF_MYOSIN_LIGHT_CHAIN_PHOSPHATASE_ACTIVITY	1	0.24708421766806535	1.339903088573426	1.0	32.06
GOBP_DEVELOPMENT_OF_SECONDARY_SEXUAL_CHARACTERISTICS	1	0.24622509252181893	1.3408436144995914	1.0	23.9
GOBP_MESENDODERM_DEVELOPMENT	1	0.245940293110593	1.341259055171508	1.0	39.1
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	1	0.24586769252266258	1.3412544501581962	1.0	44.88
GOBP_PROTEIN_DEGLUTAMYLATION	1	0.2453424881149589	1.341954347192965	1.0	55.01
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	1	0.24519921918661933	1.3421716414875011	1.0	37.64
GOBP_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	1	0.24477325309486944	1.3426826751718555	1.0	46.11
GOBP_PINOCYTOSIS	1	0.24450805807497622	1.3430259026003344	1.0	53.29
GOBP_REGULATION_OF_XENOPHAGY	1	0.2444307195209478	1.3431949352163413	1.0	23.85
GOBP_NEGATIVE_REGULATION_OF_NUCLEASE_ACTIVITY	1	0.2443896799406096	1.3433998869594712	1.0	30.9
