pathway	freq	padj	NES	stability	overlap
KEGG_GNRH_SIGNALING_PATHWAY	1	0.22056281743375722	1.2874360051209337	1.0	33.68
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.21946681415065997	1.2864221106824425	1.0	64.27
KEGG_PPAR_SIGNALING_PATHWAY	1	0.21434772589110823	1.297092325331995	1.0	68.86
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	0.2117098150554192	1.3025849568369214	1.0	75.28
KEGG_BLADDER_CANCER	1	0.1979743021010835	1.323087312465095	1.0	26.51
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.1915627528048571	1.3342999309347017	1.0	58.49
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.18982862092433336	1.3389548023472508	1.0	58.53
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.17414298564146982	1.362769033556135	1.0	60.42
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.1741098344924804	1.3679105117507457	1.0	71.66
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.17380648538643637	1.365721180320643	1.0	69.12
KEGG_OLFACTORY_TRANSDUCTION	1	0.1551290902152147	1.3993441321204372	1.0	76.43
KEGG_TRYPTOPHAN_METABOLISM	1	0.1529188594476598	1.4080220082697963	1.0	57.4
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.15286541792983974	1.405912462795517	1.0	75.12
KEGG_PYRIMIDINE_METABOLISM	1	0.14634464868533262	1.4239213975315088	1.0	47.26
KEGG_PEROXISOME	1	0.14613559260863287	1.4269203148132144	1.0	77.75
KEGG_GLYCEROLIPID_METABOLISM	1	0.14549212929000097	1.422458091789282	1.0	33.83
KEGG_LONG_TERM_POTENTIATION	1	0.13739486220966013	1.4433860180228293	1.0	53.91
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0.13735337209623769	1.4462677624222833	1.0	73.12
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.12819518760157775	1.463677125727404	1.0	17.19
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.11194381155026642	1.496067784623842	1.0	64.62
KEGG_BASE_EXCISION_REPAIR	1	0.10799832475882713	1.5063659893043373	1.0	28.6
KEGG_BUTANOATE_METABOLISM	1	0.10722715461238631	1.5105529694018471	1.0	67.49
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.09883589374260952	1.5311469880871262	1.0	72.43
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.08153003070987047	1.574384793622117	1.0	56.37
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	0.06570304605168183	1.6214424698175363	1.0	57.67
KEGG_ALLOGRAFT_REJECTION	1	0.06380178170354628	1.6290099329949823	1.0	57.67
KEGG_GRAFT_VERSUS_HOST_DISEASE	1	0.06364736453264719	1.6319512459044807	1.0	64.98
KEGG_PROTEIN_EXPORT	1	0.055826450328940576	1.6617775353085187	1.0	25.99
KEGG_DNA_REPLICATION	1	0.05190271697443737	1.6783821872912832	1.0	56.25
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	0.046846344684514166	1.706156391326814	1.0	64.98
KEGG_THYROID_CANCER	1	0.04633248476269951	1.7058591015276596	1.0	28.77
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	0.042800590082286705	1.7259301879974975	1.0	38.06
KEGG_SPHINGOLIPID_METABOLISM	1	0.03990439173076186	1.7429738851819285	1.0	38.67
KEGG_MTOR_SIGNALING_PATHWAY	1	0.029506890539805226	1.8050702999153845	1.0	39.07
KEGG_MELANOGENESIS	1	0.029258041655183278	1.8094989598775526	1.0	25.55
KEGG_RIBOFLAVIN_METABOLISM	1	0.02823832942034601	1.8194880885572349	1.0	15.51
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.026144795726865885	1.835861581411792	1.0	61.58
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.025331253730993878	1.8437750097178385	1.0	58.2
KEGG_REGULATION_OF_AUTOPHAGY	1	0.02524813564550864	1.8467118030857848	1.0	30.99
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	0.02387622708243107	1.860212491054913	1.0	57.67
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.02158119788457902	1.8808103889167047	1.0	38.56
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.020045223165809905	1.8979477838289955	1.0	36.82
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.01999225178648766	1.9112788536445071	1.0	44.46
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1	0.019957314592438023	1.905703075962158	1.0	12.84
KEGG_GAP_JUNCTION	1	0.019901345120118208	1.9014021110677866	1.0	29.39
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.019877902521904252	1.9086781009896836	1.0	36.9
KEGG_AXON_GUIDANCE	1	0.019826146136237083	1.8972788962301126	1.0	47.97
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1	0.019753172207390937	1.9052838321777	1.0	12.84
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	0.019387558690287146	1.9218151129751668	1.0	25.26
KEGG_MISMATCH_REPAIR	1	0.017927744170776343	1.9345869291808702	1.0	56.25
KEGG_BASAL_CELL_CARCINOMA	1	0.017192170338447558	1.9464090173680884	1.0	25.26
KEGG_P53_SIGNALING_PATHWAY	1	0.014315757793747387	1.9859856772902507	1.0	41.77
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.014312653385303882	1.9842495662284088	1.0	38.04
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0.011801645734084019	2.0205071166022246	1.0	31.21
KEGG_PROTEASOME	1	0.011099777377614674	2.0333054348779833	1.0	70.72
KEGG_DILATED_CARDIOMYOPATHY	1	0.010765328218771268	2.042300198178095	1.0	33.2
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.008848773573762746	2.080788142408505	1.0	56.58
KEGG_PURINE_METABOLISM	1	0.007326403926663779	2.1103141740892255	1.0	48.5
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.007064746643568645	2.1186162444402488	1.0	64.75
KEGG_LEISHMANIA_INFECTION	1	0.007049935853959485	2.115998859658873	1.0	51.02
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.007018571828904798	2.1224794916088	1.0	52.26
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.0045842355998267645	2.18355111337794	1.0	61.41
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.0030090587555940524	2.263247848161204	1.0	52.26
KEGG_OOCYTE_MEIOSIS	1	0.0029796890605527614	2.25669042863187	1.0	29.39
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.0025938200237256856	2.313785472044555	1.0	38.9
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.0025720354210628164	2.2974465011105933	1.0	60.32
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.002519211981427579	2.3267150667646415	1.0	46.47
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	0.0025119099177132957	2.3203850102523296	1.0	46.47
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.0024619571636678612	2.3260181670784372	1.0	56.58
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.0014204252510878754	2.4178421729288275	1.0	57.99
KEGG_LYSINE_DEGRADATION	1	0.0014167784596858526	2.4274701640924716	1.0	39.89
KEGG_GLIOMA	1	0.0013737007362494586	2.433792530128802	1.0	49.41
KEGG_ERBB_SIGNALING_PATHWAY	1	0.001247903965530644	2.447559310155608	1.0	49.86
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.0009502290807139113	2.4800537744676094	1.0	31.03
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.000848618215443681	2.490361339111548	1.0	50.17
KEGG_RNA_DEGRADATION	1	0.000784971849285405	2.522205602908293	1.0	43.52
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.0007176885479180845	2.5237198124197873	1.0	38.53
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.0007136107720776408	2.5420150306321916	1.0	29.91
KEGG_MELANOMA	1	0.0006926222199577103	2.539842606044797	1.0	33.78
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.000607720141382249	2.569884021713678	1.0	50.51
KEGG_VIRAL_MYOCARDITIS	1	0.0005887288869640537	2.565011568780802	1.0	57.78
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.00052331456619027	2.607773435003888	1.0	28.35
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.0004485553424488028	2.650695914584259	1.0	49.8
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.00043308791684711995	2.6476351479239377	1.0	58.71
KEGG_ENDOMETRIAL_CANCER	1	0.00018839324382849716	2.7438173426702535	1.0	33.78
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.00018114734983509345	2.729964081636351	1.0	28.85
KEGG_APOPTOSIS	1	0.00017443818873008997	2.697861092158394	1.0	40.4
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.00015699436985708098	2.9031426176246535	1.0	50.9
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.00014951844748293427	2.8926620785827746	1.0	43.66
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.00014272215441552815	2.889491579088245	1.0	47.58
KEGG_TIGHT_JUNCTION	1	0.00013651684335398346	2.852277226611974	1.0	31.27
KEGG_WNT_SIGNALING_PATHWAY	1	0.0001308286415475675	2.7781061685748005	1.0	30.85
KEGG_PANCREATIC_CANCER	1	8.721909436504499e-05	3.0198123973747184	1.0	39.34
KEGG_PROSTATE_CANCER	1	8.262861571425314e-05	2.977403932974734	1.0	42.48
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.0	5.3305351937871945	1.0	37.72
KEGG_PATHWAYS_IN_CANCER	1	0.0	4.947909000504645	1.0	37.15
KEGG_FOCAL_ADHESION	1	0.0	4.471597680634402	1.0	34.0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.0	3.804422036512014	1.0	49.91
KEGG_ADHERENS_JUNCTION	1	0.0	3.5942720270318818	1.0	33.68
KEGG_SPLICEOSOME	1	0.0	3.5681465851682637	1.0	24.39
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.0	3.551704889515645	1.0	31.22
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.0	3.3809016158055893	1.0	46.43
KEGG_LYSOSOME	1	0.0	3.339538109188231	1.0	29.68
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.0	3.294257227086542	1.0	38.04
KEGG_ENDOCYTOSIS	1	0.0	3.2745904155046763	1.0	42.4
KEGG_RENAL_CELL_CARCINOMA	1	0.0	3.253357911622499	1.0	33.78
KEGG_ECM_RECEPTOR_INTERACTION	1	0.0	3.252774585269026	1.0	39.76
