pathway	freq	padj	NES	stability	overlap
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.24999217021007247	1.2808798398007875	0.03125	65.82
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	0.24976658875255758	1.3895534208850253	0.03125	74.75
KEGG_TRYPTOPHAN_METABOLISM	1	0.24120332447860446	1.2733156297983137	0.03125	31.08
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	0.2399025998454183	1.256258977332703	0.03125	56.24
KEGG_FATTY_ACID_METABOLISM	1	0.2297194158738645	1.279027732503867	0.03125	77.45
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	2	0.22681823970959825	1.2838109794825852	0.0625	46.489999999999995
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.22132412264884016	1.3011353733861382	0.03125	33.21
KEGG_HEDGEHOG_SIGNALING_PATHWAY	3	0.21942164421352575	1.2982085990304386	0.09375	49.13333333333333
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0.21696749381984065	1.3090721619037942	0.03125	75.62
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	4	0.21125470417470527	1.332725974800304	0.125	55.790000000000006
KEGG_NITROGEN_METABOLISM	2	0.20836473195454835	1.3348098568256117	0.0625	43.115
KEGG_RIBOFLAVIN_METABOLISM	2	0.19618668735758907	1.3358986554413874	0.0625	27.245
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.19144563611842527	1.3599354003322097	0.03125	16.58
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0.18941222223588583	1.5027400650644744	0.03125	30.2
KEGG_FOLATE_BIOSYNTHESIS	2	0.1877657596422676	1.7168712076285693	0.0625	55.8
KEGG_LONG_TERM_DEPRESSION	8	0.18276534532744337	1.3593554337039884	0.25	13.16
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	2	0.17324941586535597	1.3653823969698455	0.0625	66.705
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	3	0.1681450818762863	1.4125864573986622	0.09375	32.69
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	6	0.16725482023477467	1.4356864014350943	0.1875	57.193333333333335
KEGG_ONE_CARBON_POOL_BY_FOLATE	6	0.1670936761244485	1.4076869573760096	0.1875	60.02166666666667
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	4	0.1643881169128208	1.3834878886450945	0.125	27.0475
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	8	0.14760949479829455	1.4238934988203633	0.25	55.62625
KEGG_CALCIUM_SIGNALING_PATHWAY	4	0.1451481036583629	1.4309750845352114	0.125	78.3125
KEGG_VEGF_SIGNALING_PATHWAY	4	0.14300388591823687	1.4321293675550113	0.125	36.9625
KEGG_PYRUVATE_METABOLISM	3	0.14169506134113904	1.4307538097006478	0.09375	74.83666666666666
KEGG_BUTANOATE_METABOLISM	6	0.1396745961898849	1.4614143048677255	0.1875	69.29833333333333
KEGG_RNA_POLYMERASE	5	0.13952474127356593	1.4835111025478216	0.15625	70.798
KEGG_SULFUR_METABOLISM	3	0.1368571524679212	1.4873963831185326	0.09375	17.036666666666665
KEGG_OTHER_GLYCAN_DEGRADATION	6	0.13339745469792894	1.465875256749202	0.1875	54.66166666666666
KEGG_CHEMOKINE_SIGNALING_PATHWAY	4	0.1313307900517208	1.4825364431537618	0.125	57.555
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	3	0.13088822143710185	1.5110403198484341	0.09375	40.52
KEGG_BASE_EXCISION_REPAIR	2	0.1308258309272562	1.4717536173307422	0.0625	56.685
KEGG_ARACHIDONIC_ACID_METABOLISM	5	0.12543022810986937	1.5594188177644293	0.15625	68.844
KEGG_TYPE_II_DIABETES_MELLITUS	2	0.1194541635247181	1.4655340547306341	0.0625	52.565
KEGG_GLYCEROLIPID_METABOLISM	5	0.1185037151241887	1.5419059547031975	0.15625	58.839999999999996
KEGG_BLADDER_CANCER	3	0.11519512519882709	1.4954824062514582	0.09375	59.336666666666666
KEGG_O_GLYCAN_BIOSYNTHESIS	10	0.11226772535048206	1.5444313876545699	0.3125	64.94
