pathway	freq	padj	NES	stability	overlap
KEGG_PROPANOATE_METABOLISM	1	0.24818911998347506	1.3165092737651272	1.0	63.69
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.2452085675666151	-1.3397408518101042	1.0	67.35
KEGG_ASTHMA	1	0.2408104710312277	1.3347787905832478	1.0	51.48
KEGG_ENDOMETRIAL_CANCER	1	0.237828833265529	1.332959583719324	1.0	75.54
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.23758377406162348	1.343729594998877	1.0	82.7
KEGG_LYSINE_DEGRADATION	1	0.23569947451084458	-1.354335633414054	1.0	53.42
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.23475552392871019	1.3518643191139246	1.0	77.91
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.22840260703855722	1.363743688152531	1.0	81.52
KEGG_ERBB_SIGNALING_PATHWAY	1	0.21921506793096746	-1.381717942034201	1.0	70.74
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.21832133057237904	-1.3872062970725538	1.0	65.19
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.21827371496680525	-1.3783433423760967	1.0	75.45
KEGG_OLFACTORY_TRANSDUCTION	1	0.1857650686786484	-1.4318828292355004	1.0	62.61
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.18495798863857268	-1.4368909182574354	1.0	51.47
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.18343564377821459	-1.4438798784265952	1.0	49.25
KEGG_ARACHIDONIC_ACID_METABOLISM	1	0.17351060345515398	-1.4610782895114325	1.0	55.52
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.1715064699626719	1.4399944853522635	1.0	63.89
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	0.15715921117999007	-1.4895231112426401	1.0	53.4
KEGG_DNA_REPLICATION	1	0.15190129961088422	-1.5022588259351664	1.0	47.28
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.14020849208673422	-1.5394486887959098	1.0	73.13
