pathway	freq	mean_padj	mean_NES
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.0	12.635829228007177
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.0	10.319814525927532
GOBP_CHROMATIN_ORGANIZATION	1.0	0.0	10.296679699797059
GOBP_DNA_METABOLIC_PROCESS	1.0	0.0	9.869836976933177
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1.0	0.0	9.864865409145374
GOBP_MRNA_PROCESSING	1.0	0.0	9.603304889051698
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1.0	0.0	9.58098951770853
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	9.385749382843388
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	9.31635759756448
GOBP_HISTONE_MODIFICATION	1.0	0.0	9.035331817171393
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	0.0	8.943229001163507
GOBP_CELL_CYCLE_PROCESS	1.0	0.0	8.719261232321278
GOBP_NCRNA_METABOLIC_PROCESS	1.0	0.0	8.676359625491596
GOBP_RNA_PROCESSING	1.0	0.0	8.669544907328502
GOBP_DNA_REPAIR	1.0	0.0	8.608723727617493
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1.0	0.0	8.57746361023732
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	8.382961134219897
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	8.38211479453683
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	8.198562505088061
GOBP_RNA_SPLICING	1.0	0.0	8.099483138515676
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0	8.048455903300468
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	8.040411091249911
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	7.639708252957828
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	7.633651043895855
GOBP_MITOTIC_CELL_CYCLE	1.0	0.0	7.5931874000798665
GOBP_METHYLATION	1.0	0.0	7.475343619267066
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1.0	0.0	7.457131560565167
GOBP_REGULATION_OF_CELL_CYCLE	1.0	0.0	7.365365557482302
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1.0	0.0	7.354011211119666
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	7.285603696935294
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1.0	0.0	7.247335075435162
GOBP_NCRNA_PROCESSING	1.0	0.0	7.235818800280728
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1.0	0.0	7.21077836196801
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1.0	0.0	7.143444255086131
GOBP_ORGANELLE_ASSEMBLY	1.0	0.0	7.07305581579895
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	7.022301428893049
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	6.964808539774556
GOBP_CELL_DIVISION	1.0	0.0	6.894497892960999
GOBP_RNA_LOCALIZATION	1.0	0.0	6.886189549369929
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1.0	0.0	6.876262312363114
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1.0	0.0	6.83473431036059
GOBP_NUCLEAR_TRANSPORT	1.0	0.0	6.711684720870251
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1.0	0.0	6.6660141293948865
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	0.0	6.661378185658598
GOBP_MICROTUBULE_BASED_PROCESS	1.0	0.0	6.610500384651404
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1.0	0.0	6.6077825078790955
GOBP_CHROMOSOME_SEGREGATION	1.0	0.0	6.5460999680116085
GOBP_PROTEIN_POLYUBIQUITINATION	1.0	0.0	6.531749248996385
GOBP_MACROAUTOPHAGY	1.0	0.0	6.530876883106739
GOBP_DOUBLE_STRAND_BREAK_REPAIR	1.0	0.0	6.512285778047974
GOBP_DNA_CONFORMATION_CHANGE	1.0	0.0	6.486709260084996
GOBP_DNA_REPLICATION	1.0	0.0	6.401548012309256
GOBP_RNA_CATABOLIC_PROCESS	1.0	0.0	6.374211802748584
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	6.352965873451235
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	1.0	0.0	6.336556179255647
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	1.0	0.0	6.3304715213693505
GOBP_PROTEIN_METHYLATION	1.0	0.0	6.260112607144206
GOBP_CHROMATIN_REMODELING	1.0	0.0	6.2303603231219995
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	6.2030277873166675
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	1.0	0.0	6.1982833816178555
GOBP_ORGANELLE_LOCALIZATION	1.0	0.0	6.135626261251236
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	6.129879371825257
