pathway	freq	mean_padj
KEGG_ACUTE_MYELOID_LEUKEMIA	1.0	0.005402387244473467
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1.0	0.0746940420577589
KEGG_BASAL_TRANSCRIPTION_FACTORS	1.0	0.012370302091788965
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0862992595717317
KEGG_CELL_CYCLE	1.0	0.06413533076511717
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.0	0.019289233838659423
KEGG_COLORECTAL_CANCER	1.0	0.044187511375827
KEGG_DNA_REPLICATION	1.0	0.09005180412971543
KEGG_ENDOCYTOSIS	1.0	0.06158227712967888
KEGG_ENDOMETRIAL_CANCER	1.0	0.019289233838659423
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.0	0.06413533076511717
KEGG_ERBB_SIGNALING_PATHWAY	1.0	0.0043774250589330614
KEGG_GNRH_SIGNALING_PATHWAY	1.0	0.044187511375827
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1.0	0.06413533076511717
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1.0	0.025240858874391887
KEGG_INSULIN_SIGNALING_PATHWAY	1.0	0.0052687037070654474
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.0	0.06413533076511717
KEGG_LONG_TERM_POTENTIATION	1.0	0.036173609673806464
KEGG_LYSINE_DEGRADATION	1.0	0.0746940420577589
KEGG_MAPK_SIGNALING_PATHWAY	1.0	0.0052687037070654474
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.0	0.0028515514226714438
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.019289233838659423
KEGG_NOTCH_SIGNALING_PATHWAY	1.0	0.03441302319526507
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.0	0.012490170002989362
KEGG_OOCYTE_MEIOSIS	1.0	0.07626926370571266
KEGG_PANCREATIC_CANCER	1.0	0.07626926370571266
KEGG_PATHWAYS_IN_CANCER	1.0	0.012701340305101994
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1.0	0.037244825529984614
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.0	0.06413533076511717
KEGG_PROSTATE_CANCER	1.0	0.02204170434128249
KEGG_RENAL_CELL_CARCINOMA	1.0	0.037244825529984614
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0043774250589330614
KEGG_RNA_DEGRADATION	1.0	0.0052687037070654474
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.0	0.044187511375827
KEGG_SPLICEOSOME	1.0	3.528418708714624e-07
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1.0	0.013270645626805624
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1.0	1.362791994885114e-06
KEGG_WNT_SIGNALING_PATHWAY	1.0	0.013270645626805624
