pathway	freq	mean_padj
KEGG_ALZHEIMERS_DISEASE	1.0	0.07319414156840667
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1.0	0.07319414156840667
KEGG_CARDIAC_MUSCLE_CONTRACTION	1.0	0.09438077930144352
KEGG_CELL_CYCLE	1.0	0.09438077930144352
KEGG_HUNTINGTONS_DISEASE	1.0	0.004263893802996336
KEGG_LYSOSOME	1.0	0.011191070276776722
KEGG_OTHER_GLYCAN_DEGRADATION	1.0	0.07319414156840667
KEGG_OXIDATIVE_PHOSPHORYLATION	1.0	2.8679615556076385e-05
KEGG_PARKINSONS_DISEASE	1.0	2.8679615556076385e-05
KEGG_RNA_DEGRADATION	1.0	0.011191070276776722
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1.0	0.08280789141534071
KEGG_WNT_SIGNALING_PATHWAY	1.0	0.07319414156840667
