pathway	freq	mean_padj	mean_NES
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	6.9477568967425825
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.0	7.971407106294227
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.0	7.658311602324598
GOBP_MRNA_PROCESSING	1.0	0.0	6.6890207832524835
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	6.785094095774085
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1.0	0.0	6.592788945402456
GOBP_RNA_PROCESSING	1.0	0.0	4.813110167860837
GOBP_CHROMATIN_ORGANIZATION	1.0	0.0	6.293010358489113
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1.0	0.0	5.31516509172059
GOBP_HISTONE_MODIFICATION	1.0	0.0	6.0807239356295595
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	6.087752684980963
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	0.0	6.827904528440683
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	4.754311451716288
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	5.190896316816892
GOBP_DNA_METABOLIC_PROCESS	1.0	0.0	6.737421258955582
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	4.933574819389127
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.360867274903321
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1.0	0.0	5.8498381551554814
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.382211149802745
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	5.294517136261084
GOBP_RNA_SPLICING	1.0	0.0	5.835944271139784
GOBP_DNA_REPAIR	1.0	0.0	6.354412102415928
GOBP_METHYLATION	1.0	0.0	4.888501422782077
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1.0	0.0	5.1060640773694645
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1.0	0.0	4.654618003915122
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	1.852815925353013e-06	4.279294167119491
GOBP_NCRNA_METABOLIC_PROCESS	1.0	0.0	5.063334001914287
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1.0	0.0	4.820940785698664
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0015168515050363411	3.4369815257471235
GOBP_NUCLEAR_TRANSPORT	1.0	0.0	4.747249153948754
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	4.993103544925651
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1.0	0.0	4.276157457685621
GOBP_CELL_CYCLE_PROCESS	1.0	0.0	5.335771399912613
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1.0	0.0	4.881093445403289
GOBP_RNA_LOCALIZATION	1.0	2.4753291863252965e-05	4.104293302397632
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1.0	0.0	5.449324325066578
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	4.501091573880227e-06	4.270299186922547
GOBP_RNA_CATABOLIC_PROCESS	1.0	0.0	4.98827409006661
GOBP_MRNA_CATABOLIC_PROCESS	1.0	0.0	4.618416344384747
GOBP_MACROAUTOPHAGY	1.0	0.0	4.237840980736341
GOBP_NUCLEAR_EXPORT	1.0	0.0	4.366810510868493
GOBP_RNA_EXPORT_FROM_NUCLEUS	1.0	5.627317146986304e-05	3.9128473972758555
GOBP_MITOTIC_CELL_CYCLE	1.0	0.0	4.573187615288074
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	1.0	0.0001435397858271134	3.8991389460042765
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	4.397495105094625
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1.0	0.0008113346616024195	-4.967075704349373
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1.0	0.0	4.900718781239735
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	4.318114129032231
GOBP_NCRNA_PROCESSING	1.0	0.0	4.263185281173075
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	1.0	0.0	4.5495643862052315
GOBP_MRNA_TRANSPORT	1.0	0.00043219772849056507	3.826071495298582
GOBP_REGULATION_OF_AUTOPHAGY	1.0	7.422308632478363e-06	3.822158011775585
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	4.331735635491298
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	1.0	4.237885291640237e-05	3.725250615467797
GOBP_ORGANELLE_ASSEMBLY	1.0	0.0	4.312822050039036
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	1.0	2.310348084755001e-05	3.7808889631535965
GOBP_PROTEIN_POLYUBIQUITINATION	1.0	0.0	4.435872830891883
GOBP_REGULATION_OF_CELL_CYCLE	1.0	0.0	4.760658823822216
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1.0	6.847241663936632e-05	3.8549531622192172
GOBP_DNA_CONFORMATION_CHANGE	1.0	0.0	4.772410240797735
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1.0	0.00617450064352565	3.072080273639488
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	0.0	4.69934743957669
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS	1.0	1.6082607676223248e-05	3.7700180050935717
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1.0	3.485159039705983e-05	3.9435272891789155
GOBP_REGULATION_OF_MRNA_PROCESSING	1.0	0.0016329285644385257	3.24879598641118
GOBP_CHROMATIN_REMODELING	1.0	2.6076668579042403e-06	4.014309051985203
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1.0	0.0	4.0973202291405055
GOBP_PROTEIN_METHYLATION	1.0	0.0	4.380201590672052
GOBP_HISTONE_METHYLATION	1.0	2.640262693628043e-06	3.9941395043002044
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	4.1088551209967985
GOBP_DOUBLE_STRAND_BREAK_REPAIR	1.0	0.0	4.851364488398051
GOBP_PROTEIN_ACETYLATION	1.0	0.00028031130729558296	3.8617436494574737
GOBP_PROTEIN_ACYLATION	1.0	2.0506894707790626e-06	4.144390231753006
GOBP_GOLGI_VESICLE_TRANSPORT	1.0	0.00024967034312586167	3.5162374932835014
GOBP_PROTEOLYSIS	1.0	0.001984974015589181	3.2057447640200567
GOBP_BIOLOGICAL_ADHESION	1.0	6.290510362356308e-06	-3.979166274196022
GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.001339415805311203	3.4081442101449864
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	1.0	7.386270130315563e-06	3.7521007302295817
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1.0	0.006965271487186061	3.0295190374673635
GOBP_HUMORAL_IMMUNE_RESPONSE	1.0	0.001562934314474691	-4.7649358886483295
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.01197340580211649	3.1192770116057282
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0018822643170966129	3.152006658428743
GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	1.0	1.6317833053334282e-05	3.825186272736873
GOBP_TELOMERE_ORGANIZATION	1.0	2.223379110423615e-06	3.9098888300060435
GOBP_PEPTIDYL_LYSINE_METHYLATION	1.0	2.13354561101256e-06	3.868508956900261
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS	1.0	2.289205465680367e-05	3.744036548671391
GOBP_REGULATION_OF_HISTONE_MODIFICATION	1.0	0.00013525823181451132	3.3920150205395045
GOBP_REGULATION_OF_MACROAUTOPHAGY	1.0	0.00021542414691958772	3.191031774797724
GOBP_TELOMERE_MAINTENANCE	1.0	2.427827764255672e-06	3.8288915424429946
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	1.0	0.0018411185018572913	3.1391250342651733
GOBP_MITOCHONDRION_ORGANIZATION	1.0	0.0	4.577979127710451
GOBP_ENDOSOMAL_TRANSPORT	1.0	4.130607771450696e-05	3.464515726089186
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	1.0	0.00552122318442164	3.15721026730786
GOBP_CELL_CYCLE_PHASE_TRANSITION	1.0	0.00036137635450108024	3.3974062275768375
GOBP_PEPTIDYL_LYSINE_ACETYLATION	1.0	0.00010361155254611746	3.7076541986991907
GOBP_RIBOSOME_BIOGENESIS	1.0	0.0002128528045568164	3.2165920887285506
GOBP_MICROTUBULE_BASED_PROCESS	1.0	0.0	4.408621724189289
GOBP_PEPTIDE_METABOLIC_PROCESS	0.7916666666666666	0.039486541662390275	2.4712209355555474
GOBP_MRNA_EXPORT_FROM_NUCLEUS	1.0	0.0005260856052816743	3.587115286187657
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	8.39849658443333e-06	3.5969510926841015
GOBP_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	7.628889357335531e-05	3.7118564314774978
GOBP_REGULATION_OF_RNA_SPLICING	1.0	0.0014588884268810322	3.261779883916684
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	1.0	0.08482841422147896	2.1134386734042145
