pathway	freq	padj	stability	overlap
KEGG_SPLICEOSOME	1	2.60328270749296e-11	1.0	0.3412698412698413
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	1.1267536447718345e-08	1.0	0.3023255813953488
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	4.542733906193295e-06	1.0	0.27350427350427353
KEGG_ERBB_SIGNALING_PATHWAY	1	0.00010450056746756731	1.0	0.2839506172839506
KEGG_RNA_DEGRADATION	1	0.00010870747031338522	1.0	0.32727272727272727
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.00029709687485451766	1.0	0.3409090909090909
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.00029709687485451766	1.0	0.28169014084507044
KEGG_MAPK_SIGNALING_PATHWAY	1	0.0008359962832218774	1.0	0.18834080717488788
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.0012087163417067912	1.0	0.3
KEGG_PROSTATE_CANCER	1	0.0032883726417295175	1.0	0.23529411764705882
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.004824758991757663	1.0	0.21782178217821782
KEGG_PATHWAYS_IN_CANCER	1	0.005949370563159098	1.0	0.16433566433566432
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.009264341344052681	1.0	0.19834710743801653
KEGG_MISMATCH_REPAIR	1	0.009264341344052681	1.0	0.36363636363636365
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.009779174959914287	1.0	0.25
KEGG_RENAL_CELL_CARCINOMA	1	0.009961818585236364	1.0	0.2318840579710145
KEGG_GNRH_SIGNALING_PATHWAY	1	0.012197064028940963	1.0	0.21428571428571427
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.012197064028940963	1.0	0.25
KEGG_ENDOMETRIAL_CANCER	1	0.02089643799956997	1.0	0.24489795918367346
KEGG_WNT_SIGNALING_PATHWAY	1	0.021311417702412558	1.0	0.184
KEGG_LONG_TERM_POTENTIATION	1	0.021311417702412558	1.0	0.23214285714285715
KEGG_LYSINE_DEGRADATION	1	0.022519695878302954	1.0	0.25
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.02293662386344403	1.0	0.22807017543859648
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.025432631282001083	1.0	0.2727272727272727
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.02590419973290601	1.0	0.3181818181818182
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.027778889062512833	1.0	0.22033898305084745
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.028018113474651184	1.0	0.21212121212121213
KEGG_COLORECTAL_CANCER	1	0.029971075894268433	1.0	0.21666666666666667
KEGG_CELL_CYCLE	1	0.03672455695043438	1.0	0.17647058823529413
KEGG_ADHERENS_JUNCTION	1	0.04175237524162776	1.0	0.2
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.04175237524162776	1.0	0.23255813953488372
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.04439205783877612	1.0	0.18823529411764706
KEGG_MELANOGENESIS	1	0.049365562089862224	1.0	0.189873417721519
KEGG_THYROID_CANCER	1	0.05148300377691562	1.0	0.2692307692307692
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.05305570321065231	1.0	0.21153846153846154
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.05846190348184743	1.0	0.25925925925925924
KEGG_ENDOCYTOSIS	1	0.05846190348184743	1.0	0.15517241379310345
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.0711078527936001	1.0	0.18840579710144928
KEGG_PANCREATIC_CANCER	1	0.07751717553243379	1.0	0.18571428571428572
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.08625688804069238	1.0	0.2222222222222222
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.08625688804069238	1.0	0.17721518987341772
KEGG_MTOR_SIGNALING_PATHWAY	1	0.08625688804069238	1.0	0.2
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.08720016656935434	1.0	0.18055555555555555
KEGG_GLIOMA	1	0.09035539130249516	1.0	0.1896551724137931
KEGG_LYSOSOME	1	0.09035539130249516	1.0	0.15966386554621848
