pathway	freq	padj	stability	overlap
GOBP_CHROMOSOME_ORGANIZATION	1	8.036583281322323e-41	1.0	0.17865429234338748
GOBP_MRNA_METABOLIC_PROCESS	1	1.2775426831322903e-40	1.0	0.20408163265306123
GOBP_CHROMATIN_ORGANIZATION	1	2.0673526974756467e-33	1.0	0.2167381974248927
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	1.0167468245353666e-31	1.0	0.12492345376607471
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	3.4923300224648485e-30	1.0	0.12754409769335143
GOBP_RNA_PROCESSING	1	1.6364037392144655e-29	1.0	0.14422158548233047
GOBP_MRNA_PROCESSING	1	1.451964511852209e-28	1.0	0.2088167053364269
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	8.2745789814588e-28	1.0	0.13451776649746192
GOBP_HISTONE_MODIFICATION	1	2.0472414589064183e-27	1.0	0.20134228187919462
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1	6.592904015585646e-24	1.0	0.1425339366515837
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	1.7758297820809802e-23	1.0	0.11258278145695365
GOBP_INTRACELLULAR_TRANSPORT	1	2.0323002431120375e-22	1.0	0.11790079079798706
GOBP_CELL_CYCLE	1	5.490647477634855e-21	1.0	0.11221122112211221
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	4.9875917617165906e-18	1.0	0.13783783783783785
GOBP_PROTEIN_CATABOLIC_PROCESS	1	7.874227800316031e-18	1.0	0.12884834663625996
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	1.2149735063415963e-17	1.0	0.1480865224625624
GOBP_RNA_SPLICING	1	1.2800266606015961e-17	1.0	0.17894736842105263
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	6.268460542180257e-17	1.0	0.20930232558139536
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1	1.0878260610670677e-16	1.0	0.12542372881355932
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1	2.6063996856232554e-16	1.0	0.17897727272727273
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1	3.096738897783592e-16	1.0	0.13089005235602094
GOBP_PROTEIN_ACETYLATION	1	3.096738897783592e-16	1.0	0.23232323232323232
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1	4.307668629644863e-16	1.0	0.13172043010752688
GOBP_DNA_METABOLIC_PROCESS	1	6.792224945494366e-16	1.0	0.12781954887218044
GOBP_PROTEIN_ACYLATION	1	6.792224945494366e-16	1.0	0.2109704641350211
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1	6.792224945494366e-16	1.0	0.10331125827814569
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	1.1914249485688218e-15	1.0	0.19494584837545126
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	1.5600541954227762e-15	1.0	0.1372854914196568
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1	3.063687916172236e-15	1.0	0.10510948905109489
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1	3.063687916172236e-15	1.0	0.12610340479192939
GOBP_NUCLEAR_TRANSPORT	1	3.2846384580645838e-15	1.0	0.19014084507042253
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1	4.91289470829343e-15	1.0	0.10259917920656635
GOBP_NITROGEN_COMPOUND_TRANSPORT	1	6.242041733814621e-15	1.0	0.09729418537708694
GOBP_CHROMATIN_REMODELING	1	4.1224017788939623e-14	1.0	0.23121387283236994
GOBP_CELLULAR_RESPONSE_TO_STRESS	1	4.254082503811977e-14	1.0	0.09688995215311005
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	5.628000337362962e-14	1.0	0.10564516129032259
GOBP_MRNA_TRANSPORT	1	1.5943522756831812e-13	1.0	0.27586206896551724
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	2.64747167167662e-13	1.0	0.09859154929577464
GOBP_MRNA_CATABOLIC_PROCESS	1	3.045520056466502e-13	1.0	0.20476190476190476
GOBP_PEPTIDYL_LYSINE_ACETYLATION	1	3.7480769677448895e-13	1.0	0.2215909090909091
GOBP_REGULATION_OF_CELL_CYCLE	1	4.2208987081993643e-13	1.0	0.11375947995666305
GOBP_CELL_CYCLE_PROCESS	1	6.877633805282541e-13	1.0	0.10948191593352884
GOBP_DNA_REPAIR	1	7.401799619889074e-13	1.0	0.1431578947368421
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1	1.0631752876068505e-12	1.0	0.1101010101010101
GOBP_RNA_LOCALIZATION	1	1.0808249958176857e-12	1.0	0.21428571428571427
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1	1.3858676428266018e-12	1.0	0.10651974288337925
GOBP_RNA_CATABOLIC_PROCESS	1	1.8288655253881374e-12	1.0	0.184
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	1	1.857311834701289e-12	1.0	0.13333333333333333
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1	2.257662631516843e-12	1.0	0.14950980392156862
GOBP_METHYLATION	1	2.9658784382010127e-12	1.0	0.16560509554140126
GOBP_DNA_CONFORMATION_CHANGE	1	2.9709525143721276e-12	1.0	0.18442622950819673
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	1	4.473366909075328e-12	1.0	0.23129251700680273
GOBP_PROTEIN_METHYLATION	1	5.397673774472587e-12	1.0	0.21818181818181817
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	1	5.6726438069073314e-12	1.0	0.2357142857142857
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1	7.951223406013593e-12	1.0	0.1159235668789809
GOBP_PROTEOLYSIS	1	1.2078218210245458e-11	1.0	0.09536784741144415
GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1	2.700687214586601e-11	1.0	0.14251781472684086
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	5.419328542668117e-11	1.0	0.09641255605381166
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1	1.1632475206034482e-10	1.0	0.09874476987447699
GOBP_VESICLE_MEDIATED_TRANSPORT	1	1.3099076666302692e-10	1.0	0.0948905109489051
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	1	1.8023821032289784e-10	1.0	0.10594594594594595
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS	1	1.8023821032289784e-10	1.0	0.21476510067114093
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1	1.8708387759964041e-10	1.0	0.18974358974358974
GOBP_MITOTIC_CELL_CYCLE	1	2.4803696689856213e-10	1.0	0.11055276381909548
GOBP_HISTONE_METHYLATION	1	2.6593181974894047e-10	1.0	0.22388059701492538
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	2.7093587116572894e-10	1.0	0.1700404858299595
GOBP_NUCLEAR_EXPORT	1	3.389417757574465e-10	1.0	0.2152777777777778
GOBP_RNA_EXPORT_FROM_NUCLEUS	1	8.299486922588894e-10	1.0	0.2894736842105263
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1	1.312011331270888e-09	1.0	0.1000971817298348
GOBP_REGULATION_OF_HISTONE_MODIFICATION	1	1.6610936214469416e-09	1.0	0.19753086419753085
GOBP_VESICLE_ORGANIZATION	1	1.8644220529331567e-09	1.0	0.1575091575091575
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	1	1.8644220529331567e-09	1.0	0.13636363636363635
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	1	2.0481270456091255e-09	1.0	0.16810344827586207
GOBP_ENDOSOMAL_TRANSPORT	1	2.090817701633094e-09	1.0	0.17452830188679244
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	1	3.654590401466131e-09	1.0	0.1400560224089636
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1	5.255165537833622e-09	1.0	0.11246200607902736
GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	1	6.746748272391266e-09	1.0	0.24
GOBP_PEPTIDYL_LYSINE_METHYLATION	1	7.063540090556013e-09	1.0	0.2222222222222222
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	1	7.063540090556013e-09	1.0	0.17412935323383086
GOBP_MRNA_EXPORT_FROM_NUCLEUS	1	7.465743002136852e-09	1.0	0.32142857142857145
GOBP_VACUOLAR_TRANSPORT	1	7.480834061525847e-09	1.0	0.2013888888888889
GOBP_REGULATION_OF_MRNA_PROCESSING	1	8.762474016331776e-09	1.0	0.2125984251968504
GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	1	9.800551089090204e-09	1.0	0.2558139534883721
GOBP_CYTOSOLIC_TRANSPORT	1	1.3512455576070836e-08	1.0	0.1910828025477707
GOBP_NCRNA_PROCESSING	1	1.5137469138860506e-08	1.0	0.13573407202216067
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS	1	1.5930452942890947e-08	1.0	0.15129151291512916
