pathway	freq	padj	stability	overlap
KEGG_SPLICEOSOME	4	1.7671311553817792e-08	0.125	0.24206349206349206
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	4	1.579009582888647e-06	0.125	0.19961240310077522
KEGG_OXIDATIVE_PHOSPHORYLATION	10	0.0010894549356862135	0.3125	0.18796296296296297
KEGG_RNA_DEGRADATION	4	0.0015176001392618634	0.125	0.21363636363636362
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0.0018517836662428641	0.03125	0.20689655172413793
KEGG_ALZHEIMERS_DISEASE	10	0.001958210902444112	0.3125	0.15985401459854015
KEGG_PARKINSONS_DISEASE	10	0.0019984038264921717	0.3125	0.18380952380952384
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	0.0022810720536370842	0.03125	0.14173228346456693
KEGG_ARACHIDONIC_ACID_METABOLISM	1	0.00678155866692279	0.03125	0.2
KEGG_ENDOMETRIAL_CANCER	2	0.007092715639963663	0.0625	0.18367346938775508
KEGG_ERBB_SIGNALING_PATHWAY	4	0.007424106985412779	0.125	0.16666666666666666
KEGG_CARDIAC_MUSCLE_CONTRACTION	9	0.0080427857618473	0.28125	0.21247563352826512
KEGG_RENAL_CELL_CARCINOMA	3	0.008558029576907874	0.09375	0.16908212560386474
KEGG_COLORECTAL_CANCER	3	0.00953837559162713	0.09375	0.17777777777777778
KEGG_CHRONIC_MYELOID_LEUKEMIA	2	0.010271293218343615	0.0625	0.14788732394366197
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	2	0.011275731808069572	0.0625	0.1111111111111111
KEGG_MISMATCH_REPAIR	3	0.012219561849857695	0.09375	0.25757575757575757
KEGG_INSULIN_SIGNALING_PATHWAY	4	0.014378458966426899	0.125	0.13016528925619836
KEGG_MAPK_SIGNALING_PATHWAY	4	0.01574677280782888	0.125	0.10089686098654709
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	3	0.017866865403143917	0.09375	0.13201320132013203
KEGG_WNT_SIGNALING_PATHWAY	4	0.01911564184705808	0.125	0.11599999999999999
KEGG_PATHWAYS_IN_CANCER	3	0.019909787919210126	0.09375	0.09324009324009325
KEGG_MTOR_SIGNALING_PATHWAY	3	0.020811812555300364	0.09375	0.18000000000000002
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	4	0.020822394436100247	0.125	0.165
KEGG_ENDOCYTOSIS	3	0.020860245579335464	0.09375	0.1053639846743295
KEGG_INOSITOL_PHOSPHATE_METABOLISM	3	0.021909797254985736	0.09375	0.16025641025641024
KEGG_PANCREATIC_CANCER	2	0.022151443071373046	0.0625	0.1357142857142857
KEGG_HUNTINGTONS_DISEASE	10	0.02260501493878949	0.3125	0.13289473684210526
KEGG_ACUTE_MYELOID_LEUKEMIA	4	0.022988389567956603	0.125	0.16964285714285712
KEGG_NUCLEOTIDE_EXCISION_REPAIR	4	0.023293153333879532	0.125	0.1744186046511628
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	2	0.02386960447938098	0.0625	0.13768115942028986
KEGG_BASAL_TRANSCRIPTION_FACTORS	4	0.02390453872131401	0.125	0.19696969696969696
