pathway	freq	padj	NES	stability	overlap
GOBP_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	1	0.2498745586289723	1.4336037198412135	1.0	46.34
GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE	1	0.2498539993370723	1.4332274892551846	1.0	37.99
GOBP_RESPONSE_TO_CELL_CYCLE_CHECKPOINT_SIGNALING	1	0.24980896325223562	1.4334721692613095	1.0	41.43
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	1	0.24976555060531364	-1.6168490355848457	1.0	56.74
GOBP_TUBE_MORPHOGENESIS	1	0.24949511947469316	-1.6167396181030755	1.0	48.73
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_CELL_CLEARANCE	1	0.2492308674117351	-1.6166226807026967	1.0	53.69
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS	1	0.24724165649854674	-1.619714987369454	1.0	63.53
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_ESTERIFICATION	1	0.24698516061540074	-1.61956124746656	1.0	33.47
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	1	0.24682703912658416	-1.620436302502225	1.0	64.53
GOBP_NEURONAL_STEM_CELL_POPULATION_MAINTENANCE	1	0.24664105419994642	1.436833923772183	1.0	31.57
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	1	0.24658014874511408	1.437270099045184	1.0	47.38
GOBP_PROTEIN_SIALYLATION	1	0.24640233335999892	1.437237056533853	1.0	8.04
GOBP_VESICLE_CYTOSKELETAL_TRAFFICKING	1	0.24544553295059018	1.4385859846859623	1.0	16.94
GOBP_PHOTOPERIODISM	1	0.24412304077946792	1.4400640984522506	1.0	40.58
GOBP_ORGANELLE_INHERITANCE	1	0.24377179156720635	1.4405745642777532	1.0	32.15
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	1	0.24329471679981476	1.4411972499175727	1.0	21.13
GOBP_NEGATIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE	1	0.2432942967924008	1.441422190124948	1.0	55.11
GOBP_TISSUE_MORPHOGENESIS	1	0.24304545385770893	-1.6239043224746335	1.0	21.38
GOBP_SMOOTH_MUSCLE_CELL_MATRIX_ADHESION	1	0.24291422702728296	-1.625001713347387	1.0	47.31
GOBP_AMINE_CATABOLIC_PROCESS	1	0.24283931456224694	-1.624745067347817	1.0	55.71
GOBP_SULFUR_COMPOUND_CATABOLIC_PROCESS	1	0.24267748313778995	-1.6245025196186702	1.0	47.12
GOBP_CELLULAR_RESPONSE_TO_ETHER	1	0.24193785072023322	1.4428996746531038	1.0	36.35
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE	1	0.24048539941039793	1.4448134674297326	1.0	48.4
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	1	0.2403841228495155	-1.6275598592492113	1.0	40.52
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1	0.24037457191302625	1.4445377682867868	1.0	25.61
GOBP_DNA_DAMAGE_INDUCED_PROTEIN_PHOSPHORYLATION	1	0.24036012775198745	1.4447415187876376	1.0	32.69
GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION	1	0.24024016959935862	-1.6280389510814037	1.0	74.46
GOBP_POST_EMBRYONIC_ANIMAL_MORPHOGENESIS	1	0.24009213662229464	-1.6284457883104129	1.0	37.25
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	1	0.2391431872131548	1.4463224881836336	1.0	27.22
GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR	1	0.23880477862008548	1.447041870280508	1.0	24.15
GOBP_U4_SNRNA_3_END_PROCESSING	1	0.23863866252355298	1.447399170492495	1.0	57.97
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	0.23863858591241957	1.4470126528103051	1.0	39.96
GOBP_MESONEPHROS_DEVELOPMENT	1	0.23845904718722674	-1.630168158611697	1.0	36.93
GOBP_FAT_SOLUBLE_VITAMIN_CATABOLIC_PROCESS	1	0.23764497343154842	-1.6316399189172215	1.0	53.7
GOBP_RESPONSE_TO_ACIDIC_PH	1	0.23752070268454206	-1.6313647022017381	1.0	29.11
GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION	1	0.23736500609120237	-1.6322488700900966	1.0	40.14
GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS	1	0.23724297062110267	1.4489653453317028	1.0	42.69
GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.23711891790397674	-1.6363241599126082	1.0	53.84
GOBP_ACTIN_FILAMENT_ORGANIZATION	1	0.23707383719690614	-1.636016121641721	1.0	21.49
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	0.23670485805796024	-1.6370433408735845	1.0	48.53
GOBP_SMOOTH_MUSCLE_CONTRACTION	1	0.23669495917027797	-1.635990733726658	1.0	33.47
GOBP_LOOP_OF_HENLE_DEVELOPMENT	1	0.2366576248356386	-1.634645366059312	1.0	21.08
