pathway	freq	padj	NES	stability	overlap
GOBP_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	2	0.24988968017343927	1.4477155154115577	0.0625	19.5
GOBP_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT	1	0.24984155126110957	-1.4460484107163014	0.03125	8.66
GOBP_BILE_ACID_SECRETION	1	0.24974974658550778	-1.5293385621405766	0.03125	35.97
GOBP_NEGATIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	2	0.24946849087421946	-1.5809534719756144	0.0625	61.68
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	3	0.2493606080381825	1.422269815962319	0.09375	66.81
GOBP_KIDNEY_MESENCHYME_DEVELOPMENT	1	0.24903416032572906	1.486075481338734	0.03125	9.39
GOBP_REGULATION_OF_BILE_ACID_BIOSYNTHETIC_PROCESS	3	0.2488997612993309	-1.5941937257837206	0.09375	23.3
GOBP_MENAQUINONE_METABOLIC_PROCESS	1	0.24865710603216806	-1.5324051072230482	0.03125	24.92
GOBP_REGULATION_OF_MYOSIN_LIGHT_CHAIN_PHOSPHATASE_ACTIVITY	1	0.24858114193645617	1.3889918866056123	0.03125	21.6
GOBP_TRANSPORT_OF_VIRUS	1	0.24855002315090363	1.4866939914290886	0.03125	67.63
GOBP_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	1	0.24849020298995936	-1.4653504579273506	0.03125	79.36
GOBP_REGULATION_OF_AXONOGENESIS	2	0.24833970021083113	-1.5831253898685171	0.0625	17.36
GOBP_POSITIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	1	0.24827355613590438	1.3894736232825515	0.03125	35.86
GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS	3	0.24824848610512495	1.423868175790852	0.09375	64.56
GOBP_CELLULAR_RESPONSE_TO_IRON_ION	1	0.24784993279018042	-1.4670926036638372	0.03125	16.05
GOBP_CARDIAC_SEPTUM_DEVELOPMENT	1	0.24775450741836572	1.4057684437604732	0.03125	34.68
GOBP_RESPONSE_TO_MINERALOCORTICOID	1	0.24742087024567905	1.4911442181494177	0.03125	9.82
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1	0.24736686635019955	-1.5772544772272903	0.03125	68.38
GOBP_TETRAHYDROFOLATE_METABOLIC_PROCESS	1	0.24727436547554832	1.4882568760946855	0.03125	24.74
GOBP_CHANGES_TO_DNA_METHYLATION_INVOLVED_IN_EMBRYO_DEVELOPMENT	1	0.24715889456497994	1.3957154838157246	0.03125	20.26
GOBP_REGULATION_OF_GLIAL_CELL_APOPTOTIC_PROCESS	1	0.2471236325222044	-1.5346301152002781	0.03125	61.9
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	1	0.24697011831686502	-1.5353315194162849	0.03125	30.34
GOBP_REGULATION_OF_MICROTUBULE_NUCLEATION	3	0.24696753429485174	1.452305921971784	0.09375	32.38
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	1	0.24693209166358981	1.49324399622004	0.03125	38.44
