pathway	freq	padj	stability	overlap
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	2	1.6293603257465956e-07	0.0625	0.9822028206850235
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	16	1.5866132601730037e-06	0.5	0.9839669738863285
GOBP_LIPID_METABOLIC_PROCESS	2	3.316864485024143e-06	0.0625	0.9834494773519163
GOBP_CELL_CYCLE	27	2.9765446739851154e-05	0.84375	0.9839154873030213
GOBP_CHROMOSOME_ORGANIZATION	27	4.6473104000042126e-05	0.84375	0.989859424642033
GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	2	7.062357436200414e-05	0.0625	0.9839285714285715
GOBP_LIPID_BIOSYNTHETIC_PROCESS	2	7.749692647619048e-05	0.0625	0.9899665551839465
GOBP_RNA_PROCESSING	19	7.79336374632631e-05	0.59375	0.9846007805083853
GOBP_ORGANELLE_ASSEMBLY	19	8.119898115229803e-05	0.59375	0.9863387978142079
GOBP_ADAPTIVE_IMMUNE_RESPONSE	4	0.00017884898475670913	0.125	0.9906367041198502
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	4	0.00018062989255905232	0.125	0.9791487532244196
GOBP_CHROMATIN_ORGANIZATION	27	0.0002198368301632341	0.84375	0.9932733608882406
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	16	0.00022184621038333303	0.5	0.9760364989369241
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	18	0.0003983898700655056	0.5625	0.9753047935716267
GOBP_REGULATION_OF_IMMUNE_RESPONSE	4	0.00045493290834619526	0.125	0.9832650273224044
GOBP_IMMUNE_RESPONSE	4	0.0006566091479041353	0.125	0.9738725841088046
GOBP_PROTEIN_CATABOLIC_PROCESS	18	0.0006793922310718046	0.5625	0.9817404817404817
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	16	0.0009371890556107097	0.5	0.9855537720706258
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	21	0.00097846849054054	0.65625	0.9823041474654376
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	16	0.001027132773642158	0.5	0.9862054329371815
GOBP_ION_TRANSPORT	1	0.001048718347035565	0.03125	0.9764705882352941
GOBP_REGULATION_OF_CELL_CYCLE	27	0.0011068631420551032	0.84375	0.9856311160658985
GOBP_CELL_CYCLE_PROCESS	27	0.001311074862297002	0.84375	0.985817978782803
GOBP_ORGANIC_ANION_TRANSPORT	1	0.0014114199355954166	0.03125	0.9962962962962963
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	16	0.0015546107727156208	0.5	0.974423631123919
GOBP_REGULATION_OF_CELL_DEATH	1	0.0018347759472273554	0.03125	0.9728260869565217
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	4	0.0019057142618960877	0.125	0.989480198019802
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	27	0.002325517508278835	0.84375	0.9740943128921271
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	1	0.002848359124353913	0.03125	0.977326968973747
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	18	0.0030029581035035226	0.5625	0.9818890417239798
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	26	0.0030846001636928955	0.8125	0.9874333587204874
GOBP_MRNA_METABOLIC_PROCESS	24	0.003108655592682924	0.75	0.9865098351940454
GOBP_MITOTIC_CELL_CYCLE	27	0.0031779114372910136	0.84375	0.9854125224969214
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	16	0.0035551807129592283	0.5	0.9821685878962537
GOBP_HISTONE_MODIFICATION	27	0.0037482451542002215	0.84375	0.990867579908676
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	27	0.0037955909853420906	0.84375	0.9756074545883462
GOBP_CELLULAR_RESPONSE_TO_STRESS	27	0.003840670199838395	0.84375	0.9725744149057031
GOBP_ENDOCYTOSIS	4	0.003981962948527931	0.125	0.9837662337662336
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	28	0.003984281897087878	0.875	0.985359617288024
GOBP_CELL_DIVISION	28	0.004016970193417315	0.875	0.9882739212007505
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	28	0.004079571012851878	0.875	0.9764427302021288
GOBP_DNA_REPAIR	23	0.004130467681003902	0.71875	0.9883872166480864
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	24	0.004521978880968902	0.75	0.9766583054626533
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	17	0.004648472638863205	0.53125	0.9926040591675267
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	4	0.0047565880881284515	0.125	0.9865023474178404
GOBP_ORGANIC_ACID_TRANSPORT	1	0.005017114057596551	0.03125	0.9957983193277311
GOBP_DNA_METABOLIC_PROCESS	18	0.0051474443043581595	0.5625	0.9862004862004863
GOBP_MICROTUBULE_BASED_PROCESS	27	0.005158582811156809	0.84375	0.9822984749455337
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	4	0.005503254223924477	0.125	0.9864583333333334
GOBP_NCRNA_METABOLIC_PROCESS	19	0.005656362381574653	0.59375	0.9905240324237926
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	18	0.005726667127179532	0.5625	0.974468085106383
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	4	0.005961093397550422	0.125	0.9812252964426877
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	18	0.006578532197675895	0.5625	0.9850427350427352
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	27	0.00726426894871551	0.84375	0.9865497076023393
GOBP_REGULATION_OF_CATABOLIC_PROCESS	25	0.007300622612637713	0.78125	0.9798381502890172
GOBP_DEFENSE_RESPONSE	4	0.00749994663944481	0.125	0.9715463108320251
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION	18	0.007501263016160274	0.5625	0.9797979797979798
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	27	0.00758279778107233	0.84375	0.9842543077837199
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	21	0.008157630373842019	0.65625	0.9843422114608552
GOBP_RESPONSE_TO_STARVATION	1	0.008170586665863969	0.03125	1.0
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	18	0.008306409944229274	0.5625	0.9791480488531425
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	1	0.00850152705181815	0.03125	0.9955156950672646
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	27	0.008720715048060431	0.84375	0.9810549513044718
GOBP_SYNAPTIC_SIGNALING	2	0.0087345545585546	0.0625	0.9858156028368794
GOBP_RIBOSOME_BIOGENESIS	16	0.00876734002399376	0.5	0.993103448275862
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	21	0.00876799844819961	0.65625	0.9758102841935177
GOBP_DNA_CONFORMATION_CHANGE	26	0.008945972383158847	0.8125	0.9965463108320249
GOBP_PHAGOCYTOSIS	4	0.009155814110265378	0.125	0.9953183520599251
GOBP_REGULATION_OF_SECRETION	2	0.009365480085563293	0.0625	0.9853932584269662
GOBP_LIPID_LOCALIZATION	2	0.009522407653984644	0.0625	0.9919354838709677
GOBP_ION_TRANSMEMBRANE_TRANSPORT	1	0.009540827194946724	0.03125	0.9772403982930299
GOBP_MITOTIC_CELL_CYCLE_PROCESS	27	0.00969386503210689	0.84375	0.9878249985776868
GOBP_APOPTOTIC_SIGNALING_PATHWAY	2	0.009885990024895578	0.0625	0.9825242718446602
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	1	0.010269095751012126	0.03125	0.9757343550446999
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	7	0.010365298419124527	0.21875	0.9752052545155994
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	24	0.010431932331772439	0.75	0.9800662061024755
GOBP_PHOSPHORYLATION	15	0.010601947095469914	0.46875	0.9702033598585323
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	15	0.010659533219769094	0.46875	0.9734412955465589
GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY	18	0.01075503436742619	0.5625	0.9916833000665335
GOBP_NEUROGENESIS	9	0.01121310961706249	0.28125	0.9760198719785994
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	27	0.01134258091664635	0.84375	0.983302975106254
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	6	0.011858376284565986	0.1875	0.9840925524222705
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	1	0.012108213059450442	0.03125	0.9953271028037384
GOBP_CELL_ACTIVATION	4	0.012141851681091782	0.125	0.9768883878241263
GOBP_VESICLE_LOCALIZATION	1	0.012290102483642094	0.03125	1.0
GOBP_CYTOSKELETON_ORGANIZATION	21	0.012612041265244591	0.65625	0.9731706314967749
GOBP_INTRACELLULAR_TRANSPORT	28	0.012706961998889184	0.875	0.977557738530672
GOBP_CHEMICAL_HOMEOSTASIS	2	0.01289830639553138	0.0625	0.9761904761904763
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	27	0.013407572262714959	0.84375	0.9747938751472324
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	21	0.013598660791972967	0.65625	0.9881847475832439
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	3	0.013903241119422025	0.09375	0.9894179894179894
GOBP_RRNA_METABOLIC_PROCESS	16	0.013911326967056806	0.5	0.9946646341463415
