pathway	freq	mean_padj
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	1.0	0.009181167215813225
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	1.0	0.09970935603888519
GOBP_AUTOPHAGOSOME_ORGANIZATION	1.0	0.0009066316697683456
GOBP_AUTOPHAGY_OF_PEROXISOME	1.0	0.0795355445973998
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.019990399134624155
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1.0	0.0004532733213751018
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	3.887415713808761e-07
GOBP_CELLULAR_RESPONSE_TO_COLD	1.0	0.07862748224937267
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	0.06148164783453722
GOBP_CELLULAR_RESPONSE_TO_STARVATION	1.0	0.07284306762081345
GOBP_CELLULAR_RESPONSE_TO_STRESS	1.0	0.0009181802355889012
GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_1_PRODUCTION	1.0	0.0795355445973998
GOBP_CHROMATIN_ORGANIZATION	1.0	0.061970146727735265
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.059491216004957714
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	1.0	0.09970935603888519
GOBP_CYTOSOLIC_TRANSPORT	1.0	0.00019379853434189667
GOBP_DNA_CONFORMATION_CHANGE	1.0	0.04350171330617435
GOBP_DNA_GEOMETRIC_CHANGE	1.0	0.03946376615769885
GOBP_DNA_METABOLIC_PROCESS	1.0	0.06024397406668475
GOBP_DNA_REPAIR	1.0	0.006294194640150304
GOBP_DNA_REPLICATION	1.0	0.054837322864914724
GOBP_DNA_STRAND_ELONGATION	1.0	0.07193794756686683
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1.0	0.033953009234789396
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	1.0	0.04350171330617435
GOBP_ENDOSOMAL_TRANSPORT	1.0	0.00044866133078655266
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	1.0	0.03778792698623331
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1.0	0.0011905128784664998
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.047582603696724256
