pathway	freq	mean_padj	mean_NES
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	-8.33460924559441
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	-7.885694398806119
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-7.528065793127227
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	-7.412818383843313
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-7.2682763777224215
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	-6.988419190185263
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.0	-6.936122023067363
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1.0	0.0	-6.871044108033848
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1.0	0.0	-6.848373358600006
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	-6.663713527599632
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	-6.422431101152192
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	0.0	-6.400218764193773
GOBP_MRNA_PROCESSING	1.0	0.0	-6.243989129109685
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	-6.2192202597672335
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.0	-6.176460291547289
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1.0	0.0	-6.172803086498763
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	-6.147424133341187
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-5.916387945543359
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1.0	0.0	-5.836003305001524
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1.0	0.0	-5.7580648201112075
GOBP_MACROAUTOPHAGY	1.0	0.0	-5.7246768547854385
GOBP_HUMORAL_IMMUNE_RESPONSE	1.0	0.0	5.687150249110092
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1.0	0.0	-5.670310980130173
GOBP_GOLGI_VESICLE_TRANSPORT	1.0	0.0	-5.649064333447503
GOBP_RNA_SPLICING	1.0	0.0	-5.5693431690692226
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-5.542218271028624
GOBP_PHAGOCYTOSIS_RECOGNITION	1.0	0.0	5.531613106863143
GOBP_DNA_METABOLIC_PROCESS	1.0	0.0	-5.517171793345966
GOBP_DNA_REPAIR	1.0	0.0	-5.511175828176192
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	1.0	0.0	-5.481227469888671
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.0	-5.478837241369701
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0	-5.471182245941336
GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.0	-5.4513734617980685
GOBP_HISTONE_MODIFICATION	1.0	0.0	-5.361525118392108
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1.0	0.0	-5.33983174715632
GOBP_CHROMATIN_ORGANIZATION	1.0	0.0	-5.32691740047202
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	-5.317221086612074
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1.0	0.0	-5.306700550614175
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.0	-5.305754741056469
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	-5.274229471697878
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1.0	0.0	5.199721340116517
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	-5.163178360752931
GOBP_NCRNA_METABOLIC_PROCESS	1.0	0.0	-5.118064748450617
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1.0	0.0	-5.034709557132357
GOBP_COMPLEMENT_ACTIVATION	1.0	0.0	4.951949831603272
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1.0	0.0	-4.93259815865292
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	-4.930948570080985
GOBP_VIRAL_PROCESS	1.0	0.0	-4.9285441530222105
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	0.0	-4.913299729723936
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1.0	0.0	-4.896220947178714
GOBP_PEPTIDE_METABOLIC_PROCESS	1.0	0.0	-4.855038670716095
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	4.845065679998447
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	1.0	0.0	-4.812602229379764
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	1.0	0.0	4.809220905416218
GOBP_VESICLE_MEDIATED_TRANSPORT	1.0	0.0	-4.804753633630065
GOBP_RNA_CATABOLIC_PROCESS	1.0	0.0	-4.737020877265102
GOBP_PROTEIN_POLYUBIQUITINATION	1.0	0.0	-4.654692736625072
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	-4.6148864620684
GOBP_VESICLE_ORGANIZATION	1.0	0.0	-4.606199508140227
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1.0	0.0	-4.595975072006025
GOBP_VACUOLE_ORGANIZATION	1.0	0.0	-4.5720811997071324
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	-4.556034708393394
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	1.0	0.0	4.537914508795778
GOBP_MEMBRANE_INVAGINATION	1.0	0.0	4.499970568971845
GOBP_CELLULAR_NITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	-4.4859757084462375
GOBP_ORGANELLE_ASSEMBLY	1.0	0.0	-4.435532889879572
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	1.0	0.0	-4.411701848750342
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	1.0	0.0	-4.407026284804873
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-4.391901094905195
GOBP_NUCLEAR_TRANSPORT	1.0	0.0	-4.360562483300514
GOBP_RNA_3_END_PROCESSING	1.0	0.0	-4.35317385698749
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	1.0	0.0	-4.35155434975433
GOBP_NCRNA_PROCESSING	1.0	0.0	-4.34020368960992
GOBP_ENDOSOMAL_TRANSPORT	1.0	0.0	-4.3298265504800355
GOBP_REGULATION_OF_AUTOPHAGY	1.0	0.0	-4.317513543767878
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	1.0	0.0	-4.287798065408019
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION	1.0	0.0	-4.285940865628961
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	1.0	0.0	-4.276240338741242
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS	1.0	0.0	-4.269002037110955
GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	1.0	0.0	-4.259678688891488
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	1.0	0.0	-4.259174311926606
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1.0	0.0	-4.244972675661634
GOBP_PROTEIN_TARGETING	1.0	0.0	-4.219975374114702
GOBP_REGULATION_OF_MRNA_PROCESSING	1.0	0.0	-4.21417225314343
GOBP_MRNA_CATABOLIC_PROCESS	1.0	0.0	-4.199120744840462
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	1.0	0.0	-4.183340809420777
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	1.0	0.0	-4.18292116621988
GOBP_RNA_LOCALIZATION	1.0	0.0	-4.181830338309225
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	1.0	0.0	-4.1368652928750125
GOBP_VACUOLAR_TRANSPORT	1.0	0.0	-4.118476084162435
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	1.0	0.0	-4.11341431613483
GOBP_REGULATION_OF_B_CELL_ACTIVATION	1.0	0.0	4.110695547181426
GOBP_REGULATION_OF_PROTEOLYSIS	1.0	0.0	-4.103072998925539
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	1.0	0.0	4.099287392458389
GOBP_NUCLEUS_ORGANIZATION	1.0	0.0	-4.098621455378527
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	1.0	0.0	4.090161803502945
GOBP_ENDOSOME_ORGANIZATION	1.0	0.0	-4.064687741780814
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	1.0	0.0	-4.059882099383525
GOBP_IMMUNOGLOBULIN_PRODUCTION	1.0	0.0	4.043451518782449
GOBP_GOLGI_ORGANIZATION	1.0	0.0	-4.039512403941203
GOBP_DEPHOSPHORYLATION	1.0	0.0	-4.01904465281137
GOBP_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-4.015760459907344
GOBP_CYTOSKELETON_ORGANIZATION	1.0	0.0	-4.008075105962159
GOBP_CELL_RECOGNITION	1.0	0.0	3.987472864174613
GOBP_REGULATION_OF_RESPONSE_TO_STRESS	1.0	0.0	-3.9857855170262835
GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION	1.0	0.0	-3.974049898879539
GOBP_ORGANELLE_LOCALIZATION	1.0	0.0	-3.9632289027733463
GOBP_CYTOSOLIC_TRANSPORT	1.0	0.0	-3.957795281204372
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	1.0	0.0	-3.9338968257410554
GOBP_ERAD_PATHWAY	1.0	0.0	-3.9306870048357077
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	1.0	0.0	-3.930151579422134
GOBP_REGULATION_OF_CELL_DEATH	1.0	0.0	-3.927507923354254
GOBP_CELL_CYCLE_PROCESS	1.0	0.0	-3.9252142541144637
GOBP_METHYLATION	1.0	0.0	-3.911961815416998
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS	1.0	0.0	-3.898950045775097
GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	-3.856913054935822
GOBP_PROTEIN_DEPHOSPHORYLATION	1.0	0.0	-3.8546562891221248
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT	1.0	0.0	-3.838103733006284
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS	1.0	0.0	-3.8372390417235147
GOBP_NUCLEAR_MEMBRANE_ORGANIZATION	1.0	0.0	-3.826957537509114
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1.0	0.0	-3.8114307736610575
GOBP_NUCLEAR_EXPORT	1.0	0.0	-3.795664877859298
