pathway	freq	mean_padj	mean_NES
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	6.856750658003451
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	5.989796527214457
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1.0	0.0	5.454580479799573
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	5.364198524369468
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.0	5.34740519749068
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.32162878113829
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	5.244984769347684
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.1449114399106115
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	5.093494605972706
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1.0	0.0	5.0127356501698515
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	4.947966623273975
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0	4.928213862956959
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	4.887338569748737
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.0	4.727803107916854
GOBP_VESICLE_MEDIATED_TRANSPORT	1.0	0.0	4.545677680388825
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	4.5372427816833
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	4.41006469465634
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1.0	0.0	4.398377400854989
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	4.384534365234491
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1.0	0.0	4.320444444987618
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	4.298242885214599
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	4.282696750352348
GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.0	4.169906032768557
GOBP_GOLGI_VESICLE_TRANSPORT	1.0	0.0	4.146246080998396
GOBP_MRNA_PROCESSING	1.0	0.0	4.137744395303805
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1.0	0.0	4.1369847879339625
