pathway	freq	mean_padj	mean_NES
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	-7.942627177239361
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	-7.693463689238517
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-6.582480240809805
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-6.699212964932926
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1.0	0.0	-6.760910757846761
GOBP_PHAGOCYTOSIS_RECOGNITION	1.0	0.0	5.705068541158164
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	-5.840368337407066
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1.0	0.0	-6.064398584852377
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	-6.698775951342435
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	-6.5751118917044975
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	-6.096925125044415
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1.0	0.0	5.9126872914429685
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	-5.864428164121863
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1.0	0.0	-5.536907318857046
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.0	-6.769511164349356
GOBP_DNA_METABOLIC_PROCESS	1.0	0.0	-5.24810463278903
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.0	-5.4261551478512935
GOBP_GOLGI_VESICLE_TRANSPORT	1.0	0.0	-5.041995967301615
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	1.0	0.0	-4.9162999444978706
GOBP_HUMORAL_IMMUNE_RESPONSE	1.0	0.0	5.495954727806128
GOBP_MACROAUTOPHAGY	1.0	0.0	-5.267017577710389
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	0.0	-5.65930125033482
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.0	-4.699426912831124
GOBP_NCRNA_METABOLIC_PROCESS	1.0	0.0	-4.817621968776022
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1.0	0.0	-4.875591922146422
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	-5.155500897156401
GOBP_COMPLEMENT_ACTIVATION	1.0	0.0	4.860294303725961
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	-5.708134597538841
