pathway	freq	mean_padj
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	1.0	0.0008498682397787734
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	0.2	0.0876079847802999
GOBP_ACTIN_FILAMENT_BASED_PROCESS	1.0	1.8262100179643776e-13
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	1.0	8.82535361030326e-06
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	0.55	0.095186478396111
GOBP_ACTIN_FILAMENT_ORGANIZATION	1.0	8.926389325086155e-09
GOBP_ACTIN_FILAMENT_POLYMERIZATION	1.0	0.00010607365816889952
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	1.0	1.4211187865180741e-05
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	1.0	0.0018212540088134777
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	1.0	0.00678961527544341
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	1.0	1.217256757885068e-09
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	0.975	0.014105857401132273
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.925	0.02503137154268783
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	1.0	0.009387589191929748
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1.0	3.107069476919407e-05
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1.0	1.5588407924426246e-09
GOBP_ADAPTIVE_THERMOGENESIS	1.0	0.005344186938947676
GOBP_AEROBIC_RESPIRATION	0.95	0.011594235438907792
GOBP_AGING	1.0	0.020174080960835304
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	0.325	0.07123108937564392
GOBP_ALCOHOL_METABOLIC_PROCESS	0.925	0.021142326983150116
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	0.85	0.03604838324068061
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	1.0	0.01283424114610266
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1.0	0.00013541028446359225
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1.0	0.0013693517372463109
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	0.775	0.02275156046428992
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	1.0	0.0024238905799038417
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1.0	0.0003344518341018278
GOBP_AMIDE_TRANSPORT	0.6	0.031429088800174455
GOBP_AMINE_CATABOLIC_PROCESS	0.45	0.048900195478893335
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	1.0	0.0007858557241303821
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	1.0	0.0063637596139863835
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	1.0	0.013431189427883513
GOBP_AMYLOID_BETA_CLEARANCE	0.525	0.034907986015091715
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1.0	0.014624037688363409
GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS	0.8	0.03845987950637521
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.95	0.037401482828355495
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	0.45	0.0772100978404216
GOBP_ANIMAL_ORGAN_FORMATION	0.4	0.067725013672898
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	0.925	0.010648753043074388
GOBP_ANIMAL_ORGAN_REGENERATION	0.85	0.034853054736468186
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	1.0	0.0006622530630839836
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	0.65	0.03436537702149397
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	0.475	0.05809398110302745
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	0.85	0.025097340849353857
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	0.525	0.024847261451895995
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	0.55	0.0666745026097785
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	0.75	0.025107307642180412
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	0.5	0.014661350458214881
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	0.25	0.08313057417313709
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	0.475	0.05870350847549359
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	1.0	2.222152218123105e-09
GOBP_AORTA_DEVELOPMENT	0.55	0.05680396508590643
GOBP_AORTA_MORPHOGENESIS	0.075	0.08091237068037996
GOBP_APICAL_JUNCTION_ASSEMBLY	0.15	0.07220615717675678
GOBP_APOPTOTIC_CELL_CLEARANCE	0.55	0.06621153720435943
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	1.0	0.011879815828065302
GOBP_APOPTOTIC_SIGNALING_PATHWAY	1.0	1.6964687668052814e-16
GOBP_APPENDAGE_DEVELOPMENT	1.0	0.004399135652856082
GOBP_APPENDAGE_MORPHOGENESIS	1.0	0.012976156288786414
GOBP_ARTERY_DEVELOPMENT	0.35	0.06623515778182108
GOBP_ARTERY_MORPHOGENESIS	0.025	0.08027147979719886
GOBP_ASTROCYTE_DEVELOPMENT	0.3	0.051321804363260004
GOBP_ATP_METABOLIC_PROCESS	0.8	0.011419224419525534
