pathway	freq	mean_padj	mean_NES
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	6.5118028732700255
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.0	6.382716702382003
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	6.135123339072398
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.0	5.913591514431477
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1.0	0.0	5.766855694160228
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	5.738051349431691
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.0	5.360618738821922
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1.0	0.0	5.281790091467251
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	5.08400406980759
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0	5.058635184973879
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.0	4.992232962234775
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	4.972944997229666
GOBP_VESICLE_MEDIATED_TRANSPORT	1.0	0.0	4.9386529440018405
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0	4.896497954273707
GOBP_MRNA_PROCESSING	1.0	0.0	4.746056805616136
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	4.70809960730479
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.0	4.647316718307554
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	4.568632662153065
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	1.0	0.0	4.5576433065296404
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1.0	0.0	4.460754404904111
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1.0	0.0	4.4523215626245145
GOBP_RNA_PROCESSING	1.0	0.0	4.429406917303207
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	4.399109412369239
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1.0	0.0	4.350624908761544
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1.0	0.0	4.233513725709586
GOBP_RNA_SPLICING	1.0	0.0	4.149421463479473
GOBP_GOLGI_VESICLE_TRANSPORT	1.0	0.0	4.074900882504655
GOBP_MEMBRANE_ORGANIZATION	1.0	0.0	4.0658861692085795
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1.0	0.0	4.032049393303752
GOBP_CYTOSKELETON_ORGANIZATION	1.0	0.0	4.023450268596264
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1.0	0.0	4.0006663243285505
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1.0	0.0	3.994953196129738
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.0	3.9481961798912204
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1.0	0.0	3.9240806523274183
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0	3.855425910447541
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1.0	0.0	3.8418080657527103
GOBP_CELL_PROJECTION_ASSEMBLY	1.0	0.0	3.7823857804139456
GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1.0	0.0	3.767265528918344
GOBP_PROTEIN_DEPHOSPHORYLATION	1.0	0.0	3.7482501931666308
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	1.0	0.0	3.7461981382699325
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.0	3.7323238817367255
GOBP_ORGANELLE_ASSEMBLY	1.0	0.0	3.726593403461432
GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	1.0	0.0	3.698026100659518
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.0	3.6977422823357653
GOBP_B_CELL_ACTIVATION	1.0	0.0	3.693688422711982
GOBP_PEPTIDE_METABOLIC_PROCESS	1.0	0.0	3.6581819471110824
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1.0	0.0	3.6576006082758474
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	1.0	0.0	3.651950516647595
GOBP_LYMPHOCYTE_ACTIVATION	1.0	0.0	3.6414826412602253
GOBP_REGULATION_OF_AUTOPHAGY	1.0	0.0	3.570597607571212
GOBP_ERAD_PATHWAY	1.0	0.0	3.562958244653852
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	1.0	0.0	3.559969837706344
GOBP_MACROAUTOPHAGY	1.0	0.0	3.547116648664819
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	1.0	0.0	3.5238745853186293
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT	1.0	0.0	3.5002545807309287
GOBP_RNA_CATABOLIC_PROCESS	1.0	0.0	3.497410772470259
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	1.0	0.0	3.4920477244044164
GOBP_REGULATION_OF_MRNA_PROCESSING	1.0	0.0	3.471163466536258
GOBP_CELL_PROJECTION_ORGANIZATION	1.0	0.0	3.4645055088220964
GOBP_ENDOSOMAL_TRANSPORT	1.0	0.0	3.4522565534964937
GOBP_DEPHOSPHORYLATION	1.0	0.0	3.44806812046613
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	1.0	0.0	3.4432370124873994
GOBP_VIRAL_PROCESS	1.0	0.0	3.4294698002113337
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	3.3872328661861992
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	0.0	3.3807125826219693
GOBP_RNA_LOCALIZATION	1.0	0.0	3.378651991019528
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0	3.3677712742008117
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	1.0	0.0	3.3644719938785106
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	1.0	0.0	3.34805487848997
GOBP_HISTONE_MODIFICATION	1.0	0.0	3.3464587679081848
GOBP_IMMUNOGLOBULIN_PRODUCTION	1.0	0.0	3.3428227983896934
GOBP_RNA_3_END_PROCESSING	1.0	0.0	3.3426824035926352
GOBP_REGULATION_OF_IMMUNE_RESPONSE	1.0	0.0	3.3424810895773382
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1.0	0.0	3.341725035692401
GOBP_REGULATION_OF_RESPONSE_TO_STRESS	1.0	0.0	3.332271637591815
GOBP_PROTEIN_TARGETING	1.0	0.0	3.3076788011049993
GOBP_ACTIN_FILAMENT_ORGANIZATION	1.0	0.0	3.3044137176661508
GOBP_TRNA_METABOLIC_PROCESS	1.0	0.0	3.30294646315954
GOBP_MICROTUBULE_BASED_PROCESS	1.0	0.0	3.2797759982756802
GOBP_CHROMATIN_ORGANIZATION	1.0	0.0	3.272495003894536
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS	1.0	0.0	3.2637228823968014
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	1.0	0.0	3.2514064636083853
GOBP_VESICLE_ORGANIZATION	1.0	0.0	3.240707733660392
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.0	3.239151223304201
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	1.0	1.520813928054664e-05	3.2335128975396286
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1.0	1.5031300451703075e-05	3.2318280733648113
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	1.0	1.4858526883292694e-05	3.226113938576276
GOBP_VACUOLE_ORGANIZATION	1.0	1.4689679986891641e-05	3.2221240478811244
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1.0	1.4524627402769264e-05	3.2122274894487495
GOBP_MRNA_CATABOLIC_PROCESS	1.0	1.4363242653849606e-05	3.1994664976934075
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	1.0	1.420540482248862e-05	3.195625110774829
