pathway	freq	mean_padj
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	1.0	0.03977070700452141
GOBP_AUTOPHAGOSOME_ORGANIZATION	1.0	0.0005698339577792225
GOBP_AUTOPHAGY_OF_PEROXISOME	1.0	0.07726683580869287
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1.0	0.004782650614459128
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1.0	2.9884237833704876e-05
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	9.320090328854762e-08
GOBP_CELLULAR_RESPONSE_TO_COLD	1.0	0.07726683580869287
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.0	0.08633812530530799
GOBP_CELLULAR_RESPONSE_TO_STRESS	1.0	0.00037709977124969756
GOBP_CELL_CYCLE	1.0	0.09672232607648429
GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_1_PRODUCTION	1.0	0.07726683580869287
GOBP_CHROMATIN_ORGANIZATION	1.0	0.0765264406332132
GOBP_CHROMOSOME_ORGANIZATION	1.0	0.02978419661771319
GOBP_CILIUM_ORGANIZATION	1.0	0.05046764084772815
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	1.0	0.085083590033475
GOBP_CYTOSOLIC_TRANSPORT	1.0	0.00035061298548110816
GOBP_DNA_CONFORMATION_CHANGE	1.0	0.0358950133250495
GOBP_DNA_GEOMETRIC_CHANGE	1.0	0.012834148397874416
GOBP_DNA_REPAIR	1.0	0.02176984853388755
GOBP_DNA_REPLICATION	1.0	0.012930370200387408
GOBP_DNA_STRAND_ELONGATION	1.0	0.0705701746084569
GOBP_ENDOCYTIC_RECYCLING	1.0	0.01586563933725573
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1.0	0.002482024182001815
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	1.0	0.07726683580869287
GOBP_ENDOSOMAL_TRANSPORT	1.0	0.00012176548870661482
GOBP_ENDOSOME_ORGANIZATION	1.0	0.08016049790028511
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	1.0	0.029391956739422624
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1.0	0.0005071523015991127
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1.0	0.04438992716235804
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.07898148323062151
GOBP_GOLGI_ORGANIZATION	1.0	0.01586563933725573
GOBP_GOLGI_VESICLE_TRANSPORT	1.0	0.001734133356840728
GOBP_HIPPO_SIGNALING	1.0	0.030067197183593394
GOBP_HISTONE_H3_ACETYLATION	1.0	0.04071938825715914
GOBP_HISTONE_H4_ACETYLATION	1.0	0.08103478806930017
GOBP_HISTONE_MODIFICATION	1.0	0.06068117505193598
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.0022343521933783886
GOBP_INTRACELLULAR_TRANSPORT	1.0	9.253245961910317e-09
GOBP_JNK_CASCADE	1.0	0.0705701746084569
GOBP_LIPOPROTEIN_BIOSYNTHETIC_PROCESS	1.0	0.09514862072387965
GOBP_LIPOPROTEIN_METABOLIC_PROCESS	1.0	0.08921476649580953
GOBP_LOCALIZATION_WITHIN_MEMBRANE	1.0	0.08590362392652234
GOBP_MACROAUTOPHAGY	1.0	3.216835967400457e-07
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	4.846394784253743e-11
GOBP_MACROPINOCYTOSIS	1.0	0.06068117505193598
GOBP_MAGNESIUM_ION_TRANSPORT	1.0	0.059282904090268984
GOBP_MEMBRANE_DOCKING	1.0	0.07726683580869287
GOBP_MEMBRANE_FUSION	1.0	0.03903042968874655
GOBP_MICROTUBULE_BASED_PROCESS	1.0	0.09691473933784507
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	1.0	0.0765264406332132
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	1.1408544106514148e-07
GOBP_MRNA_CATABOLIC_PROCESS	1.0	0.021040979641505163
GOBP_MRNA_METABOLIC_PROCESS	1.0	7.217878903465138e-08
GOBP_MRNA_PROCESSING	1.0	3.1402454861504357e-06
GOBP_NCRNA_EXPORT_FROM_NUCLEUS	1.0	0.031823296785808815
GOBP_NCRNA_METABOLIC_PROCESS	1.0	0.01586563933725573
GOBP_NCRNA_PROCESSING	1.0	0.02978419661771319
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1.0	0.0019143794155198123
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0415411230609222
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.0005071523015991127
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.009157526581024667
GOBP_NITROGEN_COMPOUND_TRANSPORT	1.0	0.0005071523015991127
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	1.0	0.07726683580869287
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	1.0	0.08855173377895639
GOBP_NUCLEOTIDE_EXCISION_REPAIR	1.0	0.07726683580869287
GOBP_NUCLEUS_ORGANIZATION	1.0	0.0911892495350718
