pathway	freq	mean_padj
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	1.0	0.015097617633218558
GOBP_ACTIN_FILAMENT_BASED_PROCESS	1.0	2.634766905833394e-09
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	1.0	0.0027662636453953953
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	0.4	0.08725704580877287
GOBP_ACTIN_FILAMENT_ORGANIZATION	1.0	7.414058162887351e-06
GOBP_ACTIN_FILAMENT_POLYMERIZATION	1.0	0.006177271230622164
GOBP_ACTIN_NUCLEATION	0.85	0.045897535738369265
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	1.0	0.002979956040766591
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	1.0	0.0007121414120832766
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	0.95	0.03308080077842429
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	0.6	4.397513315815281e-10
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	0.6	0.011225537025899367
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.9	0.04861573196476532
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.35	0.0672643608737511
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.6	6.129400808371288e-16
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.8	0.007028588810712527
GOBP_ADAPTIVE_THERMOGENESIS	1.0	0.0005020568859546363
GOBP_ADHERENS_JUNCTION_ASSEMBLY	0.25	0.09224375118547824
GOBP_AEROBIC_RESPIRATION	0.9	0.00592411098468799
GOBP_AGING	1.0	0.024325401364157388
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	0.9	0.020079854798361094
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	1.0	0.006489095168580542
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1.0	0.0008062233956806495
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1.0	0.006836296934402517
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	1.0	0.010158011867957851
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.7	0.012926657923056552
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	1.0	0.0014708067982327497
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1.0	0.007141176475445926
GOBP_AMIDE_TRANSPORT	1.0	0.020641856571546914
GOBP_AMINE_CATABOLIC_PROCESS	1.0	0.02983782263025925
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	1.0	0.00043342516713814055
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	1.0	0.00203755590254883
GOBP_AMINO_SUGAR_CATABOLIC_PROCESS	0.85	0.05479517994640937
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	0.8	0.01922224203365257
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1.0	0.0016680520711001374
GOBP_ANATOMICAL_STRUCTURE_HOMEOSTASIS	0.9	0.03471740194871259
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.65	0.04399516549478171
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	0.6	0.07011609044201693
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	1.0	9.410383459720956e-05
GOBP_ANIMAL_ORGAN_REGENERATION	0.8	0.017789443263101296
GOBP_ANTEROGRADE_AXONAL_TRANSPORT	0.55	0.08126800527196969
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	1.0	0.0033650330635240093
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	1.0	0.025597073330966853
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	0.75	0.049899750708986446
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	0.8	0.003512983366837745
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	0.8	0.013941776670821195
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	0.7	0.03810405680584622
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	0.8	0.013721556171921558
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	0.95	0.03349830200966538
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	0.55	0.07284007620799465
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	0.75	0.05541457907608578
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.6	8.828953121264586e-09
GOBP_AORTA_DEVELOPMENT	1.0	0.0206060913372033
GOBP_AORTA_MORPHOGENESIS	0.65	0.0722514418946691
GOBP_AORTIC_VALVE_MORPHOGENESIS	0.6	0.05862783318055458
GOBP_APICAL_JUNCTION_ASSEMBLY	0.7	0.07176382195449603
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	0.95	0.005252786863635202
GOBP_APOPTOTIC_SIGNALING_PATHWAY	1.0	9.133025483477227e-15
GOBP_APPENDAGE_DEVELOPMENT	1.0	0.006747078456553935
GOBP_APPENDAGE_MORPHOGENESIS	0.95	0.010825299952505318
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION	0.45	0.06604356191405002
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	1.0	0.06982096217532001
GOBP_ARTERY_DEVELOPMENT	1.0	0.0350946556756706
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	1.0	0.02263837513306716
GOBP_ATP_METABOLIC_PROCESS	0.9	0.017648856794896802
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	1.0	0.0001446770807533575
GOBP_AUTOPHAGOSOME_MATURATION	0.9	0.01725502322190354
GOBP_AUTOPHAGOSOME_ORGANIZATION	1.0	8.436589666004378e-05
GOBP_AUTOPHAGY_OF_MITOCHONDRION	1.0	0.001288983552156113
GOBP_AXONAL_TRANSPORT	1.0	0.022218077589203286
GOBP_AXON_DEVELOPMENT	1.0	0.00015920564512361104
GOBP_AXON_EXTENSION	1.0	0.01031708407927804
GOBP_AXO_DENDRITIC_TRANSPORT	1.0	0.015308464576478203
GOBP_BASEMENT_MEMBRANE_ORGANIZATION	0.7	0.028472465055756808
GOBP_BASE_EXCISION_REPAIR	0.9	0.025967006642074724
GOBP_BIOLOGICAL_ADHESION	1.0	8.164221827728222e-07
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	1.0	8.479183343660571e-05
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	1.0	0.008415130427726701
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	1.0	0.0007658207388490972
GOBP_BLASTOCYST_DEVELOPMENT	0.7	0.013419655617597833
GOBP_BLOOD_VESSEL_MORPHOGENESIS	1.0	0.00680709661358907
GOBP_BODY_MORPHOGENESIS	0.7	0.0067336836274906105
GOBP_BONE_CELL_DEVELOPMENT	0.7	0.007522370934275138
GOBP_BONE_DEVELOPMENT	1.0	2.115443824256775e-06
GOBP_BONE_MINERALIZATION	1.0	0.0047319166622347315
GOBP_BONE_MORPHOGENESIS	0.85	0.020118275299279575
