pathway	freq	mean_padj
GOBP_AUTOPHAGOSOME_ORGANIZATION	1.0	0.06323920494623368
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1.0	0.06409285494313466
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1.0	0.0021062028803270696
GOBP_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	1.0	0.04806939602251573
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER	1.0	0.04078043080400179
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1.0	0.04242434027652334
GOBP_GOLGI_ORGANIZATION	1.0	0.032222692783378575
GOBP_GOLGI_VESICLE_TRANSPORT	1.0	0.03220205321630123
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	1.0	0.08008435656082978
GOBP_HISTONE_H3_K27_DEMETHYLATION	1.0	0.0788393266515132
GOBP_HISTONE_H3_K36_DEMETHYLATION	1.0	0.07387646063151065
GOBP_IMMUNOGLOBULIN_PRODUCTION	1.0	0.03575186862130719
GOBP_INTERFERON_BETA_PRODUCTION	1.0	0.04078043080400179
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.03220205321630123
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	1.0	0.06323920494623368
GOBP_INTRACELLULAR_TRANSPORT	1.0	0.03220205321630123
GOBP_MACROAUTOPHAGY	1.0	0.04078043080400179
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.00018571879041816037
GOBP_MISMATCH_REPAIR	1.0	0.02697361477462734
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1.0	0.001022953684584711
GOBP_MRNA_METABOLIC_PROCESS	1.0	0.00037905881274747575
GOBP_MRNA_PROCESSING	1.0	0.005588476042751415
GOBP_NEURAL_TUBE_PATTERNING	1.0	0.0861789912175034
GOBP_NITROGEN_COMPOUND_TRANSPORT	1.0	0.03220205321630123
GOBP_ORGANELLE_FUSION	1.0	0.08008435656082978
GOBP_ORGANELLE_MEMBRANE_FUSION	1.0	0.05572517764971052
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1.0	0.006679937706431248
GOBP_PEPTIDYL_ARGININE_N_METHYLATION	1.0	0.0861789912175034
GOBP_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS	1.0	0.055276727452925556
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1.0	0.04078043080400179
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.04080901566814976
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.0	0.03575186862130719
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1.0	0.01809554187186771
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0	0.04991904898601667
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1.0	0.0763289398504685
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.0	0.05350745363086717
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1.0	0.02697361477462734
GOBP_PROTEIN_CATABOLIC_PROCESS	1.0	0.00108838571300585
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION	1.0	0.08008435656082978
GOBP_PROTEIN_DEMETHYLATION	1.0	0.07558677845857428
GOBP_PROTEIN_HOMOOLIGOMERIZATION	1.0	0.08581268249065224
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION	1.0	0.03950216681394668
GOBP_PROTEIN_LOCALIZATION_TO_CILIARY_TRANSITION_ZONE	1.0	0.04078043080400179
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1.0	0.00037905881274747575
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1.0	0.0002606465561115048
GOBP_PROTEIN_MONOUBIQUITINATION	1.0	0.0788393266515132
GOBP_PROTEIN_MONO_ADP_RIBOSYLATION	1.0	0.03145476779743127
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1.0	0.0788393266515132
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1.0	0.04078043080400179
GOBP_REGULATION_OF_VACUOLE_ORGANIZATION	1.0	0.05572517764971052
GOBP_RESPONSE_TO_VIRUS	1.0	0.06709200374114001
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	1.0	0.0006547506882630954
GOBP_RNA_METHYLATION	1.0	0.008184430397280874
GOBP_RNA_MODIFICATION	1.0	0.003944932616339465
GOBP_RNA_PROCESSING	1.0	0.0012058290239580095
GOBP_RNA_SPLICING	1.0	0.03145476779743127
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1.0	0.08403565692783363
GOBP_TOLL_LIKE_RECEPTOR_8_SIGNALING_PATHWAY	1.0	0.0788393266515132
GOBP_TYPE_I_INTERFERON_PRODUCTION	1.0	0.06247812448107896
GOBP_VACUOLE_ORGANIZATION	1.0	0.00720918947621896
GOBP_VIRAL_PROCESS	1.0	0.08008435656082978
