pathway	freq	padj	stability	overlap
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	1.4694662252583744e-14	1.0	0.18075313807531382
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	2.153494322489405e-10	1.0	0.18900804289544235
GOBP_PROTEIN_CATABOLIC_PROCESS	1	2.390851875729424e-10	1.0	0.18006795016987542
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	2.390851875729424e-10	1.0	0.1986754966887417
GOBP_RNA_PROCESSING	1	3.079701407444641e-09	1.0	0.16760299625468164
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1	6.155900326725029e-08	1.0	0.15137614678899083
GOBP_MRNA_METABOLIC_PROCESS	1	8.013276786282409e-08	1.0	0.18209876543209877
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1	1.283412046134303e-07	1.0	0.1677927927927928
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1	3.0135092941699455e-07	1.0	0.15583333333333332
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1	3.943828519382302e-07	1.0	0.16499442586399107
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1	4.7503671637509795e-07	1.0	0.20256410256410257
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1	5.538941774007161e-07	1.0	0.19264069264069264
GOBP_NITROGEN_COMPOUND_TRANSPORT	1	7.645633143348593e-07	1.0	0.14334277620396602
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	1.8271072088540728e-06	1.0	0.1460823373173971
GOBP_INTRACELLULAR_TRANSPORT	1	3.7827395011292422e-06	1.0	0.14660056657223797
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1	7.733710476994011e-06	1.0	0.16323907455012854
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	1	1.2600097320933952e-05	1.0	0.18240343347639484
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1	1.284884927661263e-05	1.0	0.1780821917808219
GOBP_GOLGI_VESICLE_TRANSPORT	1	1.595410271483748e-05	1.0	0.20701754385964913
GOBP_MACROAUTOPHAGY	1	2.00316898838655e-05	1.0	0.20408163265306123
GOBP_MRNA_PROCESSING	1	3.198905208641824e-05	1.0	0.18140589569160998
GOBP_VACUOLE_ORGANIZATION	1	3.198905208641824e-05	1.0	0.2346368715083799
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1	3.357192030644998e-05	1.0	0.15849056603773584
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	3.512000004206874e-05	1.0	0.14069690992767916
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.00010321213190246429	1.0	0.13682331945270673
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1	0.0001633349225574755	1.0	0.15422885572139303
GOBP_VESICLE_MEDIATED_TRANSPORT	1	0.00024028791093296363	1.0	0.139186295503212
GOBP_AUTOPHAGOSOME_ORGANIZATION	1	0.0003107413951931349	1.0	0.2616822429906542
GOBP_RNA_SPLICING	1	0.00031983129037246335	1.0	0.17829457364341086
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1	0.0004186191601746274	1.0	0.2328767123287671
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	0.0004186191601746274	1.0	0.1339964891749561
GOBP_CELLULAR_RESPONSE_TO_STRESS	1	0.00045457273340406554	1.0	0.13388138578978273
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1	0.0006332334202225699	1.0	0.16810344827586207
GOBP_RNA_METHYLATION	1	0.0006981213747415919	1.0	0.2857142857142857
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	1	0.0008274892563545994	1.0	0.1951219512195122
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1	0.0008696192987357003	1.0	0.2048780487804878
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1	0.0009975508429979588	1.0	0.2222222222222222
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT	1	0.0009975508429979588	1.0	0.18394648829431437
