pathway	freq	padj	NES	stability	overlap
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.24473000846185933	1.384876635723984	1.0	68.81
KEGG_SMALL_CELL_LUNG_CANCER	1	0.2234596378185791	-1.270538646838617	1.0	29.69
KEGG_TYPE_II_DIABETES_MELLITUS	1	0.2083049271971515	1.432481883288152	1.0	17.58
KEGG_FOLATE_BIOSYNTHESIS	1	0.2032293986636971	1.4449477537701225	1.0	61.8
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.20146743990839547	-1.3000258922735735	1.0	13.96
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.20119334857347912	-1.3033207956077213	1.0	44.7
KEGG_WNT_SIGNALING_PATHWAY	1	0.2000850895882973	-1.307924526529085	1.0	23.12
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	0.19717874065320737	-1.3141223471118044	1.0	30.3
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.1885533033947619	1.4706359225126182	1.0	44.32
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.16157376411706653	-1.3665776596790928	1.0	25.03
KEGG_LONG_TERM_DEPRESSION	1	0.1512743928610485	-1.3863340268730422	1.0	37.73
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.1426598381086616	1.5382234127028622	1.0	18.93
KEGG_LYSINE_DEGRADATION	1	0.13416674470383486	-1.417645064887691	1.0	36.2
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	0.13219559485290763	1.561093436452915	1.0	20.69
KEGG_GAP_JUNCTION	1	0.1117018446136977	-1.4626163000486627	1.0	6.27
KEGG_NITROGEN_METABOLISM	1	0.1035642429077115	1.6177593628981979	1.0	51.77
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0.10187287230206009	1.6285097300576372	1.0	67.21
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.10031381238406986	-1.490060106816719	1.0	40.19
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.09605038303219705	-1.5022021263263639	1.0	53.65
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.09280129508656672	1.656049216316929	1.0	75.15
KEGG_SULFUR_METABOLISM	1	0.08111896538738797	1.690839804270268	1.0	54.21
KEGG_GLUTATHIONE_METABOLISM	1	0.07972090421010727	1.702783811687078	1.0	67.7
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0.07874945424954855	1.7520993765932664	1.0	47.24
KEGG_BASAL_CELL_CARCINOMA	1	0.07822859171750428	1.7439201721832291	1.0	43.75
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	0.07513924304860686	1.7417553212994845	1.0	23.05
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.07471807171202173	1.724657884364704	1.0	24.28
KEGG_FOCAL_ADHESION	1	0.07333037942120929	1.7377349426562942	1.0	6.79
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	0.07273932529734474	1.7767211451524254	1.0	21.79
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.06340540158930766	-1.5986157259191172	1.0	36.14
KEGG_THYROID_CANCER	1	0.06317445221745813	-1.597208712307066	1.0	35.41
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.06225671445375498	-1.605168539371945	1.0	27.44
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.05711985769369954	-1.6281212585676657	1.0	38.04
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.05642491519534622	-1.6351232017698765	1.0	40.72
