pathway	freq	padj	stability	overlap
GOBP_MRNA_METABOLIC_PROCESS	1	3.075124466591569e-77	1.0	0.3765432098765432
GOBP_MRNA_PROCESSING	1	1.0640735935031088e-66	1.0	0.41950113378684806
GOBP_RNA_PROCESSING	1	1.2575185070109421e-55	1.0	0.2705992509363296
GOBP_RNA_SPLICING	1	5.087174884917776e-54	1.0	0.40568475452196384
GOBP_CHROMOSOME_ORGANIZATION	1	5.8391020517508184e-52	1.0	0.28376844494892167
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	1.3487363488258949e-44	1.0	0.4280701754385965
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	2.0972372267863735e-43	1.0	0.2135633551457466
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	2.199056281465258e-39	1.0	0.2143326758711374
GOBP_CHROMATIN_ORGANIZATION	1	1.4354805617006753e-38	1.0	0.3228511530398323
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	2.3505056530093713e-36	1.0	0.4076923076923077
GOBP_HISTONE_MODIFICATION	1	2.6190916807552116e-35	1.0	0.3172866520787746
GOBP_CELL_CYCLE	1	6.6414315870159035e-34	1.0	0.20454545454545456
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	3.3789174311727195e-33	1.0	0.19719133996489174
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	1.7337176951659035e-32	1.0	0.21841004184100418
GOBP_REGULATION_OF_MRNA_PROCESSING	1	1.8155292232235725e-30	1.0	0.5193798449612403
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1	1.7934964653450448e-27	1.0	0.2410596026490066
GOBP_CELL_CYCLE_PROCESS	1	3.5817005302468347e-26	1.0	0.2144927536231884
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1	7.61644208678508e-24	1.0	0.28433734939759037
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1	2.6597254027343993e-22	1.0	0.2140468227424749
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	6.308212790697796e-22	1.0	0.24172185430463577
GOBP_REGULATION_OF_RNA_SPLICING	1	3.0161979259216267e-21	1.0	0.4225352112676056
GOBP_DNA_REPAIR	1	8.739587398062927e-21	1.0	0.256198347107438
GOBP_CELLULAR_RESPONSE_TO_STRESS	1	1.213226311363796e-20	1.0	0.17557251908396945
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1	1.2285055060009302e-20	1.0	0.2849162011173184
GOBP_DNA_METABOLIC_PROCESS	1	1.7930204433131875e-20	1.0	0.21534653465346534
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1	3.827772054515029e-20	1.0	0.18071476736345246
GOBP_INTRACELLULAR_TRANSPORT	1	5.1179867383325936e-20	1.0	0.18271954674220964
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	8.101825965294684e-20	1.0	0.21849865951742628
GOBP_MITOTIC_CELL_CYCLE	1	1.3373660380307154e-19	1.0	0.2123456790123457
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	1	3.37033156827957e-19	1.0	0.4842105263157895
GOBP_PROTEIN_CATABOLIC_PROCESS	1	1.4184582955140745e-18	1.0	0.20385050962627407
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1	1.9424296533158723e-18	1.0	0.17905166312809626
GOBP_REGULATION_OF_CELL_CYCLE	1	3.237926643395014e-18	1.0	0.19914802981895632
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1	3.237926643395014e-18	1.0	0.19398642095053345
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1	1.3311793605477454e-17	1.0	0.20045045045045046
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1	1.423984221219709e-17	1.0	0.17365661861074705
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	3.425874286563487e-17	1.0	0.18046875
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	1	3.425874286563487e-17	1.0	0.18694096601073346
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	3.8819941997453966e-17	1.0	0.2186046511627907
GOBP_HISTONE_METHYLATION	1	4.0968809726902106e-17	1.0	0.38571428571428573
GOBP_RNA_CATABOLIC_PROCESS	1	5.023694984160284e-17	1.0	0.30278884462151395
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1	6.29129494774266e-17	1.0	0.21524663677130046
GOBP_DNA_CONFORMATION_CHANGE	1	6.29129494774266e-17	1.0	0.30158730158730157
GOBP_PROTEIN_METHYLATION	1	6.721696077647982e-17	1.0	0.35294117647058826
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1	1.5752478697379723e-16	1.0	0.2043701799485861
GOBP_METHYLATION	1	1.7089252729393614e-16	1.0	0.27358490566037735
GOBP_MRNA_CATABOLIC_PROCESS	1	2.6579736877619687e-16	1.0	0.319047619047619
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	1	1.4321547442667999e-15	1.0	0.32972972972972975
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1	1.5365817272988644e-15	1.0	0.19900497512437812
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1	6.022995049171683e-15	1.0	0.24615384615384617
GOBP_ORGANELLE_ASSEMBLY	1	7.859148211322468e-15	1.0	0.19651741293532338
