pathway	freq	padj	NES	stability	overlap
GOBP_DIAPEDESIS	1	0.24979822571789265	1.352315034251737	1.0	29.76
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.24977737351729326	1.3524415277305066	1.0	58.15
GOBP_CELLULAR_HYPEROSMOTIC_SALINITY_RESPONSE	1	0.2494638685887883	1.3528886920775975	1.0	23.06
GOBP_PROTEIN_POLYUFMYLATION	1	0.24937671152687607	1.3533414317115122	1.0	50.95
GOBP_NEGATIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS	1	0.24929855252981456	1.3533047260723698	1.0	22.66
GOBP_POSITIVE_REGULATION_OF_FOCAL_ADHESION_ASSEMBLY	1	0.24929619119343602	1.3531752624407947	1.0	60.87
GOBP_REGULATION_OF_RESPONSE_TO_INTERFERON_GAMMA	1	0.24754796331944268	1.3553279970247403	1.0	22.95
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	1	0.24711141888915844	1.35587492024673	1.0	26.1
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	1	0.2469957122271157	1.3561085472423575	1.0	24.79
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	1	0.2468547643098294	1.3563596047869049	1.0	53.95
GOBP_RESPONSE_TO_ANGIOTENSIN	1	0.24666882214301775	1.3567698084718638	1.0	24.73
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1	0.24664734415526335	1.3566812671085473	1.0	51.6
GOBP_NOTCH_RECEPTOR_PROCESSING	1	0.24651146043497194	1.3570471354134332	1.0	40.12
GOBP_DEPYRIMIDINATION	1	0.2460458920369598	1.3576205420391547	1.0	48.12
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_SPINDLE_ASSEMBLY_CHECKPOINT	1	0.24447691901924742	1.359368502555206	1.0	36.59
GOBP_LYMPHOCYTE_ANERGY	1	0.24440442840107104	1.3593255828224837	1.0	35.27
GOBP_MACROPHAGE_FUSION	1	0.24439451852764352	1.359660530231542	1.0	51.59
GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	1	0.24433863043718604	1.3596075817954472	1.0	71.47
GOBP_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY	1	0.24354399275792427	1.3606493504863648	1.0	14.44
GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT	1	0.2435017816891641	1.3608036216288253	1.0	19.44
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM_EXIT_SITE	1	0.24064446951539192	1.3641675629265162	1.0	57.37
GOBP_REGULATION_OF_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	1	0.24054283153495118	1.3641546133025562	1.0	50.76
GOBP_CALCIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	1	0.2404541946469618	1.364130034108551	1.0	37.91
GOBP_THYMIC_T_CELL_SELECTION	1	0.2403559653538037	1.3641153362848464	1.0	24.79
GOBP_RESPONSE_TO_STEROL_DEPLETION	1	0.2402631570546652	1.3646960024577253	1.0	40.04
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	1	0.24020151377579638	1.3648818570339651	1.0	51.6
GOBP_REGULATION_OF_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	1	0.23984389289881805	1.3653491920547471	1.0	35.45
GOBP_CELLULAR_SENESCENCE	1	0.2392874863363709	1.3660410895158466	1.0	42.93
GOBP_DOLICHYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.2392738563547891	1.3661675490254512	1.0	31.22
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	1	0.23886982130979037	1.3669437989396855	1.0	38.28
GOBP_PROTEIN_PALMITOYLATION	1	0.2388366775303481	1.3668706999181333	1.0	65.67
GOBP_APICAL_JUNCTION_ASSEMBLY	1	0.23878737159414457	1.366812664001043	1.0	9.88
GOBP_PSEUDOPODIUM_ORGANIZATION	1	0.23788517092486353	1.3681005426950101	1.0	16.31
GOBP_MITOCHONDRIAL_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	0.23740631400267453	1.3687024918243913	1.0	61.2
GOBP_GLYCOSIDE_METABOLIC_PROCESS	1	0.23693025348827004	1.3693230574613537	1.0	72.96
GOBP_MICROGLIAL_CELL_MEDIATED_CYTOTOXICITY	1	0.23664103392905717	1.3697289083616049	1.0	51.59
GOBP_REGULATION_OF_B_CELL_PROLIFERATION	1	0.2356583579259384	1.3708513809045118	1.0	42.41
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH	1	0.23563700336645918	1.3709855861391762	1.0	21.36
GOBP_MITOTIC_SPINDLE_MIDZONE_ASSEMBLY	1	0.23463883644476247	1.3721854319627167	1.0	36.89
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.23410340919992653	1.3728304934254787	1.0	24.9
GOBP_RESPONSE_TO_BACTERIAL_LIPOPROTEIN	1	0.23357073297323838	1.3735264684296877	1.0	47.53
GOBP_ACTIVATED_T_CELL_PROLIFERATION	1	0.23301312750640668	1.3742293664067078	1.0	26.59
GOBP_REGULATION_OF_DNA_LIGATION	1	0.2326543074680541	1.3747371305871565	1.0	38.06
GOBP_PROTEIN_LOCALIZATION_TO_CILIARY_TRANSITION_ZONE	1	0.232537477901663	1.3749674015711115	1.0	43.87
GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY	1	0.23176507473191765	1.376012130956686	1.0	30.63
GOBP_CEREBRAL_CORTEX_CELL_MIGRATION	1	0.23170190556116868	1.375963054110385	1.0	25.58
GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION	1	0.2314952940146096	1.3765594430278008	1.0	10.95
GOBP_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	1	0.23142947205880052	1.376513009416588	1.0	45.12
GOBP_CENTROMERIC_SISTER_CHROMATID_COHESION	1	0.2311265690501266	1.3770651182099045	1.0	38.73
GOBP_RESPONSE_TO_INTERLEUKIN_15	1	0.2305117540766976	1.3778022814586028	1.0	47.59
GOBP_AMYLOID_BETA_METABOLIC_PROCESS	1	0.23039788459596697	1.378050296638974	1.0	26.77
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	1	0.22956632757697576	1.379221708598122	1.0	13.92
GOBP_REGULATION_OF_PH	1	0.22948108345397158	1.3792004855529745	1.0	46.67
GOBP_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	1	0.2293770579655934	1.3795320722867044	1.0	33.0
GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	1	0.22929738952650314	1.3797265506745253	1.0	13.99
GOBP_T_CELL_CYTOKINE_PRODUCTION	1	0.22928868159982652	1.3798490521162279	1.0	50.37
GOBP_REGULATION_OF_ANION_CHANNEL_ACTIVITY	1	0.22841291368272937	1.380901604494164	1.0	47.41
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	1	0.22798481345472338	1.3814782018747258	1.0	52.62
GOBP_PROTEIN_MATURATION_BY_IRON_SULFUR_CLUSTER_TRANSFER	1	0.22795029789258223	1.3816379283117537	1.0	50.27
GOBP_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.22665766259858192	1.3831378028700696	1.0	50.34
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	1	0.22525206091600178	1.3848106012232597	1.0	30.53
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	1	0.22472190788611976	1.3854589120346972	1.0	53.64
GOBP_MITOCHONDRIAL_TRANSLATIONAL_ELONGATION	1	0.2246232728465156	1.3856839104211738	1.0	50.14
GOBP_POSITIVE_REGULATION_OF_HEXOKINASE_ACTIVITY	1	0.22393127499668583	1.3866722743394897	1.0	49.27
GOBP_S_ADENOSYLMETHIONINE_CYCLE	1	0.2238811379133385	1.3866127009835423	1.0	57.06
GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	1	0.22377117906130845	1.3869715370834073	1.0	38.73
GOBP_REGULATION_OF_NK_T_CELL_DIFFERENTIATION	1	0.22345492983550033	1.3874180470734332	1.0	54.39
GOBP_DE_NOVO_AMP_BIOSYNTHETIC_PROCESS	1	0.22324763792258293	1.3878794394002174	1.0	53.53
GOBP_REGULATION_OF_CELL_KILLING	1	0.22323070491791688	1.3877814839056704	1.0	52.58
GOBP_PHOSPHATIDYLGLYCEROL_BIOSYNTHETIC_PROCESS	1	0.22322608116083947	1.388022153915889	1.0	40.11
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	1	0.22280715278372853	1.3886399118772537	1.0	55.0
GOBP_PLASMA_MEMBRANE_REPAIR	1	0.22274737271516679	1.3888227322325555	1.0	46.77
GOBP_PHOSPHATIDYLETHANOLAMINE_BIOSYNTHETIC_PROCESS	1	0.2226842302237669	1.3890118897090804	1.0	54.03
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	1	0.22227491287041365	1.3895823988024705	1.0	70.54
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT	1	0.2216424374446721	1.3904035027062576	1.0	60.82
GOBP_RESPONSE_TO_INTERLEUKIN_17	1	0.21962302067098047	1.3927739158742465	1.0	50.66
GOBP_UTP_BIOSYNTHETIC_PROCESS	1	0.21925690638772455	1.393288841814376	1.0	54.34
GOBP_MINUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	1	0.21845475964527913	1.3942950727591747	1.0	29.99
GOBP_ENDOPLASMIC_RETICULUM_MEMBRANE_ORGANIZATION	1	0.2183192143087686	1.3945663622991173	1.0	67.36
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_SYNTHESIS_DEPENDENT_STRAND_ANNEALING	1	0.21819023060435325	1.3954006773553955	1.0	54.12
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	1	0.2181697207801215	1.3948321443100395	1.0	74.52
GOBP_B_1_B_CELL_DIFFERENTIATION	1	0.21815178593596182	1.3953200791705065	1.0	50.37
GOBP_REGULATION_OF_MITOTIC_CENTROSOME_SEPARATION	1	0.2180923444092776	1.3952657290559805	1.0	38.77
GOBP_PYRIMIDINE_NUCLEOTIDE_CATABOLIC_PROCESS	1	0.21803130021690872	1.395218201829226	1.0	48.12
GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS	1	0.21802893155087724	1.3951026894447796	1.0	3.33
GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS	1	0.21728415041247667	1.396512506168728	1.0	78.07
GOBP_SPECIFICATION_OF_SYMMETRY	1	0.2171231175509846	1.396818269912649	1.0	36.73
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.21702462809553313	1.3970820148946919	1.0	34.66
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.21671620768200253	1.3975371321089336	1.0	51.59
GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION	1	0.21669851391169062	1.3976924309758845	1.0	51.6
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_23_PRODUCTION	1	0.2149649331991595	1.3997802973831843	1.0	37.16
GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS	1	0.21364106402816702	1.4013767684033474	1.0	60.11
GOBP_REGULATION_OF_HELICASE_ACTIVITY	1	0.21315412806283024	1.4021822756234668	1.0	33.65
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE	1	0.21311520152228716	1.4025652028553222	1.0	70.05
GOBP_POLYADENYLATION_DEPENDENT_RNA_CATABOLIC_PROCESS	1	0.2131007060370119	1.4021146589436366	1.0	43.05
GOBP_TRNA_AMINOACYLATION_FOR_MITOCHONDRIAL_PROTEIN_TRANSLATION	1	0.213095695443286	1.4028217059738648	1.0	43.58
GOBP_RESPONSE_TO_X_RAY	1	0.21309012085312826	1.4027042916534997	1.0	27.25
GOBP_PYRIMIDINE_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	1	0.21301604675544233	1.4025608535921097	1.0	47.5
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	1	0.21300161103901344	1.4024677043857925	1.0	73.54
GOBP_CELL_MATRIX_ADHESION	1	0.2120387357848345	1.404240825842943	1.0	26.18
GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.21195553664852182	1.4042186717531437	1.0	55.07
