pathway	freq	padj	stability	overlap
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	7.448216840515971e-06	1.0	0.1032171581769437
GOBP_PROTEIN_CATABOLIC_PROCESS	1	1.14133309592769e-05	1.0	0.09626274065685164
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	1.14133309592769e-05	1.0	0.0887029288702929
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1	2.1729946327888994e-05	1.0	0.11471861471861472
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	3.141723818481127e-05	1.0	0.10430463576158941
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1	3.6758306021684294e-05	1.0	0.09640102827763496
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1	3.689715098828017e-05	1.0	0.09253065774804906
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1	3.7128951629522844e-05	1.0	0.08583333333333333
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1	8.905807266799217e-05	1.0	0.11538461538461539
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	1	8.905807266799217e-05	1.0	0.0799475753604194
GOBP_VACUOLE_ORGANIZATION	1	0.0004456561574432353	1.0	0.1452513966480447
GOBP_PROTEOLYSIS	1	0.003830445939909397	1.0	0.0750332005312085
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	1	0.003830445939909397	1.0	0.0958904109589041
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	0.003830445939909397	1.0	0.0750332005312085
GOBP_NITROGEN_COMPOUND_TRANSPORT	1	0.004410061757797057	1.0	0.07252124645892351
GOBP_CELLULAR_RESPONSE_TO_STRESS	1	0.004721319651384808	1.0	0.0728126834997064
GOBP_VESICLE_ORGANIZATION	1	0.007163636497676736	1.0	0.11191335740072202
GOBP_INTRACELLULAR_TRANSPORT	1	0.00830633417864732	1.0	0.07436260623229461
GOBP_VIRAL_PROCESS	1	0.014195687882168604	1.0	0.0987012987012987
GOBP_NEURAL_TUBE_PATTERNING	1	0.019636805036446606	1.0	0.26666666666666666
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1	0.02253877079129695	1.0	0.11707317073170732
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1	0.024278486804499292	1.0	0.14414414414414414
GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	1	0.024278486804499292	1.0	0.12087912087912088
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	1	0.024278486804499292	1.0	0.13013698630136986
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.024278486804499292	1.0	0.07207207207207207
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	1	0.024278486804499292	1.0	0.08050314465408805
GOBP_VESICLE_MEDIATED_TRANSPORT	1	0.025248101094590594	1.0	0.07209136331192005
GOBP_PROTEIN_LOCALIZATION_TO_CILIARY_TRANSITION_ZONE	1	0.031071827393622967	1.0	0.5714285714285714
GOBP_MACROAUTOPHAGY	1	0.031071827393622967	1.0	0.10204081632653061
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	1	0.032401808886979244	1.0	0.07080242751180041
GOBP_PROTEIN_HOMOOLIGOMERIZATION	1	0.032401808886979244	1.0	0.125
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	1	0.032401808886979244	1.0	0.10743801652892562
GOBP_ORGANELLE_FUSION	1	0.03508595841474529	1.0	0.13178294573643412
GOBP_NEURAL_TUBE_DEVELOPMENT	1	0.037072875084616264	1.0	0.1267605633802817
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	1	0.03719271260951088	1.0	0.10569105691056911
GOBP_RNA_SPLICING	1	0.03719271260951088	1.0	0.09302325581395349
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	1	0.03983583109263487	1.0	0.07835820895522388
GOBP_MRNA_METABOLIC_PROCESS	1	0.04054974011745645	1.0	0.08179012345679013
GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION	1	0.04054974011745645	1.0	0.08836206896551724
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	1	0.041288786696734504	1.0	0.07100591715976332
GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	1	0.041288786696734504	1.0	0.25
GOBP_RESPONSE_TO_VIRUS	1	0.042588355955306856	1.0	0.0955223880597015
GOBP_INNATE_IMMUNE_RESPONSE	1	0.042588355955306856	1.0	0.07972027972027972
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER	1	0.04521005399955144	1.0	0.35714285714285715
GOBP_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	1	0.045645121477423514	1.0	0.2857142857142857
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	1	0.0485707693280203	1.0	0.06945380984490897
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT	1	0.05393350412722211	1.0	0.09698996655518395
GOBP_GOLGI_VESICLE_TRANSPORT	1	0.05393350412722211	1.0	0.09824561403508772
GOBP_LYTIC_VACUOLE_ORGANIZATION	1	0.05700686553442118	1.0	0.15942028985507245
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	1	0.05982391086501548	1.0	0.4444444444444444
GOBP_LIPOPROTEIN_BIOSYNTHETIC_PROCESS	1	0.060195413865899126	1.0	0.14130434782608695
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1	0.060219068594568145	1.0	0.11764705882352941
GOBP_GPI_ANCHOR_METABOLIC_PROCESS	1	0.06218977626632983	1.0	0.22580645161290322
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1	0.0634571565855851	1.0	0.07477678571428571
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	1	0.07087234766077231	1.0	0.10989010989010989
GOBP_VIRAL_LIFE_CYCLE	1	0.07118908253967667	1.0	0.09556313993174062
GOBP_MEMBRANE_FUSION	1	0.07735155876776027	1.0	0.12121212121212122
GOBP_PRENYLATION	1	0.08254714647277342	1.0	0.4
GOBP_TRANSPORT_ALONG_MICROTUBULE	1	0.08294664663982636	1.0	0.11643835616438356
GOBP_ORGANELLE_MEMBRANE_FUSION	1	0.08482458681750923	1.0	0.13402061855670103
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.0859232072687747	1.0	0.08368200836820083
GOBP_REGULATION_OF_PROTEIN_K48_LINKED_UBIQUITINATION	1	0.08692019917444993	1.0	0.6
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	0.08813058093395625	1.0	0.09473684210526316
GOBP_PROTEIN_MONOUBIQUITINATION	1	0.08917721028049429	1.0	0.14666666666666667
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION	1	0.09202889744860238	1.0	0.10396039603960396
GOBP_NUCLEUS_ORGANIZATION	1	0.09278118914070994	1.0	0.12096774193548387
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT	1	0.09278118914070994	1.0	0.16666666666666666
GOBP_VESICLE_TRANSPORT_ALONG_MICROTUBULE	1	0.09278118914070994	1.0	0.18181818181818182
GOBP_APOPTOTIC_SIGNALING_PATHWAY	1	0.09278118914070994	1.0	0.08073394495412844
GOBP_NEURAL_TUBE_FORMATION	1	0.09661352615815531	1.0	0.13
GOBP_REGULATION_OF_CATABOLIC_PROCESS	1	0.0976875441493916	1.0	0.0731981981981982
