pathway	freq	padj	stability	overlap
KEGG_FOCAL_ADHESION	1	2.7568093976004517e-05	0.03125	0.14835164835164835
KEGG_SPLICEOSOME	7	7.919308068205426e-05	0.21875	0.20748299319727886
KEGG_PRIMARY_IMMUNODEFICIENCY	2	0.0002974646914194017	0.0625	0.3064516129032258
KEGG_ECM_RECEPTOR_INTERACTION	1	0.000503154408625826	0.03125	0.1891891891891892
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	2	0.000601442488430055	0.0625	0.1699029126213592
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.0007872262643443854	0.03125	0.15
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.0010606755530323565	0.03125	0.2962962962962963
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.002070990879118603	0.03125	0.14814814814814814
KEGG_LEISHMANIA_INFECTION	1	0.0021033785602738624	0.03125	0.17647058823529413
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.0022446553961248897	0.03125	0.1559633027522936
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	0.00230054613447253	0.03125	0.2
KEGG_CELL_CYCLE	3	0.00425680705975538	0.09375	0.16804407713498623
KEGG_ASTHMA	1	0.005247107309536936	0.03125	0.2857142857142857
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	0.006249210421254824	0.03125	0.23333333333333334
KEGG_ALLOGRAFT_REJECTION	1	0.0071310476035120465	0.03125	0.22580645161290322
KEGG_CHEMOKINE_SIGNALING_PATHWAY	2	0.007679004760641599	0.0625	0.12643678160919541
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	2	0.00784570092076084	0.0625	0.11666666666666667
KEGG_HISTIDINE_METABOLISM	1	0.008152959402193953	0.03125	0.28
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	2	0.013422767322534777	0.0625	0.1875
KEGG_GAP_JUNCTION	1	0.013689129024315433	0.03125	0.1506849315068493
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	2	0.013921791036742624	0.0625	0.1382978723404255
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.015252311937815649	0.03125	0.15789473684210525
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	0.016558907957810294	0.03125	0.18421052631578946
KEGG_VIRAL_MYOCARDITIS	1	0.016558907957810294	0.03125	0.15254237288135594
KEGG_GLUTATHIONE_METABOLISM	1	0.020369820277119338	0.03125	0.1956521739130435
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	0.021037395944192214	0.03125	0.136986301369863
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	2	0.021773938160087655	0.0625	0.12376237623762376
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	10	0.024193638325571802	0.3125	0.13461538461538464
KEGG_GRAFT_VERSUS_HOST_DISEASE	1	0.02524456942408404	0.03125	0.1875
KEGG_OOCYTE_MEIOSIS	2	0.026099295678967446	0.0625	0.12886597938144329
KEGG_MISMATCH_REPAIR	4	0.03001250695286107	0.125	0.25
KEGG_RIBOSOME	7	0.03062187720717215	0.21875	0.20504201680672265
KEGG_RETINOL_METABOLISM	1	0.03102564771782877	0.03125	0.1951219512195122
KEGG_PHENYLALANINE_METABOLISM	1	0.031036928903565634	0.03125	0.3125
KEGG_NUCLEOTIDE_EXCISION_REPAIR	4	0.03299655773975216	0.125	0.18604651162790697
KEGG_RNA_DEGRADATION	4	0.03424254226046673	0.125	0.17272727272727273
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	4	0.03439537125659166	0.125	0.1297709923664122
KEGG_JAK_STAT_SIGNALING_PATHWAY	2	0.0353545014603773	0.0625	0.12037037037037036
KEGG_ENDOMETRIAL_CANCER	6	0.03569250840140709	0.1875	0.19387755102040816
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	2	0.038755720200499465	0.0625	0.1388888888888889
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	3	0.03900113081778376	0.09375	0.11165048543689321
KEGG_GNRH_SIGNALING_PATHWAY	1	0.040030154487497666	0.03125	0.125
KEGG_HUNTINGTONS_DISEASE	1	0.04302108377122844	0.03125	0.11538461538461539
KEGG_TYPE_I_DIABETES_MELLITUS	1	0.04573580982321146	0.03125	0.16216216216216217
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.04573580982321146	0.03125	0.125
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.04573580982321146	0.03125	0.13333333333333333
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2	0.048927813847189916	0.0625	0.1283783783783784
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.05168437559299777	0.03125	0.12903225806451613
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.05168437559299777	0.03125	0.11494252873563218
