pathway	freq	padj	NES	stability	overlap
KEGG_AXON_GUIDANCE	1	0.2447422294925804	1.374458838735437	1.0	84.84
KEGG_PYRIMIDINE_METABOLISM	1	0.23907692424632077	1.383874987772262	1.0	67.19
KEGG_MELANOGENESIS	1	0.22564272514626274	1.4024390704634524	1.0	49.05
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.22109177837862182	1.4114715571835736	1.0	58.77
KEGG_PROSTATE_CANCER	1	0.21197821840898964	1.424247079249177	1.0	72.65
KEGG_FATTY_ACID_METABOLISM	1	0.20183920918312406	1.4397341098084393	1.0	40.71
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.17606320627878572	1.4751165097403407	1.0	35.52
KEGG_PURINE_METABOLISM	1	0.17231032338857363	1.486721297327177	1.0	67.19
KEGG_VIRAL_MYOCARDITIS	1	0.1713068361419819	1.4841790137078108	1.0	43.41
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.16814661391979693	1.5030983908705826	1.0	25.3
KEGG_ALZHEIMERS_DISEASE	1	0.16620375558440867	1.501997740999258	1.0	36.84
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.16534504913890266	1.499566160520608	1.0	24.81
KEGG_BUTANOATE_METABOLISM	1	0.1613855239826787	1.5167917153331343	1.0	59.88
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.15678581427617674	1.527375756523876	1.0	58.49
KEGG_LONG_TERM_POTENTIATION	1	0.15546623385014186	1.5337537415085982	1.0	48.01
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.14529138360249855	1.55137799472048	1.0	69.61
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.14096431904927734	1.561522698892379	1.0	35.04
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.13820575220872425	1.5698850755951805	1.0	43.19
KEGG_GNRH_SIGNALING_PATHWAY	1	0.1332138780608619	1.5850794375626913	1.0	64.33
KEGG_HUNTINGTONS_DISEASE	1	0.1308716797510898	1.5846760489667198	1.0	58.96
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	0.13081477503024988	1.5949490048366588	1.0	24.2
