pathway	freq	padj	NES	stability	overlap
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	1	0.2498696663088037	1.4714195255329796	0.020833333333333332	18.93
GOBP_REGULATION_OF_PROTEIN_MONOUBIQUITINATION	1	0.24974655475574437	1.4471116735718217	0.020833333333333332	18.28
GOBP_REGULATION_OF_VESICLE_FUSION	1	0.24965888305023953	1.555516777853099	0.020833333333333332	64.19
GOBP_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT	2	0.24958061784073896	1.398841165112719	0.041666666666666664	30.91
GOBP_DOPAMINERGIC_NEURON_DIFFERENTIATION	1	0.24941442844121678	1.5181922586636791	0.020833333333333332	64.31
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS	1	0.24896933098736349	1.399003753268829	0.020833333333333332	55.84
GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	1	0.24890208705276629	1.3861631394174074	0.020833333333333332	10.42
GOBP_EOSINOPHIL_ACTIVATION	1	0.2487739391755657	1.5192003528691544	0.020833333333333332	26.44
GOBP_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY	1	0.248566279409097	1.4098100488090834	0.020833333333333332	53.3
GOBP_PROTEIN_LIPID_COMPLEX_ASSEMBLY	1	0.24827894945824586	1.5597781957830894	0.020833333333333332	28.95
GOBP_SERINE_TRANSPORT	1	0.2481734225967018	1.547928011860001	0.020833333333333332	52.34
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	1	0.2481156973657255	1.5502200309728866	0.020833333333333332	78.14
GOBP_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	1	0.24806596039049028	1.564214479648034	0.020833333333333332	53.56
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_13_PRODUCTION	1	0.24799958600786573	1.5637626725920724	0.020833333333333332	42.83
GOBP_HEART_FIELD_SPECIFICATION	1	0.2479489698513187	1.521008733405276	0.020833333333333332	70.16
GOBP_GERM_CELL_MIGRATION	3	0.24792713201849284	1.5617766617084594	0.0625	44.07
GOBP_REGULATION_OF_HEPATOCYTE_APOPTOTIC_PROCESS	1	0.2478235347402693	1.5506865104041656	0.020833333333333332	24.35
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	1	0.24780369827126694	1.564738561558574	0.020833333333333332	52.28
GOBP_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION	2	0.24774637043403835	1.3874752352989064	0.041666666666666664	15.935
GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION	1	0.2475349697741156	1.5205360640351953	0.020833333333333332	69.18
GOBP_PROSTATE_GLAND_MORPHOGENESIS	3	0.24751617169300397	1.7013731378163695	0.0625	55.88
GOBP_THREONINE_METABOLIC_PROCESS	3	0.2473691969617954	1.7017308083956912	0.0625	39.67666666666667
GOBP_HEPOXILIN_METABOLIC_PROCESS	1	0.2473612426274393	1.3887572965831896	0.020833333333333332	59.87
GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	2	0.24719660110336306	1.5043839329707052	0.041666666666666664	68.17
GOBP_REGULATION_OF_NEURON_MATURATION	1	0.2470928240103934	1.5660725513568343	0.020833333333333332	55.47
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING	1	0.24681171478569852	1.5229420261038462	0.020833333333333332	74.36
GOBP_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	3	0.2467787493700527	1.477421213726999	0.0625	39.38
GOBP_CELLULAR_RESPONSE_TO_PURINE_CONTAINING_COMPOUND	1	0.2467538700454449	1.3981740920831582	0.020833333333333332	62.59
GOBP_DEFENSE_RESPONSE_TO_FUNGUS	1	0.24665135595949408	1.3978505851189214	0.020833333333333332	75.14
GOBP_PURINE_NUCLEOSIDE_CATABOLIC_PROCESS	1	0.24659625571556074	1.401661987190075	0.020833333333333332	42.66
GOBP_MICROTUBULE_ANCHORING_AT_CENTROSOME	5	0.24656757163344883	1.4493130840001744	0.10416666666666667	58.224000000000004
GOBP_GLUTAMATE_SECRETION_NEUROTRANSMISSION	3	0.2464942919227879	1.4049647002829264	0.0625	9.57
GOBP_GAMMA_DELTA_T_CELL_DIFFERENTIATION	1	0.24633044026132395	1.3898624376267148	0.020833333333333332	42.42
GOBP_METANEPHRIC_TUBULE_MORPHOGENESIS	1	0.24613335596968314	1.405367537200039	0.020833333333333332	56.29
GOBP_RIBONUCLEOSIDE_METABOLIC_PROCESS	2	0.24606591094099012	1.3973295125529663	0.041666666666666664	55.35
GOBP_REGULATION_OF_FATTY_ACID_OXIDATION	3	0.24603539127909824	1.7057009583327574	0.0625	25.33
GOBP_NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	1	0.24587652150330552	1.3906024608705705	0.020833333333333332	29.46
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1	0.24578244924087989	1.3912232749009337	0.020833333333333332	16.37
GOBP_NEGATIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY	1	0.24577275707272134	1.3915162517590227	0.020833333333333332	39.15
GOBP_L_HISTIDINE_TRANSMEMBRANE_TRANSPORT	1	0.24576750745464018	1.6407421763604177	0.020833333333333332	46.01
