pathway	freq	padj	NES	stability	overlap
KEGG_PYRIMIDINE_METABOLISM	1	0.24369535045767557	1.3787475369741062	1.0	67.19
KEGG_MELANOGENESIS	1	0.2375324944631317	1.3887576546838463	1.0	49.05
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.2233214148882903	1.4079743352959329	1.0	58.77
KEGG_PROSTATE_CANCER	1	0.22183581640343553	1.4132013170969153	1.0	72.65
KEGG_VIRAL_MYOCARDITIS	1	0.19846154398899152	1.4471839822020032	1.0	43.41
KEGG_FATTY_ACID_METABOLISM	1	0.197799899220712	1.444470918135154	1.0	40.71
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.18569048850052172	1.4656293964087141	1.0	35.52
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.16634546636917916	1.499566160520608	1.0	24.81
KEGG_PURINE_METABOLISM	1	0.16597704667122665	1.496184775433094	1.0	67.19
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.1621087780559289	1.5094628982890497	1.0	25.3
KEGG_LONG_TERM_POTENTIATION	1	0.16210654171496874	1.5147011304424198	1.0	48.01
KEGG_BUTANOATE_METABOLISM	1	0.1594661656750077	1.5389846437972179	1.0	59.88
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.15656977563484564	1.538853267927123	1.0	35.04
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.15514961455397008	1.5283881495054372	1.0	58.49
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.15458572706597543	1.5377022114170185	1.0	69.61
KEGG_ALZHEIMERS_DISEASE	1	0.15308250659415282	1.5358768069893314	1.0	36.84
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.1438118431566985	1.5698850755951805	1.0	43.19
KEGG_GNRH_SIGNALING_PATHWAY	1	0.14298885416727122	1.5670440122215583	1.0	64.33
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.13390699593328226	1.6035864913227953	1.0	41.94
KEGG_PANCREATIC_CANCER	1	0.13185065623304626	1.6025474714792851	1.0	65.29
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	0.13122950731323496	1.593907640992864	1.0	24.2
KEGG_HUNTINGTONS_DISEASE	1	0.1307840855173245	1.5996919815846598	1.0	58.96
KEGG_GLIOMA	1	0.128533074398593	1.6162686153042938	1.0	58.99
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.1267866359219444	1.6332604244201612	1.0	35.52
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.1241486183389888	1.632870080022721	1.0	49.03
KEGG_STEROID_BIOSYNTHESIS	1	0.12332845904097398	1.629743933622295	1.0	47.84
KEGG_PARKINSONS_DISEASE	1	0.12292943714761095	1.6489445433551226	1.0	32.39
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.1225226300837713	1.6597222437039267	1.0	59.88
KEGG_LEISHMANIA_INFECTION	1	0.1219467109305108	1.6554360227027687	1.0	45.24
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.12175174779052897	1.6456738021775288	1.0	54.8
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.11721475509375529	1.686613772191652	1.0	32.15
KEGG_BETA_ALANINE_METABOLISM	1	0.11532914291141007	1.6850738611551241	1.0	39.43
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.11289833063208159	1.683865957321601	1.0	46.6
KEGG_PATHWAYS_IN_CANCER	1	0.10993734592471348	1.703662633498786	1.0	84.26
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.09016341236611347	1.750741456218609	1.0	60.98
KEGG_MTOR_SIGNALING_PATHWAY	1	0.08940222887391588	1.74698344791186	1.0	39.13
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.08905898013516281	1.7597470876959591	1.0	39.76
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.05462486429268847	1.8707219212775508	1.0	34.66
KEGG_RENAL_CELL_CARCINOMA	1	0.05336523779241263	1.8698193433336503	1.0	31.73
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.052832379033916056	1.888482247849006	1.0	58.99
KEGG_WNT_SIGNALING_PATHWAY	1	0.052828721801531045	1.8651942753494868	1.0	62.94
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.052366734982038345	1.883789279600294	1.0	34.05
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.032075041087300964	2.002676624455072	1.0	42.3
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.03206103146027004	2.033551162182055	1.0	50.52
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.031121218980278878	1.9996508929230326	1.0	57.68
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.03045797988725654	2.033356788700259	1.0	39.38
KEGG_LYSOSOME	1	0.030243702641818557	1.9973677698753982	1.0	63.6
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.030081228686486456	1.993810931798889	1.0	62.06
KEGG_MAPK_SIGNALING_PATHWAY	1	0.02959066722715041	2.0293229996927424	1.0	60.77
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.02942833598060648	2.023085878002282	1.0	36.87
KEGG_PROTEASOME	1	0.02295827629692704	2.1410221521777486	1.0	34.09
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.02295827629692704	2.1305276039193495	1.0	31.76
KEGG_COLORECTAL_CANCER	1	0.02257563835864492	2.117893412079491	1.0	38.42
KEGG_RNA_DEGRADATION	1	0.021967919280196858	2.1079712805626016	1.0	50.16
KEGG_PEROXISOME	1	0.02193790846150806	2.100919829237746	1.0	35.33
KEGG_TIGHT_JUNCTION	1	0.021074520293076618	2.167841351627335	1.0	39.75
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.012244414025027755	2.2665489599531696	1.0	53.2
KEGG_ENDOMETRIAL_CANCER	1	0.008503065295158162	2.358586118079303	1.0	36.87
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.008070181971041021	2.322795581711666	1.0	35.54
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.00795886911626804	2.347207650229459	1.0	27.09
KEGG_APOPTOSIS	1	0.005165612166808583	2.4201132689229223	1.0	31.02
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.004373005008938484	2.444803831490898	1.0	40.1
KEGG_ADHERENS_JUNCTION	1	0.003673324207508326	2.4958979925112823	1.0	46.96
KEGG_ERBB_SIGNALING_PATHWAY	1	0.0033161954651116836	2.4899254122090326	1.0	39.13
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.0007652758765642347	2.8403174121596297	1.0	31.02
KEGG_ENDOCYTOSIS	1	0.0	3.5514655640367474	1.0	56.52
KEGG_SPLICEOSOME	1	0.0	3.4832362280004068	1.0	44.05
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.0	3.0734723559177533	1.0	33.56
