pathway	freq	padj	stability	overlap
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	12	5.024128599079392e-08	0.26666666666666666	0.9559672762271415
GOBP_CELL_CYCLE	12	6.301583138052612e-07	0.26666666666666666	0.9521103896103895
GOBP_MITOTIC_CELL_CYCLE	12	7.160842028467225e-07	0.26666666666666666	0.966358024691358
GOBP_TRANSMEMBRANE_TRANSPORT	4	2.132511342009637e-06	0.08888888888888889	0.9538598047914818
GOBP_MRNA_PROCESSING	12	8.603194211354256e-06	0.26666666666666666	0.9699546485260772
GOBP_CELL_CYCLE_PROCESS	12	1.0880297904983867e-05	0.26666666666666666	0.9570048309178744
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	12	2.3280808131153756e-05	0.26666666666666666	0.9615894039735099
GOBP_DNA_REPAIR	12	2.4695892261096395e-05	0.26666666666666666	0.9726239669421487
GOBP_ION_TRANSPORT	4	3.9252454822738665e-05	0.08888888888888889	0.9503514938488576
GOBP_DNA_REPLICATION	6	4.4830454411590485e-05	0.13333333333333333	0.9777777777777777
GOBP_MITOTIC_CELL_CYCLE_PROCESS	12	4.7210014090566615e-05	0.26666666666666666	0.9663677130044842
GOBP_CELL_CYCLE_PHASE_TRANSITION	12	5.007209441079725e-05	0.26666666666666666	0.9680851063829787
GOBP_ION_TRANSMEMBRANE_TRANSPORT	4	5.870469363167276e-05	0.08888888888888889	0.9551361386138613
GOBP_DNA_METABOLIC_PROCESS	12	6.934341038268201e-05	0.26666666666666666	0.9616336633663365
GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION	12	8.372095318025785e-05	0.26666666666666666	0.9630801687763713
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	3	0.00011588934503258355	0.06666666666666667	0.9639175257731959
GOBP_CHROMOSOME_ORGANIZATION	12	0.00015972652002023557	0.26666666666666666	0.9591373439273553
GOBP_BEHAVIOR	1	0.00015996212555675885	0.022222222222222223	0.963718820861678
GOBP_RNA_LOCALIZATION	12	0.0002203060207502714	0.26666666666666666	0.9931693989071038
GOBP_PROTEIN_POLYUBIQUITINATION	12	0.0002585738430197911	0.26666666666666666	0.9808558558558557
GOBP_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	6	0.0002776021276309136	0.13333333333333333	0.9536082474226805
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	12	0.00037267910110563135	0.26666666666666666	0.9460556844547563
GOBP_RNA_SPLICING	12	0.0004484723642559927	0.26666666666666666	0.9638242894056847
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	12	0.00045595942729819377	0.26666666666666666	0.967139175257732
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	12	0.00045609394078136543	0.26666666666666666	0.9662650602409638
GOBP_T_CELL_DIFFERENTIATION	9	0.0004920581061462267	0.2	0.9749999999999999
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE	6	0.0004961309183966565	0.13333333333333333	0.9698581560283689
GOBP_ANION_TRANSPORT	4	0.0005968831756621113	0.08888888888888889	0.968915343915344
GOBP_HISTONE_MODIFICATION	12	0.0006366214649065055	0.26666666666666666	0.9644420131291028
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	12	0.0006380459736805453	0.26666666666666666	0.9608177172061328
GOBP_NCRNA_METABOLIC_PROCESS	12	0.00067361126113115	0.26666666666666666	0.9681425485961123
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	3	0.0006793388540604419	0.06666666666666667	0.9491298527443105
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE	12	0.0006814333499758346	0.26666666666666666	0.9668246445497631
GOBP_RIBOSOME_BIOGENESIS	12	0.000690475686003816	0.26666666666666666	0.9740484429065742
GOBP_CHROMOSOME_SEGREGATION	9	0.0008807923607021742	0.2	0.9676375404530746
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	6	0.0011108653445328239	0.13333333333333333	0.98943661971831
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	12	0.0011475388244322853	0.26666666666666666	0.9584221748400853
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	12	0.0011594484705675877	0.26666666666666666	0.9676056338028167
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	3	0.001164178811070421	0.06666666666666667	0.9664429530201343
GOBP_VESICLE_MEDIATED_TRANSPORT	21	0.0011922571553382314	0.4666666666666667	0.9380034669113899
GOBP_LIPID_METABOLIC_PROCESS	7	0.0012079627998461183	0.15555555555555556	0.9408145687215457
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	19	0.0014576050797705225	0.4222222222222222	0.9447368421052631
GOBP_CATION_TRANSMEMBRANE_TRANSPORT	4	0.0015613799497057948	0.08888888888888889	0.9525267993874427
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	1	0.0015708591850272541	0.022222222222222223	0.9710144927536232
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	12	0.001591687438844417	0.26666666666666666	0.953180212014134
GOBP_NCRNA_PROCESSING	12	0.0016001130766034836	0.26666666666666666	0.9709141274238227
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	9	0.0016340186953850634	0.2	0.9393613204162181
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	15	0.0016427169713971671	0.3333333333333333	0.9561719833564495
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	12	0.0017246678187385778	0.26666666666666666	0.9572953736654805
GOBP_MITOTIC_NUCLEAR_DIVISION	9	0.0018335494933244476	0.2	0.9698067632850242
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	12	0.0020025367011084257	0.26666666666666666	0.9729437229437229
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	15	0.0021037639536855587	0.3333333333333333	0.9338488994646043
