pathway	freq	padj	stability	overlap
GOBP_MRNA_METABOLIC_PROCESS	1	6.7034511098608606e-77	1.0	0.27301092043681746
GOBP_CHROMOSOME_ORGANIZATION	1	4.471752882969845e-75	1.0	0.2290249433106576
GOBP_MRNA_PROCESSING	1	7.594864856222029e-65	1.0	0.30787037037037035
GOBP_RNA_SPLICING	1	6.0694020132973e-56	1.0	0.30606860158311344
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	5.3347530802728896e-52	1.0	0.14528412419449327
GOBP_CHROMATIN_ORGANIZATION	1	2.291607859009922e-50	1.0	0.25732217573221755
GOBP_RNA_PROCESSING	1	5.071460563081649e-50	1.0	0.1746031746031746
GOBP_CELL_CYCLE	1	1.1847775326429494e-48	1.0	0.14747736093143596
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	2.530453597915513e-46	1.0	0.14470284237726097
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	2.026911279592307e-45	1.0	0.3359073359073359
GOBP_HISTONE_MODIFICATION	1	3.196305066652501e-44	1.0	0.24618736383442266
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	8.25092677970525e-43	1.0	0.3140794223826715
GOBP_CELL_CYCLE_PROCESS	1	1.0259779283484138e-42	1.0	0.16570327552986513
GOBP_REGULATION_OF_MRNA_PROCESSING	1	5.856741289712307e-34	1.0	0.4251968503937008
GOBP_DNA_METABOLIC_PROCESS	1	3.097849348811898e-33	1.0	0.16666666666666666
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	7.214502251946616e-33	1.0	0.1226252158894646
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	1	7.214502251946616e-33	1.0	0.1899159663865546
GOBP_REGULATION_OF_CELL_CYCLE	1	2.7334585507563373e-32	1.0	0.15417106652587118
GOBP_REGULATION_OF_RNA_SPLICING	1	1.2201872096883483e-31	1.0	0.38848920863309355
GOBP_DNA_CONFORMATION_CHANGE	1	1.4609028390168582e-31	1.0	0.28286852589641437
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	1	7.336351657288889e-30	1.0	0.3624161073825503
GOBP_RNA_LOCALIZATION	1	1.6265533242989312e-29	1.0	0.3224043715846995
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1	1.8435564176832683e-29	1.0	0.16356382978723405
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	4.6621734785589464e-29	1.0	0.13076923076923078
GOBP_MITOTIC_CELL_CYCLE	1	6.265758359008947e-28	1.0	0.15498154981549817
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1	1.814519486198152e-27	1.0	0.12386284114765571
GOBP_MRNA_TRANSPORT	1	5.008483697463297e-27	1.0	0.3898305084745763
GOBP_DNA_REPAIR	1	1.0818066839670864e-26	1.0	0.19008264462809918
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	1	1.2639187265076102e-25	1.0	0.43478260869565216
GOBP_PEPTIDYL_LYSINE_MODIFICATION	1	1.8086250477246898e-25	1.0	0.212707182320442
GOBP_METHYLATION	1	1.1093106966580476e-24	1.0	0.2225705329153605
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1	1.4694377441707931e-24	1.0	0.15922619047619047
GOBP_RNA_EXPORT_FROM_NUCLEUS	1	3.646810977343029e-24	1.0	0.46153846153846156
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1	4.0832671634885026e-24	1.0	0.27918781725888325
GOBP_HISTONE_METHYLATION	1	2.843427509398053e-22	1.0	0.3191489361702128
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1	5.103045845496449e-22	1.0	0.12832699619771862
GOBP_RNA_CATABOLIC_PROCESS	1	1.5639146140270585e-21	1.0	0.233201581027668
GOBP_CHROMATIN_REMODELING	1	3.759950412860386e-21	1.0	0.2752808988764045
GOBP_PROTEIN_METHYLATION	1	3.938039592694931e-21	1.0	0.2807017543859649
GOBP_NUCLEAR_TRANSPORT	1	3.938039592694931e-21	1.0	0.21575342465753425
GOBP_MRNA_CATABOLIC_PROCESS	1	6.405795564102445e-21	1.0	0.25118483412322273
GOBP_NUCLEAR_EXPORT	1	1.925523092154039e-20	1.0	0.2972972972972973
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	1	1.6187165314612754e-19	1.0	0.24875621890547264
GOBP_DNA_PACKAGING	1	1.8974510449698186e-19	1.0	0.28205128205128205
GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	1	4.932831007234546e-19	1.0	0.2896551724137931
GOBP_PROTEIN_ACETYLATION	1	9.77384349992102e-19	1.0	0.24378109452736318
