pathway	freq	padj	NES	stability	overlap
GOBP_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_ASSEMBLY	1	0.24947257156987512	1.4265381144258573	1.0	37.4
GOBP_DNA_LIGATION_INVOLVED_IN_DNA_REPAIR	1	0.24946080236051668	1.4267696600418684	1.0	49.62
GOBP_VESICLE_BUDDING_FROM_MEMBRANE	1	0.24943256405168313	1.4270161940867703	1.0	55.06
GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS	1	0.24931838176324259	1.4273534171897977	1.0	55.75
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	1	0.2493114509494278	1.4276169544563229	1.0	27.59
GOBP_ABSCISSION	1	0.24923853428141912	1.427920848888748	1.0	8.06
GOBP_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	1	0.24715860616371432	1.4300401446930184	1.0	38.53
GOBP_CEREBELLAR_CORTEX_DEVELOPMENT	1	0.24696590833720072	1.4306654635739535	1.0	46.7
GOBP_POSITIVE_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	1	0.24692045591686915	1.4304902859397988	1.0	28.91
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_ORGANIZATION	1	0.24607356894873222	1.4317173843540598	1.0	52.74
GOBP_MICROTUBULE_ANCHORING_AT_CENTROSOME	1	0.24562912232513728	1.4323786821411948	1.0	28.62
GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	1	0.2450525956026441	1.4331485243747806	1.0	64.38
GOBP_ANTEROGRADE_DENDRITIC_TRANSPORT	1	0.2443267733523758	1.4344886852787684	1.0	55.1
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	1	0.24419394143145443	1.435033988797123	1.0	35.25
GOBP_MITOCHONDRIAL_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	1	0.24419201616964087	1.4348259597332362	1.0	48.89
GOBP_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	1	0.24409892302991174	1.4342733522892896	1.0	29.58
GOBP_REGULATION_OF_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	1	0.24409892302991174	1.4342733522892896	1.0	29.58
GOBP_LYSINE_CATABOLIC_PROCESS	1	0.24295212647301873	1.4364175916206268	1.0	28.27
GOBP_REGULATION_BY_VIRUS_OF_VIRAL_PROTEIN_LEVELS_IN_HOST_CELL	1	0.23945803887301692	1.440258446616765	1.0	13.29
GOBP_PHOSPHATIDYLINOSITOL_3_PHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.2393299182292891	1.440163115285451	1.0	54.13
GOBP_DSRNA_PROCESSING	1	0.23710567238799637	1.4427743988354795	1.0	69.16
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY	1	0.23639443906597962	1.4443535922354611	1.0	50.87
GOBP_CELLULAR_RESPONSE_TO_UV	1	0.2363831255809006	1.4437011321036168	1.0	45.19
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH	1	0.23626788793706144	1.444265089543235	1.0	68.55
GOBP_PROTEIN_DESUMOYLATION	1	0.23611534523943595	1.4441977326534456	1.0	50.42
GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	1	0.23547628686056843	1.4454930641358505	1.0	24.96
