pathway	freq	padj	NES	stability	overlap
KEGG_PYRUVATE_METABOLISM	1	0.2446191100239696	1.459614733834231	1.0	45.9
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.24365583766648913	1.451655947232823	1.0	70.95
KEGG_REGULATION_OF_AUTOPHAGY	1	0.1860508971815823	1.531522096166655	1.0	45.96
KEGG_PANCREATIC_CANCER	1	0.18019751748026394	1.5461075345975936	1.0	29.91
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0.17813908522568586	1.5562717360956164	1.0	67.97
KEGG_ENDOMETRIAL_CANCER	1	0.17488148179975796	1.5674308359759528	1.0	34.92
KEGG_MISMATCH_REPAIR	1	0.12507787827357295	1.6976470830692447	1.0	33.14
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.12507787827357295	1.6748445708626452	1.0	62.78
KEGG_COLORECTAL_CANCER	1	0.12211508602253442	1.6603789798231203	1.0	27.28
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.1207120245922541	1.6542632490705897	1.0	46.37
KEGG_OOCYTE_MEIOSIS	1	0.11965381906007849	1.6956847749657673	1.0	66.07
KEGG_DNA_REPLICATION	1	0.11958317604223892	1.6740062881088515	1.0	41.33
KEGG_PYRIMIDINE_METABOLISM	1	0.09149622961737598	1.7795991474207336	1.0	26.25
KEGG_PEROXISOME	1	0.08896384299740048	1.7740604515796483	1.0	65.63
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.08814173487729249	1.7959591407024609	1.0	49.82
KEGG_RNA_POLYMERASE	1	0.08575510467146877	1.8141610367675773	1.0	67.58
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.033251337357939295	2.012993519633841	1.0	52.35
KEGG_ADHERENS_JUNCTION	1	0.03299725174389492	1.9978238598292095	1.0	20.04
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.028426790516721125	2.0583515549806473	1.0	30.64
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.01576685930349969	2.161867907459126	1.0	43.78
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.013310321944605573	2.201268312631719	1.0	52.41
KEGG_LYSINE_DEGRADATION	1	0.011199125921879266	2.2546900933794265	1.0	45.83
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.010680065310331494	2.241992827177114	1.0	46.63
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.007780666136736346	2.3428857006409736	1.0	44.36
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.0038756525662233875	2.4681666359604355	1.0	30.77
KEGG_SPLICEOSOME	1	0.0	3.9310787435095507	1.0	46.61
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.0	3.530078826385968	1.0	40.23
KEGG_RNA_DEGRADATION	1	0.0	3.463164331865363	1.0	20.66
KEGG_CELL_CYCLE	1	0.0	3.110195950608193	1.0	51.4
