pathway	freq	padj	NES	stability	overlap
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	0.24463305205163136	-1.328386668766001	0.03125	49.45
KEGG_THYROID_CANCER	1	0.24398048395339678	-1.2968877935681968	0.03125	44.5
KEGG_TIGHT_JUNCTION	1	0.24353430546762952	-1.5132772940086554	0.03125	60.64
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	2	0.2388412699478089	-1.4077035537682947	0.0625	59.55500000000001
KEGG_TASTE_TRANSDUCTION	2	0.23192204863140614	-1.3232910500376245	0.0625	28.03
KEGG_SPHINGOLIPID_METABOLISM	1	0.23188917676046783	1.2924503284289712	0.03125	76.15
KEGG_P53_SIGNALING_PATHWAY	1	0.23116541387515774	-1.5332860276864946	0.03125	41.23
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	18	0.2282064399259143	1.3305735112373158	0.5625	9.458888888888888
KEGG_ETHER_LIPID_METABOLISM	6	0.22208802382667925	0.9131335091650087	0.1875	35.325
KEGG_OTHER_GLYCAN_DEGRADATION	3	0.2188430280300747	1.3454537373433937	0.09375	70.49
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	3	0.2167383737919736	0.4268694965318586	0.09375	46.28666666666667
KEGG_MTOR_SIGNALING_PATHWAY	2	0.21454257265520946	-1.373540236096329	0.0625	19.634999999999998
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	3	0.21412521355819217	-1.4232483152047457	0.09375	46.223333333333336
KEGG_BUTANOATE_METABOLISM	7	0.21164987474490568	-1.418297861250645	0.21875	50.67857142857143
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.20337966887346157	-1.5767145080344749	0.03125	38.7
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	3	0.20316452212585479	-1.4746796690809933	0.09375	22.63
KEGG_BETA_ALANINE_METABOLISM	3	0.19677365706189143	-1.4212030151255053	0.09375	50.06
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.19662542785711987	-1.6228680381298195	0.03125	31.4
KEGG_PURINE_METABOLISM	4	0.19330035098288384	-1.4617147379627715	0.125	28.660000000000004
KEGG_RIBOFLAVIN_METABOLISM	1	0.1880597953618057	-1.4183300607704317	0.03125	43.55
KEGG_APOPTOSIS	4	0.18761172893764688	0.6116867680494132	0.125	48.73500000000001
KEGG_VIBRIO_CHOLERAE_INFECTION	4	0.1844421031564173	-1.5128591899902835	0.125	52.747499999999995
KEGG_FATTY_ACID_METABOLISM	13	0.1836742739781522	1.2089234535477773	0.40625	64.05076923076923
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	7	0.17875754397804153	-1.4406186817166284	0.21875	59.51428571428571
KEGG_WNT_SIGNALING_PATHWAY	6	0.17745723599904972	-1.4755707797636928	0.1875	22.459999999999997
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	12	0.17349904851178874	1.4208672207835946	0.375	22.690833333333334
KEGG_DORSO_VENTRAL_AXIS_FORMATION	5	0.17235535459942722	-1.5397772613039802	0.15625	41.336000000000006
KEGG_CIRCADIAN_RHYTHM_MAMMAL	6	0.17234794291181246	-1.5052525877317693	0.1875	59.30166666666667
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	13	0.17211279031159787	1.1795782593855093	0.40625	40.27076923076923
KEGG_ACUTE_MYELOID_LEUKEMIA	8	0.16596195007819833	-1.5010450082175018	0.25	52.44375000000001
KEGG_FOLATE_BIOSYNTHESIS	8	0.1658084282425369	1.0168422000024142	0.25	51.6325
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	7	0.1654897904772933	-1.5162607831535984	0.21875	37.96714285714285
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	14	0.16334926082539386	1.2072106133109164	0.4375	29.70285714285714
KEGG_SELENOAMINO_ACID_METABOLISM	10	0.16251531117980197	-1.6144187604502978	0.3125	46.213
KEGG_ABC_TRANSPORTERS	10	0.16127014225883468	1.2280538029397774	0.3125	64.10799999999999
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	5	0.15426763669889815	0.8069283655151096	0.15625	54.54599999999999
KEGG_LONG_TERM_DEPRESSION	2	0.15384967024387614	-1.837118053174108	0.0625	42.34
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	17	0.1486112985868418	1.322078993112774	0.53125	62.46000000000001
KEGG_GLIOMA	2	0.1483543897440492	1.6145085589117192	0.0625	34.285
KEGG_GALACTOSE_METABOLISM	11	0.14421242500750678	1.5166598058791676	0.34375	67.16181818181818
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	19	0.1417656800464784	-0.4470467436524833	0.59375	53.67842105263158
KEGG_AXON_GUIDANCE	14	0.13854958903596454	0.7926325741181753	0.4375	56.50642857142856
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	10	0.13758350533409308	-1.5853127154487194	0.3125	25.488
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	5	0.13657253117531645	1.4622372368167678	0.15625	58.222
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	21	0.1365406865865578	1.5805858534074695	0.65625	48.668571428571425
KEGG_ENDOCYTOSIS	16	0.13490393896135253	-1.6018842954133656	0.5	43.003125000000004
KEGG_INOSITOL_PHOSPHATE_METABOLISM	20	0.13307874484946638	-1.5969208886524573	0.625	50.919500000000006
KEGG_OLFACTORY_TRANSDUCTION	14	0.13212388836823824	0.4996109569418023	0.4375	46.91428571428572
KEGG_LYSOSOME	9	0.13193955214965786	1.2530048819531	0.28125	56.708888888888886
KEGG_PENTOSE_PHOSPHATE_PATHWAY	10	0.13148335548128237	-1.2303187605500179	0.3125	36.279999999999994
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	0.1304079264481773	1.282786897064596	0.46875	50.66
KEGG_NON_SMALL_CELL_LUNG_CANCER	13	0.12833883341648572	-1.2420714701796653	0.40625	41.05615384615385
KEGG_NOTCH_SIGNALING_PATHWAY	19	0.12799343743679162	-1.6203392164858454	0.59375	39.67947368421053
KEGG_PANCREATIC_CANCER	16	0.12589881056954047	-1.1605072397162173	0.5	34.39
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.12335225838230472	-1.5874406071457807	0.03125	55.27
KEGG_PRION_DISEASES	18	0.1218976050188975	1.5324271952493203	0.5625	20.85666666666667
KEGG_VEGF_SIGNALING_PATHWAY	1	0.12176223483588527	-1.887505484822563	0.03125	51.81
KEGG_GNRH_SIGNALING_PATHWAY	5	0.12070575686585676	0.2001614433974713	0.15625	60.948
KEGG_HEDGEHOG_SIGNALING_PATHWAY	4	0.11864185347597446	0.8304572758609607	0.125	34.76
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	4	0.11491183208018847	0.9096014653083826	0.125	38.102500000000006
KEGG_TRYPTOPHAN_METABOLISM	11	0.11397708762317098	1.2965050567982341	0.34375	35.06727272727273
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	9	0.11308693793384429	-0.07307638527341881	0.28125	57.47333333333333
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	15	0.11254668299704274	1.3102013553875758	0.46875	35.14266666666666
