pathway	freq	padj	stability	overlap
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	17	1.3399602331243274e-05	0.53125	0.9840511936992371
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	17	0.00039713816901790493	0.53125	0.9903492647058824
GOBP_ORGANELLE_ASSEMBLY	19	0.00044859290421950796	0.59375	0.9871079213184475
GOBP_CELL_CYCLE	23	0.0004712477596350243	0.71875	0.9758141627763091
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	1	0.0005142694848014218	0.03125	0.9894291754756871
GOBP_REGULATION_OF_CATABOLIC_PROCESS	17	0.0005639898339067959	0.53125	0.9813857975622682
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	17	0.0007170634693908814	0.53125	0.979493229956739
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.000891623502687606	0.03125	0.9941002949852508
GOBP_CHROMOSOME_ORGANIZATION	26	0.0010515625511631663	0.8125	0.9885749171463456
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	17	0.0012799912068024101	0.53125	0.9864192656928542
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	1	0.001324540863858752	0.03125	0.9765124555160143
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS	1	0.0013427507895649598	0.03125	0.9939024390243902
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.001497601775593275	0.03125	0.9874476987447699
GOBP_INTRACELLULAR_TRANSPORT	23	0.0017104512042029278	0.71875	0.9802203227697721
GOBP_RNA_PROCESSING	27	0.001789667990565016	0.84375	0.9854756717501816
GOBP_CELL_PROJECTION_ASSEMBLY	13	0.0019110788942948178	0.40625	0.9876862268166616
GOBP_PROTEIN_CATABOLIC_PROCESS	17	0.0019904271263591253	0.53125	0.9849939975990397
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1	0.002464850204807306	0.03125	0.9783393501805054
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	1	0.0025773103360521308	0.03125	0.9776632302405498
GOBP_CHROMATIN_ORGANIZATION	26	0.0028980940712987004	0.8125	0.9898616028323138
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	17	0.002990443826279669	0.53125	0.9770444763271167
GOBP_DNA_REPAIR	23	0.0029993615591090224	0.71875	0.9906575637800933
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	20	0.003090164219336316	0.625	0.9842879256965945
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	23	0.0032715213424943253	0.71875	0.9854301572617944
GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY	16	0.0035257793041265414	0.5	0.9919412607449858
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	20	0.0038565543630170443	0.625	0.9784292035398231
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	17	0.004059712366745641	0.53125	0.990281329923274
GOBP_ORGANELLE_LOCALIZATION	17	0.004173413257012726	0.53125	0.9874558519059796
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	17	0.0043881232138916855	0.53125	0.9839396284829722
GOBP_ADAPTIVE_IMMUNE_RESPONSE	4	0.0051900454982842575	0.125	0.9824281150159745
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	17	0.005262622264309091	0.53125	0.9910781793437171
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	14	0.0054977642825999855	0.4375	0.9749131840498143
GOBP_VESICLE_MEDIATED_TRANSPORT	17	0.005520140145077797	0.53125	0.9736940842956602
GOBP_GOLGI_VESICLE_TRANSPORT	17	0.005629709706314787	0.53125	0.9975232198142414
GOBP_CELL_CYCLE_PROCESS	23	0.005948908875460492	0.71875	0.9810253832621262
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	5	0.006556263952239724	0.15625	0.9717284814555633
GOBP_CILIUM_ORGANIZATION	16	0.00666006799443149	0.5	0.9927591463414632
GOBP_MEMBRANE_ORGANIZATION	17	0.007631822046097573	0.53125	0.9804198124948146
