pathway	freq	padj	NES	stability	overlap
GOBP_RESPONSE_TO_GROWTH_HORMONE	1	0.2499681988168997	1.9901761828723106	0.03125	49.48
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	1	0.24992944961772964	1.3974653596131827	0.03125	34.68
GOBP_TETRAPYRROLE_CATABOLIC_PROCESS	1	0.2498574310476266	1.5591372282011524	0.03125	29.91
GOBP_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	1	0.2498027624787863	1.858855601091899	0.03125	21.9
GOBP_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	1	0.24979972830386396	1.5599183377100267	0.03125	55.86
GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	1	0.24972765719035367	1.4046616280790336	0.03125	67.66
GOBP_GONADOTROPIN_SECRETION	1	0.24951616738566107	1.4989852902048266	0.03125	43.05
GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	1	0.2494590981901168	1.497990335571582	0.03125	24.18
GOBP_THALAMUS_DEVELOPMENT	1	0.24944612225271337	1.8650784291052613	0.03125	45.87
GOBP_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX_ASSEMBLY	1	0.24935282526372102	1.560548443124651	0.03125	48.96
GOBP_LAMELLIPODIUM_ORGANIZATION	1	0.24926143545905674	1.8621483785057094	0.03125	61.24
GOBP_C4_DICARBOXYLATE_TRANSPORT	1	0.24920033786789964	1.4190305508876269	0.03125	65.49
GOBP_RESPONSE_TO_ALKALOID	2	0.2490593630425994	1.5013477479484245	0.0625	62.94
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	1	0.2487622528354067	1.5613013449260442	0.03125	20.73
GOBP_DEVELOPMENTAL_INDUCTION	1	0.24852272805517936	1.6778446811424002	0.03125	44.33
GOBP_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING	1	0.24846515279055323	1.561797680184031	0.03125	66.12
GOBP_HEMOGLOBIN_BIOSYNTHETIC_PROCESS	3	0.2482040618467856	1.4215609851926108	0.09375	45.919999999999995
GOBP_QUINONE_CATABOLIC_PROCESS	3	0.2479952986095385	1.4001089223822538	0.09375	50.45000000000001
GOBP_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS	3	0.24741650202290952	1.4014285758604312	0.09375	56.6
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION	1	0.24731849690632987	1.5630559276361242	0.03125	18.31
GOBP_MENAQUINONE_METABOLIC_PROCESS	3	0.24729742792685308	1.401223217971651	0.09375	50.45000000000001
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	1	0.24727263583608783	1.874180184600057	0.03125	53.15
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	1	0.2471302974533814	1.397229964992662	0.03125	57.3
GOBP_RESPONSE_TO_CHOLESTEROL	1	0.2471242392622	1.3973605827952142	0.03125	29.93
GOBP_PEPTIDYL_GLUTAMINE_METHYLATION	3	0.2470554868300845	1.3713126999550143	0.09375	55.669999999999995
GOBP_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING	1	0.24701368734245724	1.8690416525374611	0.03125	42.31
GOBP_VENTRAL_SPINAL_CORD_DEVELOPMENT	1	0.24697088880357665	1.8786552918192443	0.03125	30.15
GOBP_POSITIVE_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY	1	0.24695610859667738	1.397660484982862	0.03125	53.57
GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	3	0.2468834866180103	1.371361426902934	0.09375	60.580000000000005
GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	1	0.24663380453976907	1.8778258108911332	0.03125	49.54
