pathway	freq	padj	NES	stability	overlap
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.23186366793097923	1.3460425556029403	1.0	75.84
KEGG_COLORECTAL_CANCER	1	0.2264275847632712	1.357021989466524	1.0	73.56
KEGG_P53_SIGNALING_PATHWAY	1	0.22259440572952957	1.3708921129620046	1.0	49.9
KEGG_AXON_GUIDANCE	1	0.2223007546389741	1.376344890305789	1.0	75.77
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.21826686788824187	1.3704872761963445	1.0	70.05
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	0.21505351069323503	1.3900395039590916	1.0	75.58
KEGG_PROTEIN_EXPORT	1	0.20775148245098563	1.4038053755543025	1.0	34.19
KEGG_FOCAL_ADHESION	1	0.20339562961150032	1.4146501470915938	1.0	73.56
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.1879434951500767	1.4380457591927283	1.0	60.74
KEGG_GLIOMA	1	0.17998156952828678	1.4580375453738537	1.0	73.56
KEGG_SPHINGOLIPID_METABOLISM	1	0.1770648497824095	1.4681724170771302	1.0	62.15
KEGG_ERBB_SIGNALING_PATHWAY	1	0.17636261057305802	1.4569703351698373	1.0	64.01
KEGG_WNT_SIGNALING_PATHWAY	1	0.17168028918923733	1.4934947859784493	1.0	71.53
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.1709613930118849	1.4825215915369465	1.0	73.64
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.17038158945312107	1.4891528329668369	1.0	77.86
KEGG_RNA_POLYMERASE	1	0.14763700747140032	1.5330800826456445	1.0	71.33
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.13666925395084578	1.5559319933859097	1.0	79.96
KEGG_TIGHT_JUNCTION	1	0.08374281842950042	1.660978694155243	1.0	73.55
KEGG_PROSTATE_CANCER	1	0.082294994390726	1.6851746786485466	1.0	73.56
KEGG_ENDOMETRIAL_CANCER	1	0.08176925635329982	1.679539350218931	1.0	73.56
KEGG_BASAL_CELL_CARCINOMA	1	0.08118923286500347	1.674400854260387	1.0	12.17
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.08077354559538437	1.6951213985695057	1.0	60.82
KEGG_PURINE_METABOLISM	1	0.07167761810638032	1.7311225586812455	1.0	85.11
KEGG_SMALL_CELL_LUNG_CANCER	1	0.06964886707928537	1.7292365365388196	1.0	23.72
KEGG_PATHWAYS_IN_CANCER	1	0.05584371288735837	1.7881653555110641	1.0	75.75
KEGG_PANCREATIC_CANCER	1	0.052239970083872	1.8097753743961542	1.0	73.56
KEGG_LYSOSOME	1	0.051821678508467334	1.8164236237478533	1.0	75.02
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.0514882576874926	1.8246420868940776	1.0	73.56
KEGG_LYSINE_DEGRADATION	1	0.041617899169050405	1.8691007930449757	1.0	25.16
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.038288064838628434	1.8953471857729494	1.0	51.96
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.029512794486884986	1.9464153246802016	1.0	49.64
KEGG_PYRIMIDINE_METABOLISM	1	0.027886105026977935	1.961453301255801	1.0	57.62
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.02432288049575298	1.9873265742110036	1.0	29.84
KEGG_ENDOCYTOSIS	1	0.01366965932694997	2.087240247233197	1.0	64.03
KEGG_BASE_EXCISION_REPAIR	1	0.008075351247395694	2.170573455760831	1.0	41.33
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.007237108209382369	2.2110373129700633	1.0	30.37
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.006864272006640723	2.2271626829625184	1.0	62.12
KEGG_ADHERENS_JUNCTION	1	0.0067546343287568774	2.2099969546605487	1.0	16.3
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.005267375393984721	2.283039531608755	1.0	60.01
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.004056160731196791	2.341836075021971	1.0	31.34
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.003439286286660612	2.363032184880901	1.0	24.37
KEGG_MISMATCH_REPAIR	1	0.0016266894599070464	2.4698435078918983	1.0	20.73
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.0014459461865840412	2.467128772368668	1.0	24.25
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.0006639548815947127	2.6096799355456297	1.0	36.04
KEGG_CELL_CYCLE	1	0.0006196912228217319	2.6280304412087387	1.0	52.81
KEGG_SPLICEOSOME	1	0.0	5.813683645765652	1.0	39.26
KEGG_RIBOSOME	1	0.0	3.8329783333571767	1.0	50.58
KEGG_RNA_DEGRADATION	1	0.0	3.6536358654429906	1.0	37.12
KEGG_DNA_REPLICATION	1	0.0	3.072984016533493	1.0	24.02
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.0	3.0552283220397083	1.0	54.43
