pathway	freq	padj	NES	stability	overlap
GOBP_RNA_5_END_PROCESSING	1	0.24991470503327234	1.4172175427360518	1.0	69.74
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY	1	0.2498565018709802	1.4171015489046352	1.0	62.29
GOBP_CARDIAC_MUSCLE_CELL_FATE_COMMITMENT	1	0.24983123414129596	-1.4238007590368842	1.0	8.75
GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	1	0.24983047204970754	-1.423307372117979	1.0	12.93
GOBP_MEMBRANE_REPOLARIZATION_DURING_ATRIAL_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	0.24970629653387086	-1.423749649335278	1.0	49.18
GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	1	0.24962207077987011	1.4178208627788988	1.0	50.13
GOBP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	1	0.2495751251195996	-1.4236981703179836	1.0	22.9
GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING	1	0.24955204130835215	1.4182151072179998	1.0	21.63
GOBP_PROTEIN_N_LINKED_GLYCOSYLATION	1	0.24945091943683234	1.4184784872538028	1.0	25.49
GOBP_REGULATION_OF_HISTONE_H3_K27_METHYLATION	1	0.24940252501034857	1.4181955460857236	1.0	34.15
GOBP_HISTONE_ARGININE_METHYLATION	1	0.24909377346758735	1.4198357153057306	1.0	27.98
GOBP_METANEPHROS_DEVELOPMENT	1	0.24905808746344288	-1.4246991448328066	1.0	26.32
GOBP_REGULATION_OF_TORC2_SIGNALING	1	0.24901401209233648	1.4190620817093333	1.0	36.48
GOBP_AXIS_SPECIFICATION	1	0.2489961300830364	1.4194003984715833	1.0	17.1
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	1	0.24898941689263543	1.4197695770238212	1.0	77.08
GOBP_PHOTORECEPTOR_CELL_OUTER_SEGMENT_ORGANIZATION	1	0.24897070209740904	1.419607563450163	1.0	13.73
GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM	1	0.24883398807046794	1.4193887638942664	1.0	47.02
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_MORPHOGENESIS	1	0.24872425063530842	1.4203604556338276	1.0	9.08
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	1	0.24824667260206046	1.4210278890658057	1.0	39.16
GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	1	0.24785913002956286	1.42158822193891	1.0	15.64
GOBP_CELLULAR_RESPONSE_TO_STARVATION	1	0.24755829846651098	1.422017950158329	1.0	32.2
GOBP_INNER_EAR_MORPHOGENESIS	1	0.2474370947156328	-1.426424918019482	1.0	21.72
GOBP_SIGNAL_COMPLEX_ASSEMBLY	1	0.24731126372135537	1.422432654938456	1.0	59.03
GOBP_CARBOHYDRATE_PHOSPHORYLATION	1	0.24727672154496755	1.4226586646363133	1.0	56.67
GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24718830826100777	-1.4269855986927815	1.0	50.72
GOBP_SYNAPTIC_VESICLE_MATURATION	1	0.24707701427113357	-1.4269315685590787	1.0	33.36
GOBP_METENCEPHALON_DEVELOPMENT	1	0.24704605450974126	1.4230681781847259	1.0	32.16
GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	1	0.2465052015728958	1.4237876382257855	1.0	64.15
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL	1	0.2464483522155059	-1.4279004592724942	1.0	31.67
GOBP_LEUCINE_METABOLIC_PROCESS	1	0.24633526382874654	-1.4281900859539685	1.0	59.62
GOBP_REGULATION_OF_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH	1	0.2458881420096726	-1.4287988176091597	1.0	27.07
GOBP_NATURAL_KILLER_CELL_ACTIVATION	1	0.24571069162921594	-1.4291319245421432	1.0	44.96
