pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_MAMMARY_GLAND_BRANCHING_INVOLVED_IN_PREGNANCY	1	0.24910116674720148	1.4020944554109245	1.0	54.0	['VDR', 'PGR', 'WNT4', 'ESR1', 'AR', 'MED1']
GOBP_SKELETAL_MUSCLE_CELL_PROLIFERATION	1	0.24906410369932516	1.4022779108054044	1.0	66.79	['PAXBP1', 'KPNA1', 'ANGPT1', 'EPHB1', 'PPARD', 'SIX5', 'MEGF10', 'AKIRIN1', 'SIX1', 'CFLAR', 'FGF2', 'JAK2']
GOBP_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	1	0.2487065372653204	1.40278448072115	1.0	67.44	['SRC', 'CARMIL2', 'ABI3', 'ACTR3', 'PDPN', 'PLCE1', 'ARHGEF7', 'VIL1', 'ATP7A', 'CAPZB', 'NCKAP1', 'CORO1B', 'ENPP2', 'CD44', 'SLIT2', 'CDC42', 'MTOR', 'RAC1', 'ABI2', 'PIK3R1', 'DMTN', 'CYFIP1', 'AVIL', 'RAC2', 'KANK1', 'ACTR2', 'PIK3CA', 'PLXNB3', 'CARMIL1', 'OCLN', 'AUTS2', 'DNM2', 'BIN3', 'WASF2', 'ARPIN', 'FER', 'AKIRIN1', 'RREB1', 'TWF1', 'EPHA2']
GOBP_NEURON_REMODELING	1	0.24848242033486317	1.4035719435179743	1.0	14.78	['FARP2', 'NTN4', 'BCL11A', 'CX3CL1', 'APP', 'ANKS1A']
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_COMPETITIVE_PROMOTER_BINDING	1	0.24842962562948095	1.403321136019829	1.0	45.17	['PHB', 'CREB1', 'KDM2A', 'MUC1', 'BHLHE41', 'TFAP2A', 'DACH1', 'MAD2L2']
GOBP_REGULATION_OF_ASPARTIC_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	1	0.24837313411540765	1.4035327943308937	1.0	63.53	['ROCK2', 'BIN1', 'EFNA1', 'TMED10', 'AGER', 'PICALM', 'EFNA3', 'EPHA4', 'SORL1', 'LYN']
GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	1	0.2483354962677779	1.403269114455592	1.0	72.99	['AUH', 'LRRC47', 'PTS', 'HGD', 'ARG2', 'NOX4', 'HNMT', 'PIPOX', 'KYNU', 'THAP4', 'AARS2', 'MTHFR', 'BCKDK', 'HYKK', 'BCKDHA', 'MSRA', 'AARSD1', 'PYCR1', 'TARS2', 'GNMT', 'ETFB', 'GLYAT', 'RIMKLB', 'PSPH', 'GPT', 'IL4I1', 'GLYATL1', 'DARS2', 'PARK7', 'IARS2', 'PAH', 'GCAT', 'MTR', 'DBT', 'RIMKLA', 'FARS2', 'GLS', 'RARS2', 'ACAD8', 'ASNSD1', 'MARS2', 'CTPS2', 'DLD', 'GSTZ1', 'SLC1A3', 'ABAT', 'HPDL', 'AZIN2', 'GOT2', 'BHMT2', 'HSD17B10', 'SLC25A44', 'SCLY', 'ATP2B4', 'GCLM', 'CAD', 'HAAO', 'WARS2', 'PEPD', 'MRI1', 'SEPHS1', 'CDO1', 'SDSL', 'DALRD3', 'FAH', 'BCAT1', 'TST', 'IYD', 'YARS2', 'KYAT3', 'NOXRED1', 'PCBD2', 'GLS2', 'DHFRP1', 'SLC7A11', 'HMGCLL1', 'GMPS', 'FARSB', 'MTHFD1', 'NARS2', 'GGT1', 'SLC25A21', 'PLOD3', 'SARDH', 'QDPR', 'GFPT1', 'CARNS1', 'ACADSB', 'FN3K', 'BCAT2', 'ETFA', 'GOT1', 'GPT2', 'AASDHPPT', 'VARS2', 'SERINC5', 'ATP7A', 'CRYM', 'CSAD', 'MTRR', 'CTPS1', 'ACCS', 'ARHGAP11B', 'ACY1', 'ADHFE1', 'PYCR2', 'HARS2', 'PARS2', 'MTHFD2L', 'IVD', 'SLC25A12', 'ALDH8A1', 'KYAT1', 'BLMH', 'DPYD', 'DHFR2', 'AASS', 'CARNMT1', 'HOGA1', 'SARS2', 'GGT5', 'GLUD2', 'RIDA', 'SLC7A7', 'DDAH1', 'GCLC', 'THNSL2', 'ASL', 'AASDH', 'LARS2', 'SERINC3', 'SMS', 'MECP2', 'NAT8L', 'BCKDHB', 'FARSA', 'GCDH', 'OAT', 'ALDH18A1', 'PFAS', 'TPH1', 'GATC', 'ASPA', 'ASRGL1', 'ALDH1A1', 'NIT2', 'ECHS1', 'AZIN1', 'KMO', 'IDO1', 'AMDHD1', 'ENOSF1', 'FPGS', 'ASS1', 'SLC25A13', 'ACMSD', 'PLOD2', 'MTAP', 'PPAT', 'GSS', 'MPST', 'ILVBL', 'ASNS', 'QRSL1', 'TAT', 'MCCC2', 'SEPHS2', 'CARS2', 'AMT', 'SHMT2', 'MAT1A', 'BLOC1S6', 'ENOPH1', 'GART', 'NAGS', 'ACAT1', 'AGMAT', 'CLN3', 'SLC39A8', 'EARS2', 'AFMID', 'DDAH2', 'CTNS', 'SRR', 'GLUD1']
GOBP_VISUAL_BEHAVIOR	1	0.24800648221964686	1.4044395274371673	1.0	48.06	['GRIN1', 'PDE1B', 'RGS14', 'IFT20', 'DRD2', 'CDK5', 'SYNGAP1', 'KRAS', 'APP', 'TANC1', 'KIT', 'HMGCR', 'CHRNB2', 'ABCC8', 'NPHP1', 'ABCA7', 'SLC7A11', 'NPHP4', 'NF1', 'MEIS2', 'HIF1A', 'MECP2', 'SLC1A2', 'RIC8A', 'NPTN']
GOBP_PROTEIN_DESTABILIZATION	1	0.24798554331956665	1.4043240160342587	1.0	73.16	['SRC', 'FBXW7', 'BMP2', 'SERF1B', 'GSN', 'EP300', 'PYHIN1', 'TRIM21', 'SNCA', 'SENP2', 'CREBBP', 'MDM2', 'KDM8', 'PRKDC', 'ISOC2', 'PRNP', 'SERF2', 'MUL1', 'RNF5', 'CDC73', 'HTT', 'HDAC6', 'GGA3', 'FBXW11', 'FBXL3', 'BTRC', 'RAD23A', 'CAPN3', 'CCDC88C', 'CHFR', 'PEX2', 'SERF1A', 'PLK1', 'SIRT6', 'FBXO4', 'SIRT1', 'VPS35', 'MYLIP', 'CTSH', 'CUL3']
GOBP_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	1	0.2479332696845501	1.4042258799471163	1.0	34.87	['OSBPL10', 'MBOAT1', 'OSBPL5', 'OSBPL8', 'MBOAT2', 'LPCAT3']
