pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_PROSTATE_CANCER	1	0.24923512805273396	1.4344782615349132	1.0	37.98	['FGFR2', 'CHUK', 'GSK3B', 'RB1', 'PDGFA', 'HSP90AB1', 'LEF1', 'EP300', 'E2F3', 'TGFA', 'CTNNB1', 'ERBB2', 'TCF7', 'PIK3R2', 'CREBBP', 'TP53', 'NRAS', 'MAP2K2', 'EGF', 'CREB3', 'MTOR', 'KRAS', 'MAPK1', 'BRAF', 'RELA', 'SOS2', 'PIK3R1', 'HRAS', 'IKBKB', 'CREB3L4', 'CREB3L2', 'PIK3CD', 'NKX3-1', 'CDK2', 'CREB1', 'HSP90AA1', 'PDPK1', 'PIK3CB', 'AKT1', 'HSP90B1', 'IGF1R', 'NFKB1', 'CASP9']
KEGG_P53_SIGNALING_PATHWAY	1	0.24917453113368393	1.4062154441037646	1.0	49.32	['DDB2', 'EI24', 'BID', 'BBC3', 'SFN', 'RCHY1', 'ZMAT3', 'PPM1D', 'STEAP3', 'TP53', 'APAF1', 'CD82', 'MDM2', 'TNFRSF10B', 'SHISA5', 'CHEK1', 'TSC2', 'CCNE2', 'MDM4', 'SESN3', 'CCNB1', 'CDK4', 'FAS', 'CCNG1', 'CHEK2', 'CASP3', 'ADGRB1', 'BAX', 'PERP', 'ATR', 'CASP9', 'CCNG2', 'CCND3', 'CDK2', 'TP53AIP1', 'CASP8', 'SERPINB5', 'TP73', 'PIDD1', 'TP53I3', 'CDK6', 'ATM', 'SIAH1']
KEGG_ERBB_SIGNALING_PATHWAY	1	0.17514240946000187	1.5437297423472662	1.0	67.79	['SRC', 'ARAF', 'GSK3B', 'PLCG1', 'NCK2', 'MAP2K1', 'PAK1', 'TGFA', 'ELK1', 'MAPK9', 'GAB1', 'MAPK8', 'ERBB2', 'PIK3R2', 'NRAS', 'SHC2', 'PLCG2', 'MAP2K2', 'PIK3R3', 'RPS6KB1', 'PAK3', 'ERBB4', 'EGF', 'CBLB', 'ABL2', 'CAMK2G', 'BAD', 'MTOR', 'KRAS', 'CRK', 'PAK6', 'EGFR', 'MAPK1', 'MAPK10', 'BRAF', 'AREG', 'NRG4', 'NCK1', 'SOS2', 'PIK3R1', 'HRAS', 'SHC1', 'CBL', 'BTC', 'SHC4', 'CRKL', 'PAK2', 'MAP2K7', 'PIK3CD', 'PIK3CA', 'MYC', 'AKT3', 'NRG2', 'PIK3CG', 'PAK4', 'RPS6KB2', 'PTK2', 'MAP2K4', 'PIK3CB', 'NRG1', 'AKT1', 'CAMK2D', 'PAK5', 'ERBB3', 'CBLC', 'GRB2', 'RAF1', 'ABL1', 'SOS1']
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.17170021537750682	1.5398788303023827	1.0	36.97	['CHUK', 'OTUD5', 'ATG5', 'MAPK8', 'IRF3', 'IFIH1', 'TKFC', 'MAPK13', 'DDX58', 'RELA', 'CYLD', 'IKBKE', 'IRF7', 'IKBKB', 'TANK', 'SIKE1', 'DDX3X', 'TRAF2', 'MAP3K1', 'TRAF6', 'TBK1', 'TRADD', 'CASP8', 'FADD', 'MAP3K7', 'NFKBIB', 'NFKB1', 'DHX58']
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.17014083999711835	1.5345450658880553	1.0	70.56	['ARAF', 'PLCG1', 'RB1', 'E2F3', 'TGFA', 'PLCG2', 'RXRA', 'ERBB2', 'NRAS', 'PIK3R2', 'CCND1', 'TP53', 'MAP2K2', 'PIK3R3', 'RASSF5', 'EGF', 'STK4', 'FHIT', 'RARB', 'BAD', 'KRAS', 'RXRB', 'EGFR', 'MAP2K1', 'MAPK1', 'BRAF', 'SOS2', 'PIK3R1', 'HRAS', 'CDK4', 'E2F1', 'PIK3CD', 'PIK3CA', 'AKT3', 'PIK3CG', 'PDPK1', 'FOXO3', 'PIK3CB', 'E2F2', 'AKT1', 'GRB2', 'RASSF1', 'CDK6', 'RAF1', 'SOS1', 'CASP9']
KEGG_RNA_POLYMERASE	1	0.1538013591720097	1.5796146146859893	1.0	74.49	['POLR2E', 'POLR1C', 'POLR2D', 'POLR2G', 'POLR3K', 'POLR1B', 'POLR3GL', 'POLR1E', 'POLR2F', 'POLR3H', 'POLR2A', 'POLR3C', 'POLR3A', 'POLR2B', 'POLR2J3', 'POLR1D', 'POLR2K', 'POLR2H', 'POLR1A', 'POLR3F', 'POLR3B', 'POLR2J2', 'POLR2L', 'POLR2I', 'POLR3G', 'POLR2C', 'POLR3D', 'POLR2J']
KEGG_SMALL_CELL_LUNG_CANCER	1	0.1297588568768599	1.6250294513142873	1.0	37.07	['CHUK', 'PIAS3', 'RB1', 'ITGA6', 'E2F3', 'XIAP', 'PIK3R2', 'MAX', 'TP53', 'COL4A6', 'APAF1', 'PIAS4', 'LAMB3', 'RARB', 'FHIT', 'ITGA2', 'RXRB', 'RELA', 'LAMA1', 'PIK3R1', 'LAMA5', 'LAMA3', 'ITGA3', 'CDK4', 'IKBKB', 'TRAF5', 'PIAS1', 'BCL2L1', 'PIK3CD', 'TRAF2', 'CDK2', 'TRAF6', 'PTK2', 'TRAF4', 'PIAS2', 'PIK3CB', 'AKT1', 'BIRC2', 'CDK6', 'LAMC2', 'NFKB1', 'CASP9']
KEGG_ENDOMETRIAL_CANCER	1	0.12153879403501189	1.6483538676792746	1.0	64.34	['ARAF', 'GSK3B', 'TCF7L2', 'LEF1', 'ELK1', 'CTNNB1', 'ERBB2', 'TCF7', 'NRAS', 'PIK3R2', 'TP53', 'MAP2K2', 'PIK3R3', 'EGF', 'BAD', 'KRAS', 'CTNNA1', 'EGFR', 'MAP2K1', 'MAPK1', 'BRAF', 'APC', 'PIK3R1', 'SOS2', 'HRAS', 'PIK3CD', 'MLH1', 'PIK3CA', 'MYC', 'TCF7L1', 'PIK3CG', 'PDPK1', 'PIK3CB', 'AKT1', 'GRB2', 'CDH1', 'FOXO3', 'RAF1', 'AXIN1', 'SOS1', 'CASP9']
KEGG_WNT_SIGNALING_PATHWAY	1	0.10126701966717094	1.6947222612642192	1.0	67.27	['PRKACB', 'TCF7L2', 'MAPK9', 'LRP5', 'CTNNB1', 'SENP2', 'CSNK1E', 'PPP2R1B', 'RUVBL1', 'RAC1', 'CSNK2B', 'DVL2', 'FZD2', 'PSEN1', 'CHD8', 'TCF7L1', 'PPP2R5B', 'DAAM1', 'CTBP1', 'PPARD', 'CXXC4', 'ROCK1', 'FZD3', 'VANGL1', 'SIAH1', 'PPP2R1A', 'FZD1', 'DAAM2', 'FZD4', 'CSNK1A1', 'PRICKLE1', 'CAMK2G', 'FZD9', 'CUL1', 'NFATC4', 'FRAT2', 'PPP2R5C', 'SFRP1', 'MMP7', 'TBL1XR1', 'CSNK1A1L', 'CSNK2A2', 'CTNNBIP1', 'PPP3CB', 'NFATC3', 'DVL1', 'FZD8', 'PLCB2', 'DVL3', 'WNT5A', 'SMAD2', 'EP300', 'SKP1', 'MAPK8', 'WNT10A', 'TCF7', 'PPP3CA', 'ROCK2', 'NFAT5', 'PORCN', 'WIF1', 'NKD2', 'APC', 'PPP2CB', 'CSNK2A1', 'SMAD3', 'FBXW11', 'WNT6', 'RAC2', 'VANGL2', 'PLCB3', 'CCND3', 'TBL1X', 'FZD7', 'WNT2B', 'PPP2R5E', 'PPP3R1', 'AXIN1', 'PRKX', 'CTBP2', 'GSK3B', 'WNT4', 'LEF1', 'LRP6', 'CREBBP', 'TP53', 'FRAT1', 'PPP2R5D', 'MAPK10', 'FZD10', 'PPP2R5A', 'SMAD4', 'WNT3', 'BTRC', 'RAC3', 'PLCB1', 'FZD6', 'PPP2CA', 'NLK', 'WNT11', 'WNT7B', 'MYC', 'PLCB4', 'MAP3K7', 'WNT5B', 'CAMK2D']
KEGG_PANCREATIC_CANCER	1	0.09602727076252038	1.7203423863454164	1.0	66.71	['CHUK', 'ARAF', 'JAK1', 'STAT1', 'RB1', 'SMAD2', 'E2F3', 'TGFA', 'RALA', 'TGFBR1', 'RALGDS', 'MAPK8', 'ERBB2', 'PIK3R2', 'MAPK9', 'TP53', 'STAT3', 'PIK3R3', 'EGF', 'BRCA2', 'BAD', 'CDC42', 'KRAS', 'IKBKG', 'PLD1', 'RAC1', 'EGFR', 'MAPK1', 'VEGFB', 'BRAF', 'MAPK10', 'RELA', 'MAP2K1', 'PIK3R1', 'CDK4', 'SMAD3', 'IKBKB', 'RAC2', 'SMAD4', 'RAC3', 'E2F1', 'BCL2L1', 'PIK3CD', 'TGFB3', 'PIK3CA', 'AKT3', 'PIK3CG', 'PGF', 'PIK3CB', 'TGFB1', 'E2F2', 'AKT1', 'TGFB2', 'RALBP1', 'RAD51', 'CDK6', 'RAF1', 'NFKB1', 'CASP9']
