pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_GALACTOSE_METABOLISM	1	0.24538676538548032	1.322197000014945	1.0	37.74	['GALK2', 'GANC', 'GLB1', 'PFKP', 'GAA', 'PGM1', 'GALE', 'UGP2', 'GALK1', 'PFKL', 'B4GALT1', 'HK1', 'PGM2']
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	0.24380447716722828	1.3292025881761071	1.0	12.11	['GLI3', 'LRP2', 'GSK3B', 'CSNK1G3', 'CSNK1A1', 'PRKX', 'CSNK1E', 'BTRC', 'CSNK1D', 'STK36', 'SUFU', 'SMO', 'CSNK1G1']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.2325999935747101	1.3460425556029403	1.0	75.84	['MAP2K2', 'KRAS', 'CCND1', 'NRAS', 'PIK3CB', 'PIK3R3', 'MECOM', 'E2F1', 'BCL2L1', 'NFKB1', 'TGFBR1', 'CHUK', 'SOS1', 'SHC1', 'PTPN11', 'SMAD4', 'RELA', 'SHC4', 'CRK', 'CBL', 'PIK3CD', 'E2F2', 'MAPK3', 'CBLC', 'RB1', 'MYC', 'PIK3CA', 'SOS2', 'E2F3', 'CTBP2', 'SMAD3', 'AKT1', 'GAB2', 'BCR', 'GRB2', 'TGFB2', 'RAF1', 'CRKL', 'TP53', 'HDAC1', 'IKBKB', 'PIK3R1', 'TGFB1', 'IKBKG', 'TGFB3', 'PIK3R2', 'SHC2', 'MAP2K1', 'TGFBR2', 'AKT2', 'RUNX1', 'BRAF', 'HRAS', 'ARAF', 'ABL1', 'MAPK1', 'BAD', 'HDAC2', 'CDKN1B', 'CDK4', 'AKT3', 'CDK6', 'CBLB', 'MDM2', 'CTBP1']
KEGG_COLORECTAL_CANCER	1	0.2301788000836599	1.3537565280425052	1.0	73.56	['SMAD2', 'KRAS', 'CCND1', 'PIK3CB', 'RHOA', 'APC', 'MAPK10', 'MAPK9', 'AXIN1', 'APPL1', 'MAPK8', 'TGFBR1', 'LEF1', 'MSH3', 'SMAD4', 'TCF7L1', 'MAPK3', 'PIK3CD', 'MYC', 'PIK3CA', 'RALGDS', 'SMAD3', 'AKT1', 'RAC3', 'TGFB2', 'RAF1', 'BAX', 'TCF7L2', 'TP53', 'BCL2', 'PIK3R1', 'CASP3', 'MLH1', 'TCF7', 'PIK3R2', 'TGFB3', 'TGFB1', 'TGFBR2', 'RAC1', 'CTNNB1', 'BRAF', 'AKT2', 'ARAF', 'MAPK1', 'RAC2', 'BAD', 'MSH2', 'GSK3B', 'MSH6', 'AKT3', 'CASP9', 'PIK3R3', 'MAP2K1']
KEGG_P53_SIGNALING_PATHWAY	1	0.22734746183199295	1.3774861321941956	1.0	49.9	['TSC2', 'RCHY1', 'CHEK1', 'MDM4', 'BID', 'ADGRB1', 'ATM', 'SFN', 'PIDD1', 'BBC3', 'STEAP3', 'CDK2', 'CHEK2', 'CCNE2', 'BAX', 'SHISA5', 'TP53', 'TP53AIP1', 'CASP8', 'CASP3', 'TP53I3', 'CCNB2', 'PERP', 'ATR', 'SESN3', 'FAS', 'CCNB1', 'SIAH1', 'DDB2', 'EI24', 'APAF1', 'CD82', 'TP73', 'CDK4', 'CCND3', 'PPM1D', 'TNFRSF10B', 'SERPINB5', 'ZMAT3', 'CASP9', 'CDK6', 'CCNG2', 'MDM2']
KEGG_AXON_GUIDANCE	1	0.22601027208309296	1.3735863799471992	1.0	75.77	['KRAS', 'PAK1', 'FES', 'NTN4', 'SEMA6C', 'SEMA4A', 'PAK6', 'SEMA3F', 'ROCK1', 'PLXNA2', 'SEMA4F', 'PLXNA1', 'ROBO3', 'GNAI2', 'SEMA6B', 'NFATC3', 'NFATC4', 'GNAI1', 'EPHA2', 'SRGAP3', 'SEMA3C', 'PLXNB3', 'CDK5', 'EPHA3', 'SEMA4G', 'EPHA4', 'EFNA5', 'NGEF', 'NRP1', 'EFNA3', 'NRAS', 'RHOA', 'SEMA4C', 'ABLIM2', 'EPHB6', 'SEMA6A', 'NCK2', 'UNC5C', 'PTK2', 'PAK2', 'RAC3', 'NFAT5', 'ABLIM3', 'CFL2', 'EFNA1', 'PAK5', 'LIMK2', 'RGS3', 'EFNB2', 'RAC1', 'HRAS', 'LIMK1', 'ABL1', 'PPP3CA', 'CXCR4', 'SRGAP2', 'EPHA7', 'RHOD', 'SLIT2', 'SEMA3A', 'ITGB1', 'SLIT3', 'PLXNC1', 'SRGAP1', 'UNC5A', 'UNC5B', 'NCK1', 'LRRC4C', 'PLXNA3', 'CFL1', 'EFNA4', 'SEMA6D', 'MAPK3', 'SEMA5A', 'PLXNB2', 'FYN', 'SEMA3G', 'CDC42', 'RAC2', 'ARHGEF12', 'GSK3B', 'NTN1', 'RASA1', 'EPHA1', 'SEMA4D', 'PLXNB1', 'PPP3CB', 'SEMA3D', 'EFNB1', 'EPHB3', 'EPHB1', 'PAK4', 'ABLIM1', 'SEMA3E', 'EPHB4', 'PAK3', 'MAPK1', 'GNAI3', 'EFNB3', 'SEMA7A', 'SEMA4B', 'ROBO1', 'ROCK2']
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	0.2214195926229469	1.3733590678805463	1.0	75.58	['MTMR1', 'GMDS', 'PFKM', 'AKR1B1', 'PFKFB4', 'MTMR6', 'KHK', 'PFKP', 'FPGT', 'HK2', 'PFKL', 'MTMR2', 'PMM1', 'PHPT1', 'FBP1', 'GMPPB', 'ALDOC', 'MPI', 'HK3', 'MTMR7', 'GMPPA', 'SORD', 'HK1', 'PFKFB1', 'PMM2', 'ALDOA', 'TPI1', 'PFKFB3', 'PFKFB2']
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.2193687688073591	1.3704872761963445	1.0	70.05	['PDSS2', 'FDPS', 'ACAT1', 'ACAT2', 'PMVK', 'DHDDS', 'IDI2', 'HMGCR', 'IDI1', 'PDSS1', 'HMGCS2', 'MVD', 'HMGCS1', 'GGPS1', 'MVK']
KEGG_PROTEIN_EXPORT	1	0.21811595895992078	1.3923914530571286	1.0	34.19	['SPCS1', 'SRP9P1', 'SPCS3', 'SRP19', 'SRP68', 'SRP54', 'HSPA5', 'SRPRA', 'SEC61A2', 'SRP72', 'SEC63', 'SEC61A1', 'SRPRB', 'SEC11C']
KEGG_FOCAL_ADHESION	1	0.21077341812723716	1.4057186475742007	1.0	73.56	['LAMA2', 'PAK1', 'VEGFB', 'PIK3CB', 'MAPK10', 'ITGA9', 'PDGFRB', 'ITGA2', 'MAPK8', 'PAK6', 'ROCK1', 'SOS1', 'THBS3', 'ACTG1', 'ITGA1', 'SHC4', 'THBS4', 'COL2A1', 'SOS2', 'CAV2', 'ACTN2', 'ITGA4', 'ITGB8', 'PXN', 'COL4A6', 'PRKCB', 'CRKL', 'ITGB5', 'ITGB3', 'CAV1', 'COL11A1', 'PDGFA', 'SHC2', 'BIRC3', 'THBS2', 'ITGB7', 'CTNNB1', 'DIAPH1', 'VAV1', 'LAMB3', 'ILK', 'MYLK', 'PPP1R12A', 'SPP1', 'LAMC2', 'TLN2', 'ITGB4', 'COL11A2', 'LAMA5', 'RHOA', 'FLNB', 'MAPK9', 'LAMB2', 'COL1A2', 'ACTB', 'LAMC3', 'PTEN', 'VAV3', 'PPP1CB', 'ACTN1', 'COL5A3', 'COL4A1', 'PAK2', 'PTK2', 'BIRC2', 'RAC3', 'ITGA3', 'GRB2', 'PAK5', 'ZYX', 'COL6A3', 'ITGA7', 'PIK3R2', 'LAMA3', 'ELK1', 'RAC1', 'COL1A1', 'HRAS', 'XIAP', 'COL5A2', 'EGF', 'LAMA4', 'FLNC', 'VWF', 'PIP5K1C', 'ERBB2', 'CHAD', 'ITGB6', 'IGF1R', 'ITGB1', 'COL4A2', 'HGF', 'FLT1', 'PDPK1', 'KDR', 'SHC1', 'ACTN4', 'LAMC1', 'EGFR', 'MAPK3', 'PIK3CA', 'FYN', 'COL5A1', 'AKT1', 'LAMA1', 'IGF1', 'ITGA10', 'BCL2', 'PDGFC', 'PIK3R1', 'CDC42', 'RAC2', 'COL3A1', 'SRC', 'PDGFRA', 'GSK3B', 'BCAR1', 'ARHGAP5', 'AKT3', 'CCND3', 'MAP2K1', 'CCND1', 'PPP1CC', 'PRKCA', 'PIK3R3', 'TNC', 'LAMB1', 'ARHGAP35', 'VAV2', 'PAK4', 'PIK3CD', 'CRK', 'RELN', 'PGF', 'DOCK1', 'ITGAV', 'RAF1', 'THBS1', 'PDGFD', 'PARVB', 'RASGRF1', 'COL4A4', 'PARVA', 'PPP1CA', 'VASP', 'AKT2', 'BRAF', 'PAK3', 'MAPK1', 'ITGA6', 'BAD', 'FLNA', 'MYL5', 'MYL12B', 'ROCK2']
