pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	0.23226058373864372	-1.3409778787663347	1.0	60.86	['CA2', 'CA4', 'GLUD1', 'SLC38A3', 'MDH1', 'AQP1', 'SLC9A3', 'PCK1', 'ATP1B2', 'PCK2', 'ATP1B3', 'SLC4A4', 'GLUD2', 'GLS', 'ATP1A4', 'ATP1A3', 'ATP1A2', 'SLC25A10']
KEGG_GALACTOSE_METABOLISM	1	0.22705254250657944	1.4194124520877658	1.0	36.01	['GALK2', 'GANC', 'GLB1', 'PFKP', 'GAA', 'PFKL', 'PGM1', 'GALK1', 'GALE', 'UGP2', 'B4GALT1', 'HK1', 'PGM2']
KEGG_FOLATE_BIOSYNTHESIS	1	0.2242076373512193	-1.3540478753501035	1.0	62.14	['FPGS', 'DHFR', 'GCH1', 'ALPL', 'GGH', 'SPR', 'PTS', 'QDPR']
KEGG_COLORECTAL_CANCER	1	0.22391288981225088	1.4286056239739147	1.0	67.86	['SMAD2', 'KRAS', 'CCND1', 'PIK3CB', 'APC', 'MAPK10', 'MAPK9', 'AXIN1', 'APPL1', 'MAPK8', 'TGFBR1', 'LEF1', 'MSH3', 'SMAD4', 'TCF7L1', 'PIK3CD', 'MYC', 'PIK3CA', 'RALGDS', 'SMAD3', 'AKT1', 'RAC3', 'TGFB2', 'RAF1', 'BAX', 'TCF7L2', 'TP53', 'BCL2', 'PIK3CG', 'PIK3R1', 'CASP3', 'MLH1', 'TCF7', 'PIK3R2', 'TGFB3', 'TGFB1', 'RAC1', 'CTNNB1', 'BRAF', 'ARAF', 'MAPK1', 'RAC2', 'BAD', 'MSH2', 'GSK3B', 'MSH6', 'AKT3', 'CASP9', 'PIK3R3', 'MAP2K1']
KEGG_BUTANOATE_METABOLISM	1	0.22239946540411873	-1.360132619073046	1.0	42.94	['ALDH9A1', 'BDH1', 'ACAT2', 'AACS', 'ALDH5A1', 'AKR1B10', 'PDHB', 'ACSM1', 'ALDH1B1', 'HMGCL', 'ACADS', 'HADHA', 'EHHADH', 'HMGCS1', 'OXCT1', 'ALDH3A2', 'PDHA1', 'L2HGDH']
KEGG_BASAL_CELL_CARCINOMA	1	0.22198874217891923	1.4182532907233794	1.0	69.34	['FZD3', 'APC', 'WNT2B', 'FZD10', 'AXIN1', 'FZD6', 'WNT7B', 'LEF1', 'WNT3', 'GLI2', 'FZD5', 'GLI3', 'TCF7L1', 'WNT5B', 'WNT6', 'FZD2', 'SUFU', 'FZD8', 'WNT5A', 'BMP2', 'TCF7L2', 'TP53', 'TCF7', 'DVL2', 'CTNNB1', 'STK36', 'DVL1', 'WNT4', 'FZD4', 'WNT10A', 'GSK3B', 'PTCH1', 'FZD7', 'WNT11', 'FZD9', 'PTCH2', 'DVL3', 'FZD1', 'SMO']
KEGG_TIGHT_JUNCTION	1	0.21921087165992773	1.4149697775932621	1.0	22.7	['CLDN3', 'CTTN', 'CLDN8', 'NRAS', 'OCLN', 'CLDN19', 'CRB3', 'SYMPK', 'MAGI3', 'PPP2R1A', 'PRKCE', 'PARD6G', 'ACTG1', 'CLDN4', 'CGN', 'ASH1L', 'PRKCI', 'YES1', 'PPP2R2A', 'CLDN7', 'AKT1', 'TJAP1', 'PPP2R2D', 'CASK', 'PATJ', 'LLGL1', 'CTNNB1', 'AFDN', 'GNAI3', 'SRC', 'TJP3', 'LLGL2', 'CDK4', 'MAGI1', 'PRKCZ', 'CSNK2A1', 'PARD3']
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.21831692534960395	1.4096714847614737	1.0	66.62	['MAP2K2', 'PPARD', 'KRAS', 'CCND1', 'NRAS', 'PIK3CB', 'RPS6KB1', 'NFKB1', 'CHUK', 'SOS1', 'LEF1', 'PML', 'TCF7L1', 'RELA', 'PIK3CD', 'MYC', 'KIT', 'PIK3CA', 'SOS2', 'PIM2', 'AKT1', 'RPS6KB2', 'RARA', 'GRB2', 'RAF1', 'TCF7L2', 'MTOR', 'IKBKB', 'PIK3CG', 'PIK3R1', 'IKBKG', 'TCF7', 'PIK3R2', 'STAT3', 'RUNX1', 'HRAS', 'BRAF', 'ARAF', 'MAPK1', 'CEBPA', 'BAD', 'JUP', 'CCNA1', 'AKT3', 'FLT3', 'PIK3R3', 'MAP2K1']
KEGG_MTOR_SIGNALING_PATHWAY	1	0.21645332702278253	1.4058203283278943	1.0	36.97	['RPS6', 'TSC2', 'VEGFB', 'RPS6KA1', 'PIK3CB', 'RPS6KB1', 'EIF4E', 'MLST8', 'PDPK1', 'RPTOR', 'PRKAA1', 'PIK3CD', 'ULK1', 'TSC1', 'AKT1', 'STK11', 'RPS6KB2', 'STRADA', 'MTOR', 'PIK3R1', 'PIK3R2', 'RICTOR', 'BRAF', 'HIF1A', 'ULK3', 'MAPK1', 'RPS6KA6']
KEGG_MELANOMA	1	0.19740057954340756	-1.3937781403341223	1.0	42.31	['CCND1', 'HGF', 'E2F1', 'PDGFRB', 'FGF18', 'FGF11', 'MITF', 'FGF13', 'PTEN', 'CDKN1A', 'MAPK3', 'E2F2', 'PIK3CA', 'FGF10', 'PIK3R5', 'IGF1', 'FGFR1', 'FGF2', 'PDGFC', 'PDGFD', 'PIK3CG', 'MET', 'CDKN2A', 'AKT2', 'ARAF', 'PDGFB', 'PDGFRA', 'FGF12', 'FGF14', 'FGF16', 'AKT3', 'FGF7', 'PIK3R3', 'MAP2K1']
KEGG_ECM_RECEPTOR_INTERACTION	1	0.1746624229813737	-1.4250988806784206	1.0	6.87	['LAMA2', 'COL3A1', 'ITGA11', 'COL6A2', 'COL6A1', 'COL6A6', 'COL6A3', 'COMP', 'ITGA8', 'THBS2', 'COL5A1', 'COL1A1', 'COL1A2', 'LAMB1', 'COL5A2', 'FN1']
KEGG_ABC_TRANSPORTERS	1	0.17147340910696243	-1.433668553141193	1.0	68.74	['ABCB10', 'TAP2', 'ABCA10', 'ABCB7', 'ABCB6', 'ABCD4', 'ABCA2', 'ABCA6', 'ABCG2', 'ABCA5', 'ABCA1', 'ABCC8', 'ABCA4', 'ABCA9', 'ABCA3', 'ABCA8', 'ABCB8', 'ABCC4', 'ABCC11', 'ABCC9', 'ABCC6', 'ABCA7', 'ABCD1', 'ABCA12', 'ABCD2', 'ABCC1', 'ABCG1', 'TAP1', 'ABCC5', 'ABCC3', 'ABCC2', 'ABCC12']
