pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	0.23547525648762827	-1.3709084423958082	1.0	55.62	['ST3GAL5', 'ST6GALNAC3', 'GLB1', 'B3GALT4', 'B4GALNT1', 'ST3GAL2', 'ST6GALNAC6', 'HEXB', 'HEXA', 'ST3GAL1', 'ST6GALNAC5', 'ST6GALNAC4']
KEGG_COLORECTAL_CANCER	1	0.22922333897939914	1.362959356954543	1.0	71.4	['SMAD2', 'KRAS', 'CCND1', 'PIK3CB', 'RHOA', 'MAPK9', 'APC', 'MAPK10', 'AXIN1', 'APPL1', 'MAPK8', 'TGFBR1', 'LEF1', 'MSH3', 'SMAD4', 'MAPK3', 'PIK3CD', 'JUN', 'CYCS', 'PIK3CA', 'RALGDS', 'AKT1', 'RAC3', 'TGFB2', 'RAF1', 'BAX', 'TCF7L2', 'TP53', 'BCL2', 'PIK3CG', 'PIK3R1', 'MLH1', 'CASP3', 'TCF7', 'PIK3R2', 'TGFB3', 'TGFB1', 'AKT2', 'CTNNB1', 'BRAF', 'RAC1', 'ARAF', 'MAPK1', 'RAC2', 'BAD', 'MSH2', 'GSK3B', 'MSH6', 'AKT3', 'CASP9', 'PIK3R3', 'MAP2K1']
KEGG_MTOR_SIGNALING_PATHWAY	1	0.22616663805681916	1.361243713180343	1.0	59.81	['RPS6', 'TSC2', 'PIK3CB', 'RPS6KA1', 'VEGFA', 'VEGFB', 'RPS6KB1', 'EIF4E', 'MLST8', 'ULK2', 'PDPK1', 'RPTOR', 'PRKAA1', 'MAPK3', 'PIK3CD', 'CAB39', 'TSC1', 'PGF', 'PIK3CA', 'AKT1', 'STK11', 'RPS6KB2', 'STRADA', 'RPS6KA3', 'MTOR', 'PIK3CG', 'PIK3R1', 'PIK3R2', 'RICTOR', 'AKT2', 'BRAF', 'HIF1A', 'MAPK1', 'ULK3', 'EIF4B', 'AKT3', 'RPS6KA6', 'EIF4EBP1']
KEGG_TRYPTOPHAN_METABOLISM	1	0.22080325362320116	-1.3901078053512745	1.0	72.67	['WARS2', 'OGDH', 'ECHS1', 'GCDH', 'HADH', 'ACMSD', 'HADHA', 'MAOB', 'AFMID', 'INMT', 'IL4I1', 'ALDH3A2', 'TPH1', 'MAOA', 'KMO', 'CAT', 'ALDH2', 'ALDH1B1', 'HAAO', 'AOC1', 'AADAT', 'IDO1', 'AOX1', 'ALDH9A1', 'ACAT2', 'KYNU', 'CYP1B1', 'EHHADH', 'TDO2']
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.2051145019740795	1.3960116070548938	1.0	27.81	['TIAM1', 'ABI2', 'SLC9A1', 'PIK3CB', 'SSH3', 'ITGA9', 'ARHGEF7', 'ENAH', 'TIAM2', 'ITGA2', 'PAK6', 'ROCK1', 'ARHGAP35', 'ACTG1', 'VAV3', 'PAK4', 'PIK3CD', 'VAV2', 'EGFR', 'CRK', 'PPP1CB', 'WASL', 'IQGAP2', 'CHRM3', 'ACTN1', 'DOCK1', 'PIP5K1A', 'ITGA4', 'PTK2', 'ITGB8', 'FGFR2', 'WASF2', 'ITGA10', 'ITGA3', 'CFL2', 'CRKL', 'RAF1', 'PAK5', 'PIP4K2B', 'LIMK2', 'FGF1', 'PDGFD', 'F2R', 'PIK3R1', 'SSH2', 'PIP4K2C', 'CYFIP1', 'BAIAP2', 'PIK3R2', 'MAP2K1', 'PDGFA', 'PIK3CG', 'DIAPH1', 'PAK3', 'BRAF', 'CSK', 'LIMK1', 'MAPK1', 'ARAF', 'CYFIP2', 'ITGA6', 'ARHGEF12', 'MYLK', 'PPP1R12A', 'EZR', 'IQGAP1', 'ITGB4']
KEGG_PROPANOATE_METABOLISM	1	0.1998140554501825	-1.4178395586354635	1.0	17.52	['LDHA', 'LDHC', 'ACACA', 'PCCB', 'ACSS3', 'ALDH1B1', 'SUCLG2', 'HIBCH', 'HADHA', 'MCEE', 'ALDH3A2', 'SUCLG2P2']
KEGG_NITROGEN_METABOLISM	1	0.19107682697717887	1.4277730295011362	1.0	61.03	['GLUL', 'CA2', 'CA5B', 'GLUD1', 'AMT', 'CA12', 'ASNS', 'CA3', 'CA9', 'CPS1', 'CA13', 'GLS', 'GLUD2', 'CA8', 'GLS2', 'CTH']
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.18841753646822626	1.4259843763756488	1.0	33.21	['CACNA1C', 'ITGB6', 'ITGA9', 'DSG2', 'ITGA2', 'LEF1', 'ACTG1', 'DSP', 'CACNA2D2', 'ACTN1', 'ITGA4', 'ITGB8', 'ATP2A2', 'ITGA10', 'ITGA3', 'DAG1', 'CACNG4', 'TCF7L2', 'TCF7', 'CACNA1D', 'CTNNB1', 'ITGA6', 'JUP', 'SGCG', 'CACNB3', 'DSC2', 'CACNA2D1', 'CTNNA1', 'PKP2', 'ITGB4']
KEGG_FOCAL_ADHESION	1	0.18825367254298533	-1.4420389611309423	1.0	9.32	['RAPGEF1', 'LAMA2', 'PRKCA', 'HGF', 'PDGFRB', 'COL1A2', 'LAMB1', 'VEGFD', 'COL6A2', 'MYL9', 'ITGA8', 'COL5A1', 'PIK3R5', 'IGF1', 'ITGA11', 'PRKCB', 'COL6A1', 'VEGFC', 'COL6A3', 'MET', 'COMP', 'THBS2', 'COL1A1', 'COL5A2', 'FLNC', 'PDGFRA', 'COL6A6', 'COL3A1', 'VCL', 'SHC3', 'CCND2', 'PARVG', 'FLT4', 'FN1']
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.18616104102884876	-1.4395585001205768	1.0	12.3	['ADCY4', 'CCL2', 'GNG8', 'CCR4', 'CCR8', 'CXCL10', 'CXCR3', 'GNGT2', 'DOCK2', 'CCR7', 'CXCL14', 'CXCL9', 'CCL4', 'CCL3L3', 'ITK', 'PIK3R5', 'RASGRP2', 'PRKCB', 'CCL4L2', 'XCL2', 'CXCL8', 'CCL18', 'CCL23', 'WAS', 'CXCL12', 'ADCY5', 'CCL3', 'CCR2', 'CCR10', 'XCR1', 'SHC3', 'CCL17', 'CCL14', 'CXCL2', 'CXCL11', 'CCL21', 'CCL19']
