pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	1	0.24993286803768924	-1.4515454700946127	1.0	61.36	['JDP2', 'RUNX1T1', 'SIRT2', 'CCDC85B', 'FLCN', 'SORT1', 'MIR27B', 'ARNTL', 'RORA', 'IL6', 'ADIPOQ', 'LRP3', 'GPS2', 'FOXO1', 'MIR27A', 'ENPP1', 'YAP1', 'TNF', 'ID4', 'ZFP36L2', 'MIR548D1', 'INSIG1', 'MMP11', 'TRIB2', 'DDIT3', 'WNT10B', 'FERMT2', 'WNT5A', 'BBS12', 'E2F1', 'TGFB1I1', 'TGFB1', 'TRIO', 'JAG1', 'SMAD3', 'GPER1', 'C1QL4', 'ZFPM2', 'SOD2', 'GATA2']
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS	1	0.24977702665446963	-1.452100622312423	1.0	60.52	['CXCL17', 'PLA2G7', 'SERPINE1', 'CXCL10', 'S100A7', 'CXCL12', 'CCR1', 'CCL5', 'CCR2', 'AIF1', 'CX3CR1', 'HMGB1', 'DEFB124', 'ANO6', 'MOSPD2', 'LGMN']
GOBP_MICROGLIAL_CELL_MEDIATED_CYTOTOXICITY	1	0.24971879212988302	-1.452543031067875	1.0	48.69	['TYROBP', 'ITGAM', 'CX3CR1', 'SPI1', 'STAP1']
GOBP_SYNAPTIC_VESICLE_CLUSTERING	1	0.24956925969658444	-1.4524841958071248	1.0	6.71	['BRSK2', 'PCDH17', 'SYN1', 'SYNDIG1', 'CDH2']
GOBP_RENAL_PROTEIN_ABSORPTION	1	0.24952686055433004	-1.45291223648253	1.0	46.89	['EDNRA', 'ADIPOQ', 'GAS6', 'GSN', 'EDNRB']
GOBP_REGULATION_OF_AUTOPHAGOSOME_MATURATION	1	0.2493944471109135	1.4020800149838542	1.0	23.28	['PHF23', 'ATG5', 'CLN3', 'TMEM39A', 'RUBCN', 'CLEC16A', 'UBQLN4', 'SMCR8']
GOBP_FIBROBLAST_APOPTOTIC_PROCESS	1	0.24936125136299286	1.4019550817899167	1.0	59.84	['PRDM11', 'IER3IP1', 'PIK3CA', 'CUL3', 'BAK1', 'TP53', 'STK17B', 'CFDP1', 'BID', 'MYC', 'TP63', 'GAS6', 'XRCC2', 'CHD8', 'SFRP1', 'STK17A', 'BCL2L11', 'API5']
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT	1	0.24935919293661538	1.4017991842208184	1.0	62.07	['SOX9', 'TWSG1', 'SNAI2', 'PLXNA1', 'TGFB3', 'CLCN2', 'CDC42', 'RAB26', 'WLS', 'IGSF3', 'EGFR', 'PLXND1', 'FOXC1', 'NFIB', 'INSR', 'BMP7', 'SRP54', 'TGFB2', 'BTBD7', 'DAG1', 'LAMA1', 'FGFR2', 'TFCP2L1', 'TGFB1', 'LAMA5', 'POLB', 'NKX3-1', 'NRP1', 'NTN4', 'SOX10', 'SEMA3C', 'ESRP2', 'PDGFA']
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	1	0.2488428926718161	1.4027583493039248	1.0	48.46	['SOX9', 'SCYL2', 'CCDC88C', 'NPHP3', 'CSNK1A1', 'MDK', 'AMFR', 'TLE4', 'G3BP1', 'LIMD1', 'TLE3', 'CHD8', 'SIAH2', 'TPBG', 'MLLT3', 'DKK3', 'CTNND1', 'DAB2IP', 'SOSTDC1', 'GSK3A', 'INVS', 'TMEM170B', 'HDAC1', 'LZTS2', 'NPHP4', 'MAD2L2', 'ROR2', 'CSNK1A1L', 'STK11', 'FERMT1', 'FUZ', 'UBAC2', 'PTPRU', 'CYLD', 'SDHAF2', 'RUVBL2', 'EMD', 'AXIN1', 'WNT5A', 'GLI3', 'OTUD5', 'FZD6', 'IGFBP2', 'STK4', 'CBY1', 'LMBR1L', 'LATS1', 'DRAXIN', 'WNT11', 'GSK3B', 'SFRP1', 'FZD4', 'CTNNB1', 'AMER1', 'FZD1', 'LRP4', 'ANKRD6', 'NKD2', 'SLC9A3R1', 'CTNNBIP1', 'FRZB', 'SOX13', 'STK3', 'SOX10', 'WWTR1', 'CAV1', 'PFDN5', 'ZNRF3', 'MCC', 'FRMD8', 'APC', 'TLE6']
GOBP_CARDIAC_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	1	0.24869241593066801	-1.454118396900569	1.0	57.99	['VEGFA', 'GPER1', 'NOTCH1', 'MIR145', 'GATA6', 'MESP1', 'SRF', 'HEY2']
