pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS	1	0.24949271865525702	-1.425520609787921	1.0	47.94	['TYRP1', 'PCCA', 'THNSL2', 'PCK1', 'PCK2', 'CRAT', 'ACADS', 'ACOT4', 'PCCB', 'ACSM1', 'MCEE']
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA1_PRODUCTION	1	0.24929818592928343	-1.4258666581628674	1.0	24.69	['TSKU', 'FURIN', 'NRROS', 'TYROBP', 'GATA6', 'SERPINB7', 'LUM', 'COL3A1']
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING	1	0.24922162592953284	1.4191930027814808	1.0	14.31	['TOPBP1', 'BRCC3', 'CDK5RAP3', 'DONSON', 'BRSK1', 'ATM', 'RINT1', 'TAOK3', 'MRE11', 'FZR1', 'TRIM39']
GOBP_METENCEPHALON_DEVELOPMENT	1	0.24922018102053403	1.419379967467608	1.0	32.16	['KAT2A', 'PDSS2', 'RPGRIP1L', 'OPHN1', 'SMO', 'XRCC1', 'MDK', 'NLGN4X', 'LDB1', 'CDK5', 'ATF2', 'GART', 'WHRN', 'MECP2', 'IGF1R', 'TRNP1', 'HSPA5', 'TTLL1', 'SCRIB', 'SEMA4C', 'CRKL', 'TP53', 'COQ8B', 'NCSTN', 'TTBK2', 'EZH2', 'PTBP2', 'ATRN', 'HAP1', 'TTC21B', 'MT-CO1', 'ABAT', 'PSEN1', 'ARCN1', 'HNRNPD', 'ATP7A', 'SPTBN2', 'CNTN1', 'SEC24B']
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	1	0.24920148265205588	-1.4261275625502645	1.0	26.55	['HPSE', 'CHSY3', 'PDGFB', 'IL15', 'GNS', 'PDGFRB', 'XYLT1', 'CHST12', 'FGF2', 'HAS1', 'NDNF', 'DSEL', 'EGFLAM', 'DSE', 'ITIH2', 'ST3GAL4', 'ST3GAL1', 'HYAL1', 'HAS2', 'UST', 'AP2A1', 'BGN', 'DCN', 'ST3GAL2', 'EDNRB', 'TNFAIP6', 'SPOCK2', 'NAGLU', 'HS3ST3A1', 'CHIT1', 'HS3ST2', 'FUCA1', 'CHST1', 'CSGALNACT1', 'EDNRA', 'CHST13', 'CHST7', 'ITIH4', 'ST3GAL6', 'LYVE1', 'CHST6', 'IL1B', 'B4GAT1']
GOBP_REGULATION_OF_BILE_ACID_BIOSYNTHETIC_PROCESS	1	0.24832287146814913	-1.4271040985373424	1.0	41.49	['PROX1', 'NR1D1', 'FGFR4', 'CES1', 'STARD4', 'MALRD1']
GOBP_REGULATION_OF_PROTEIN_MONOUBIQUITINATION	1	0.2481769721995195	1.420543937615188	1.0	20.14	['FANCM', 'PDCD6', 'BIRC2', 'WDR48']
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	1	0.24734551132112093	-1.4282374200670707	1.0	19.73	['DEFB1', 'TNFSF8', 'IL6', 'ANG', 'TNF', 'C5AR1', 'FGR', 'FCN2', 'LTA', 'CTSG', 'RNASE6', 'MPEG1', 'GBP4', 'HAVCR2', 'CAMP', 'SSC5D', 'RNASE2', 'LBP', 'HLA-E', 'TRAV27', 'LYZ']
GOBP_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	0.2467941101504463	1.4220857967293254	1.0	49.35	['VSNL1', 'NDFIP2', 'RANGAP1', 'NF1', 'SUFU', 'SP100', 'OS9', 'UBE2J1', 'GHRL', 'RAB11FIP1', 'KCNE1', 'CDK5', 'YOD1', 'DERL2', 'RAB11FIP3', 'GOPC', 'FAM3D', 'SERGEF', 'DRD2', 'SRCIN1', 'RHBDF2', 'FKBP1B', 'FERMT1', 'WWP2', 'UBAC2', 'HMGCR', 'RHBDF1', 'SVIP', 'CSK', 'KLF7', 'GDI1', 'ERP29', 'LYPLA1', 'PFKL', 'IL12A', 'SNX12', 'REST', 'UFM1', 'SFRP1', 'CD200', 'ABCC8', 'HADH', 'IRS1', 'CD36', 'DERL3', 'TERF1', 'ADTRP', 'SNX3', 'DNAJA1', 'BARD1', 'PPP3CA', 'RAB11FIP5', 'CYP51A1', 'ERLEC1', 'LMAN1', 'F2R', 'RSC1A1', 'ITGB1BP1', 'PKDCC', 'ACVR1C', 'TXN', 'PSMD9', 'C11orf65', 'ANGPT1', 'BMP8A']
GOBP_SIGNAL_RELEASE	1	0.2467912317399666	-1.42910281011427	1.0	55.23	['MIDN', 'TACR2', 'LRRK2', 'CDK16', 'IL6', 'GJA1', 'SREBF1', 'TRPM2', 'SCT', 'DOC2B', 'SPP1', 'PLA2G3', 'SNAPIN', 'SNAP25', 'ABCC4', 'GLUL', 'VAMP2', 'PTPN11', 'CNR1', 'RAB8B', 'ACSL4', 'BLK', 'PDZD11', 'GIPC1', 'CD38', 'CAMK2G', 'SNX19', 'UCN', 'PFKM', 'SYTL4', 'PARK7', 'FFAR2', 'RAB3A', 'SOX11', 'EDNRB', 'FZD4', 'RAB1A', 'PLA2G10', 'SYT13', 'PPP3CB', 'SLC16A2', 'NRXN2', 'SIRT4', 'LIF', 'SIDT2', 'CCL5', 'IFNG', 'PLA2G4A', 'AGT', 'STX1B', 'SNX6', 'SYT15', 'VGF', 'JAK2', 'SYP', 'ANXA1', 'IL11', 'ASIC1', 'SYN1', 'GIPR', 'KCNQ1', 'SPINK1', 'ABCA12', 'CPT1A', 'ADORA2A', 'LIN7B', 'TNFSF11', 'DAB2', 'RAP1A', 'SUCNR1', 'UCP2', 'RASL10B', 'P2RX1', 'OSM', 'TCF7L2', 'LILRB1', 'C1QTNF1', 'EXOC3L1', 'SYK', 'NR4A1', 'MAP2K6', 'ADCY1', 'KCNMB4', 'CSPG5', 'ADCYAP1', 'DTNBP1', 'AGTR1', 'C1QTNF3', 'CHRNA6', 'TCIRG1', 'NMB', 'INHBA', 'OXCT1', 'ADCY5', 'PPARG', 'PINK1', 'PTPRN', 'GRM4', 'PAX8', 'LRP5', 'DVL1', 'ADRA2B', 'STX2', 'INHBB', 'P2RY1', 'C1QTNF12', 'LIN7A', 'STX11', 'PRRT2', 'TACR1', 'PSMD9', 'SNCA', 'GHRH', 'GPR68', 'CRY2', 'ACVR2B', 'ATP2A2', 'CXCL12', 'VAMP7', 'EDN1', 'PNKD', 'SNCG', 'RAP1B', 'ADIPOQ', 'SLC30A1', 'BRSK2', 'EFNA5', 'SLC6A4', 'TNF', 'GDF9', 'SELENOT', 'ADM', 'KISS1', 'MAOB', 'IL1RN', 'SNCAIP', 'HNF1A', 'LEP', 'BAD', 'RETN', 'FKBP1B', 'PRKCB', 'PCSK5', 'KCNJ11', 'LTBP4', 'RIMS4', 'NKX6-1', 'KLF7', 'PCLO', 'MEF2C', 'RIMS2', 'SYT11', 'STX4', 'GPLD1', 'MCU', 'IRS2', 'PIM3', 'IL1B', 'MPC2', 'STXBP1', 'CALM3', 'GAL', 'RAPGEF4', 'SYT17', 'CGA', 'SYN2', 'ARNTL', 'NDUFAF2', 'PCK2', 'RIMS1', 'HMGN3', 'SLC16A1', 'POMC', 'SLC8B1', 'AACS', 'MYRIP', 'PFN2', 'KCNB1', 'ADORA2B', 'ABCA1', 'RBP4', 'BTK', 'GLUD1', 'CARTPT', 'ADORA1', 'TRH', 'RPH3AL', 'LYN', 'BMP6', 'MCTP1', 'ADRA2C', 'RAF1', 'VAMP3', 'FGB', 'PFKL', 'CPE', 'FGG', 'PTPRN2', 'SLC30A8', 'CRHR1', 'PLA2G6', 'SELENOM', 'CYB5R4', 'SYT1', 'HLA-DRB1', 'ADORA3', 'GPER1', 'NR1D1', 'ADRA2A', 'NNAT', 'HCAR2', 'UNC13B', 'FFAR4', 'CRHBP', 'F2R', 'ACVR1C', 'SRI', 'TFR2', 'FOXD1', 'JAGN1']
