pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	5	7.764592057582392e-06	0.5555555555555556	0.1984126984126984	{'HNRNPU;DHX15;RBM8A;PRPF40A;AQR;PRPF19;RBMX;DDX46;THOC2;RBM25;CDC40;U2AF2;HNRNPM;SRSF6;PRPF4;SRSF10;EIF4A3;PRPF38A;PRPF38B;SRSF8;PLRG1;U2SURP;SF3B1;CHERP;XAB2', 'DHX15;RBM8A;PRPF40A;AQR;PRPF31;PRPF19;RBMX;HNRNPK;ACIN1;DDX46;THOC2;PUF60;CDC40;U2AF2;PRPF4;SRSF10;PRPF38A;CHERP;PLRG1;U2SURP;DHX8;SF3B1;SNRNP200;HNRNPU;XAB2', 'DHX15;RBM8A;PRPF40A;AQR;PRPF31;PRPF19;RBMX;ACIN1;DDX46;THOC2;CDC40;U2AF2;HNRNPM;PRPF4;SRSF10;EIF4A3;XAB2;PRPF38A;CHERP;PRPF38B;SRSF8;PLRG1;U2SURP;DHX8;SF3B1;SNRNP200;HNRNPU;SRSF6', 'DHX15;RBM8A;PRPF40A;AQR;PRPF31;PRPF19;RBMX;ACIN1;DDX46;THOC2;CDC40;U2AF2;PRPF4;SRSF10;EIF4A3;CDC5L;XAB2;PRPF38A;CHERP;SRSF8;DHX8;SF3B1;SNRNP200;HNRNPU;SRSF6', 'HNRNPU;DHX15;RBM8A;PRPF40A;TCERG1;AQR;PRPF19;RBMX;DDX46;THOC2;RBM25;CDC40;U2AF2;PRPF4;SRSF10;EIF4A3;PRPF38A;PRPF38B;PLRG1;U2SURP;SF3B1;CHERP'}
KEGG_RIBOSOME	1	0.00028418423427216123	0.1111111111111111	0.18823529411764706	{'RPL32;RPS6;RPL17;RPL37;RPS8;RPL6;RPL5;RPL31;RPS3;RPS4X;RPS19;RPL13A;RPLP0;RPL18;RPL10A;RPL12'}
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	0.00953420134304005	0.1111111111111111	0.13043478260869565	{'P2RX1;TACR2;HTR1D;NPFFR2;GABRB3;CHRNA10;THRA;OPRD1;HTR7;P2RY8;PTH2R;CHRNA6;GRID1;CHRNB1;ADRA2B;S1PR4;EDNRA;PTGDR'}
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.00953420134304005	0.1111111111111111	0.18333333333333332	{'UQCRC2;CACNA2D4;UQCRB;CACNG1;UQCR11;ATP1A3;ATP1B2;ATP1B3;COX8A;TNNI3;CACNG6'}
KEGG_PROPANOATE_METABOLISM	3	0.01044803219506713	0.3333333333333333	0.25555555555555554	{'SUCLA2;MLYCD;EHHADH;ALDH6A1;ACADM;ALDH9A1;PCCA;HADHA', 'SUCLG2;SUCLA2;MLYCD;ALDH6A1;ACADM;ALDH9A1;PCCA', 'SUCLG2;SUCLA2;MLYCD;ALDH6A1;LDHC;ACADM;ALDH9A1;PCCA'}
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.01062380499116829	0.1111111111111111	0.13385826771653545	{'PPP3CB;PLN;PPP3R1;P2RX2;CAMK4;ITPKA;F2R;PHKG1;CD38;CACNA1H;PLCD3;PRKCA;PRKACA;EGFR;EDNRA;PDGFRA;CALML6'}
KEGG_FATTY_ACID_METABOLISM	1	0.018588355643304407	0.1111111111111111	0.2222222222222222	{'ACOX1;ALDH9A1;ACADS;EHHADH;ACADM;ADH5;HADHB;HADHA'}
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	2	0.021038846381598683	0.2222222222222222	0.10837438423645321	{'CCL11;MET;CCL3L3;CCL3;CCL17;IL20RB;CXCL9;TNFRSF9;CXCL11;IL1R2;FLT4;TSLP;TNFRSF21;TNFRSF11B;IFNG;IL1B;PLEKHO2;VEGFD;CCL19;CCR7;PDGFB;TNFSF13B', 'CCL11;CCL7;CXCL2;CCL4;CD40;MET;IL2RA;CSF2RA;TNFSF11;IL1R2;CXCL8;PDGFB;FLT4;TSLP;TNFSF12;CCL20;IL10RA;TPO;IFNG;CCR7;CXCL3;CXCL13'}
KEGG_CITRATE_CYCLE_TCA_CYCLE	3	0.021322548358102503	0.3333333333333333	0.27586206896551724	{'DLD;SUCLG2;SUCLA2;SDHA;ACO2;OGDH;SDHD;CS', 'DLD;SUCLG2;PDHB;SUCLA2;SDHA;ACO2;OGDH;SDHD;CS;PCK2', 'DLD;SUCLA2;ACO2;OGDH;SDHD;CS'}
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	3	0.021538427532833918	0.3333333333333333	0.2222222222222222	{'DLD;HMGCL;ALDH6A1;ACADM;ALDH9A1;HIBADH;HADHB;PCCA', 'DLD;HMGCL;OXCT1;ACADS;EHHADH;ALDH6A1;ACADM;ALDH9A1;HIBADH;HADHB;PCCA;HADHA'}
KEGG_ADHERENS_JUNCTION	5	0.02570646678949884	0.5555555555555556	0.16285714285714287	{'CTNNB1;CTNND1;BAIAP2;NECTIN1;IGF1R;MAP3K7;AFDN;NECTIN4;EP300;CDH1;ERBB2', 'CTNNB1;CTNND1;BAIAP2;NECTIN1;MAP3K7;AFDN;NECTIN4;EP300;CDH1;ERBB2', 'CTNNB1;CTNND1;BAIAP2;NECTIN1;IGF1R;MAP3K7;AFDN;NECTIN4;EP300;CDH1;SRC;ERBB2', 'CTNNB1;CTNND1;BAIAP2;NECTIN1;IGF1R;MAP3K7;AFDN;NECTIN4;EP300;CDH1;WASL;ERBB2'}
