pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.24795279621157693	1.3758984674034607	0.1111111111111111	80.29	['PLA2G4F', 'ARPC5L', 'DNM1L', 'SPHK1', 'WASF2', 'DOCK2', 'CDC42', 'VASP', 'PTPRC', 'RPS6KB2', 'VAV2', 'PRKCD', 'PIK3CB', 'PLA2G4B', 'VAV1', 'MAPK1', 'AKT2', 'CRKL', 'INPP5D', 'DNM3', 'PLCG1', 'DNM2', 'ASAP2', 'PLA2G4A', 'MARCKSL1', 'FCGR1A', 'WASF3', 'MAP2K1', 'ASAP1', 'ARPC1A', 'ARPC5', 'PIK3CA', 'CRK', 'PIP4K2B', 'PRKCE', 'GSN', 'MYO10', 'MARCKS', 'SYK', 'LIMK1', 'CFL2', 'FCGR2B', 'ARF6', 'PLPP3', 'PLD2', 'PIK3R5', 'VAV3', 'LAT', 'RAC2', 'PIK3R3', 'WASL', 'MAPK3', 'PLD1', 'PRKCB', 'WASF1', 'ARPC1B', 'PRKCA', 'FCGR2C', 'PLPP1', 'PIP5K1C', 'AKT3', 'PIK3CG', 'LIMK2', 'PLCG2', 'ASAP3', 'PIKFYVE', 'RPS6KB1', 'PIK3R1', 'WAS', 'PIK3CD', 'CFL1', 'GAB2', 'LYN', 'PIP5K1A', 'RAF1', 'PAK1', 'FCGR3A', 'PLA2G6', 'ARPC4', 'RAC1', 'ARPC3', 'PIP5K1B', 'SPHK2', 'PLPP2', 'AKT1', 'PIK3R2']
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.2418773207654956	1.3930034886761997	0.1111111111111111	66.91	['BRAF', 'NRAS', 'PIK3R1', 'STAT3', 'MTOR', 'PIK3CA', 'RELA', 'LEF1', 'PIK3CD', 'RUNX1', 'CEBPA', 'TCF7L1', 'RPS6KB2', 'SOS1', 'PIK3R3', 'MAP2K2', 'BAD', 'CHUK', 'TCF7', 'PIK3CB', 'CCNA1', 'FLT3', 'MAPK1', 'KRAS', 'JUP', 'TCF7L2', 'CCND1', 'SOS2', 'PIM2', 'IKBKB', 'NFKB1', 'RAF1', 'ARAF', 'PML', 'PPARD', 'MYC', 'AKT3', 'IKBKG', 'PIK3CG', 'KIT', 'HRAS', 'GRB2', 'RARA', 'RPS6KB1', 'AKT1', 'PIK3R2', 'MAP2K1']
KEGG_P53_SIGNALING_PATHWAY	2	0.23849012285199306	1.42225032379748	0.2222222222222222	47.075	['CASP8', 'ATR', 'PPM1D', 'CHEK1', 'PIDD1', 'ZMAT3', 'TP53AIP1', 'CD82', 'TP53I3', 'BAX', 'CCNG2', 'CCND3', 'MDM4', 'CCNE2', 'CDK2', 'DDB2', 'MDM2', 'CASP9', 'ADGRB1', 'TNFRSF10B', 'TP73', 'FAS', 'STEAP3', 'TP53', 'SERPINB5', 'SHISA5', 'CHEK2', 'SESN3', 'BBC3', 'APAF1', 'SIAH1', 'CDK4', 'SFN', 'RCHY1', 'CCNG1', 'BID', 'TSC2', 'ATM', 'PERP', 'EI24', 'CCNB1', 'CASP3', 'CDK6']
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.2371119034959782	1.457474940954149	0.1111111111111111	63.0	['FUT9', 'B3GNT3', 'FUT6', 'B3GNT4', 'FUT1', 'GCNT2', 'FUT2', 'ST3GAL3', 'FUT7', 'ST3GAL4', 'B3GALT5', 'ABO', 'B4GALT4', 'B3GNT5', 'B3GNT2', 'ST8SIA1', 'B4GALT3', 'FUT4', 'B4GALT1', 'ST3GAL6', 'B4GAT1']
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0.2363033596762201	1.4679970867326706	0.1111111111111111	16.01	['UGT1A4', 'AKR1B1', 'UGT1A5', 'UGT1A8', 'UGT1A9', 'UGT1A3', 'UGT2B28', 'UGP2', 'UGT1A10']
KEGG_MTOR_SIGNALING_PATHWAY	1	0.23370057534581956	1.4276248504585503	0.1111111111111111	36.97	['BRAF', 'PIK3R1', 'MTOR', 'TSC1', 'PIK3CD', 'HIF1A', 'VEGFB', 'RPS6KB2', 'PDPK1', 'RPS6KA6', 'RPTOR', 'PIK3CB', 'STK11', 'MAPK1', 'ULK1', 'RPS6', 'RICTOR', 'ULK3', 'STRADA', 'RPS6KA1', 'EIF4E', 'MLST8', 'PRKAA1', 'TSC2', 'RPS6KB1', 'AKT1', 'PIK3R2']
KEGG_COLORECTAL_CANCER	1	0.23352090432633865	1.378331310341625	0.1111111111111111	61.56	['BRAF', 'PIK3R1', 'RAC3', 'PIK3CA', 'SMAD2', 'LEF1', 'PIK3CD', 'MAPK9', 'TGFB3', 'BAX', 'RAC2', 'TCF7L1', 'PIK3R3', 'BAD', 'CASP9', 'TCF7', 'SMAD4', 'PIK3CB', 'MAPK8', 'RALGDS', 'MAPK1', 'KRAS', 'TCF7L2', 'APPL1', 'TGFB2', 'RAF1', 'TP53', 'AXIN1', 'MLH1', 'MSH3', 'MSH2', 'GSK3B', 'CTNNB1', 'BCL2', 'TGFB1', 'RAC1', 'MYC', 'TGFBR1', 'PIK3CG', 'APC', 'MAPK10', 'MSH6', 'CASP3', 'AKT1', 'PIK3R2', 'MAP2K1']
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	0.2333680313355154	1.4563578912973356	0.1111111111111111	42.47	['PRKAG1', 'ACE', 'TPM4', 'CACNA1F', 'LAMA2', 'TNNI3', 'TNF', 'ITGB7', 'ITGA6', 'CACNG1', 'ITGA2', 'ITGA11', 'CACNB3', 'TPM3', 'DES', 'ITGA1', 'CACNA2D4', 'SGCD', 'CACNA1D', 'TPM2', 'ITGA8', 'CACNA2D1', 'DAG1', 'ITGB3', 'CACNA2D3', 'SGCA', 'ITGA9', 'IGF1', 'ITGB8', 'CACNB1', 'SGCB', 'ITGB5', 'PRKAB1', 'ACTG1', 'ITGA5', 'DMD', 'CACNG6', 'ITGB1']
KEGG_GLYCEROLIPID_METABOLISM	1	0.23270133732357037	1.3964870585830844	0.1111111111111111	30.31	['DGKA', 'TKFC', 'AGPAT2', 'ALDH7A1', 'MBOAT1', 'DGAT1', 'MGLL', 'GPAT4', 'DGKE', 'GPAM', 'DGAT2', 'LPL', 'GK', 'LCLAT1', 'DGKH', 'AGK', 'MBOAT2', 'ALDH2', 'PLPP2', 'DGKQ']
KEGG_PEROXISOME	1	0.23186135107581696	1.4779166004491273	0.1111111111111111	16.09	['PECR', 'IDH1', 'CAT', 'HACL1', 'PXMP2', 'MLYCD', 'DDO', 'ACSL3', 'ABCD1', 'ACSL4', 'HMGCL', 'PEX19', 'MPV17L', 'PEX5', 'ACOX2', 'PEX11A', 'PEX3', 'GNPAT', 'EHHADH', 'SLC27A2', 'PEX2', 'ACOX1']
