pathway	freq	padj	stability	overlap	genes
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	7.843689685546912e-37	1.0	0.13093093093093094	['GMEB2', 'ARID1A', 'TCF20', 'ERCC6', 'ZNF48', 'ARID4B', 'SLC9A1', 'ATF6', 'RNF111', 'NEK4', 'SIN3A', 'SMARCC1', 'CCNT2', 'APP', 'KDM3A', 'TFAP2A', 'PBX1', 'CENPJ', 'TFAP2C', 'WWC1', 'NCOA6', 'RSF1', 'ERN1', 'NUP62', 'SF3B1', 'PAXIP1', 'IRX3', 'SENP1', 'EIF4ENIF1', 'EP300', 'NVL', 'TAF2', 'PRPF19', 'MYSM1', 'ZNF841', 'TRIM27', 'NCOA2', 'PRDM4', 'CASK', 'ZNF229', 'TFAM', 'ILF3', 'ZNF711', 'RBM23', 'PAXBP1', 'TET3', 'GRHL1', 'GRHL2', 'F2RL1', 'CDH1', 'CCNT1', 'MSH2', 'ZNF606', 'PCID2', 'RPS6KA1', 'CTNNB1', 'ZNF91', 'JMY', 'TET2', 'AHI1', 'ZNF43', 'GPBP1', 'ATAD2B', 'HNRNPD', 'EPC2', 'AGRN', 'PATZ1', 'CARF', 'MED1', 'SP1', 'BCLAF1', 'NUCKS1', 'SLF1', 'METTL16', 'SPDEF', 'CCAR1', 'BTRC', 'ACTR5', 'CHD8', 'ZNF780B', 'LDB1', 'EIF2AK3', 'ATF6B', 'ERCC1', 'ZNF197', 'FIZ1', 'PUM1', 'KMT2A', 'TOPORS', 'ZNF585B', 'CNOT6', 'NOLC1', 'CNOT1', 'RAI1', 'TCF3', 'ZNF827', 'LMX1B', 'ZNF33A', 'JUP', 'MEN1', 'ZNF496', 'PHIP', 'ZNF544', 'ZNF107', 'IFT74', 'ZNF609', 'ARID1B', 'CNOT9', 'ZFP62', 'TP53', 'EPCAM', 'SP3', 'ZBED4', 'ZFP90', 'ARID2', 'VDR', 'ETV6', 'OVOL2', 'ZNF484', 'ZNF721', 'CCAR2', 'MTF1', 'DKC1', 'GPBP1L1', 'POGZ', 'METTL3', 'ERBB2', 'PAN3', 'NIPBL', 'ZNF384', 'NFYA', 'ELF3', 'NKRF', 'XRCC5', 'NFRKB', 'CDK2', 'TRIM28', 'METTL14', 'RBMXL1', 'ZNF398', 'WDR75', 'ICE1', 'ZNF493', 'IGF1R', 'NUP98', 'RBBP8', 'MAML1', 'MYO6', 'NUDT21', 'PRDM2', 'ZNF814', 'ZNF24', 'DVL2', 'SCAF8', 'TCF12', 'ZNF770', 'NAT14', 'KMT5B', 'MRE11', 'PRDM10', 'CDK13', 'TRRAP', 'HNRNPU', 'MAP3K4', 'SALL2', 'DDX17', 'ZNF786', 'WRN', 'POT1', 'U2AF2', 'DHX9', 'SYNCRIP', 'CDK12', 'ATR', 'SEC14L2', 'GMEB1', 'CNOT6L', 'KDM5A', 'HDAC3', 'ZMIZ2', 'ZNF263', 'PBX2', 'TMF1', 'CEP290', 'MBTD1', 'ZNF782', 'ACTL6A', 'ZNF268', 'KMT2E', 'HDAC1', 'IRF6', 'PAN2', 'CNOT3', 'ZNF318', 'RBMX', 'NPAT', 'SMARCA5', 'WRAP53', 'MAPKAPK5', 'CTBP2', 'BPTF', 'CREB3L4', 'CHD6', 'CTCF', 'TCERG1', 'DHX36', 'BRD8', 'REL', 'ZNF292', 'KDM1A', 'EYA3', 'ZNF112', 'SOX10', 'RLF', 'DHX33', 'ZNF227', 'TP53BP1', 'PIK3R2']
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	2.142025129540063e-33	1.0	0.1312127236580517	['GMEB2', 'ARID1A', 'TCF20', 'ERCC6', 'ZNF48', 'ARID4B', 'SLC9A1', 'ATF6', 'RNF111', 'NEK4', 'SIN3A', 'SMARCC1', 'CCNT2', 'APP', 'KDM3A', 'TFAP2A', 'PBX1', 'CENPJ', 'TFAP2C', 'WWC1', 'NCOA6', 'RSF1', 'ERN1', 'NUP62', 'SF3B1', 'PAXIP1', 'IRX3', 'SENP1', 'EIF4ENIF1', 'EP300', 'TAF2', 'PRPF19', 'MYSM1', 'ZNF841', 'TRIM27', 'NCOA2', 'PRDM4', 'CASK', 'ZNF229', 'TFAM', 'ILF3', 'ZNF711', 'RBM23', 'PAXBP1', 'TET3', 'GRHL1', 'GRHL2', 'F2RL1', 'CDH1', 'CCNT1', 'ZNF606', 'PCID2', 'RPS6KA1', 'CTNNB1', 'ZNF91', 'JMY', 'TET2', 'AHI1', 'ZNF43', 'GPBP1', 'ATAD2B', 'HNRNPD', 'AGRN', 'PATZ1', 'CARF', 'MED1', 'SP1', 'BCLAF1', 'NUCKS1', 'METTL16', 'SPDEF', 'CCAR1', 'BTRC', 'ACTR5', 'CHD8', 'ZNF780B', 'LDB1', 'EIF2AK3', 'ATF6B', 'ERCC1', 'ZNF197', 'FIZ1', 'PUM1', 'KMT2A', 'TOPORS', 'ZNF585B', 'CNOT6', 'NOLC1', 'CNOT1', 'RAI1', 'TCF3', 'ZNF827', 'LMX1B', 'ZNF33A', 'JUP', 'MEN1', 'ZNF496', 'PHIP', 'ZNF544', 'ZNF107', 'IFT74', 'ZNF609', 'ARID1B', 'CNOT9', 'ZFP62', 'TP53', 'EPCAM', 'SP3', 'ZBED4', 'ZFP90', 'VDR', 'ETV6', 'OVOL2', 'ZNF484', 'ZNF721', 'CCAR2', 'MTF1', 'GPBP1L1', 'POGZ', 'METTL3', 'ERBB2', 'PAN3', 'NIPBL', 'ZNF384', 'NFYA', 'ELF3', 'NKRF', 'NFRKB', 'CDK2', 'TRIM28', 'METTL14', 'RBMXL1', 'ZNF398', 'WDR75', 'ICE1', 'ZNF493', 'NUP98', 'MAML1', 'MYO6', 'NUDT21', 'PRDM2', 'ZNF814', 'ZNF24', 'DVL2', 'SCAF8', 'TCF12', 'ZNF770', 'NAT14', 'PRDM10', 'CDK13', 'HNRNPU', 'SALL2', 'DDX17', 'ZNF786', 'U2AF2', 'DHX9', 'SYNCRIP', 'CDK12', 'SEC14L2', 'GMEB1', 'CNOT6L', 'KDM5A', 'HDAC3', 'ZMIZ2', 'ZNF263', 'PBX2', 'TMF1', 'CEP290', 'ZNF782', 'ACTL6A', 'ZNF268', 'KMT2E', 'HDAC1', 'IRF6', 'PAN2', 'CNOT3', 'ZNF318', 'RBMX', 'NPAT', 'SMARCA5', 'CTBP2', 'BPTF', 'CREB3L4', 'CHD6', 'CTCF', 'TCERG1', 'DHX36', 'BRD8', 'REL', 'ZNF292', 'KDM1A', 'ZNF112', 'SOX10', 'RLF', 'DHX33', 'ZNF227', 'TP53BP1', 'PIK3R2']
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	9.733924188415244e-30	1.0	0.12080141426045964	['GMEB2', 'ARID1A', 'TCF20', 'ERCC6', 'ZNF48', 'ARID4B', 'SLC9A1', 'ATF6', 'RNF111', 'NEK4', 'SIN3A', 'SMARCC1', 'CCNT2', 'APP', 'KDM3A', 'TFAP2A', 'PBX1', 'CENPJ', 'TFAP2C', 'WWC1', 'NCOA6', 'RSF1', 'PAXIP1', 'NUP62', 'SF3B1', 'IRX3', 'NVL', 'SENP1', 'EP300', 'TAF2', 'MYSM1', 'ZNF841', 'TRIM27', 'NCOA2', 'PRDM4', 'CASK', 'ZNF229', 'TFAM', 'ILF3', 'ZNF711', 'RBM23', 'PAXBP1', 'TET3', 'GRHL1', 'GRHL2', 'F2RL1', 'CDH1', 'CCNT1', 'ZNF606', 'PCID2', 'RPS6KA1', 'CTNNB1', 'ZNF91', 'JMY', 'TET2', 'AHI1', 'ZNF43', 'GPBP1', 'ATAD2B', 'HNRNPD', 'PTPN2', 'AGRN', 'PATZ1', 'CARF', 'MED1', 'SP1', 'BCLAF1', 'NUCKS1', 'SPDEF', 'KCTD13', 'BTRC', 'ACTR5', 'CCAR1', 'ZNF780B', 'LDB1', 'EIF2AK3', 'CHD8', 'ERCC1', 'ATF6B', 'ZNF197', 'FIZ1', 'KMT2A', 'TOPORS', 'ZNF585B', 'CNOT6', 'NOLC1', 'RAI1', 'TCF3', 'ZNF827', 'LMX1B', 'ZNF33A', 'JUP', 'CDH3', 'MEN1', 'ZNF496', 'PHIP', 'ZNF544', 'ZNF107', 'IFT74', 'ZNF609', 'ARID1B', 'CNOT9', 'ZFP62', 'TP53', 'EPCAM', 'LARP4B', 'SP3', 'ZBED4', 'ZFP90', 'VDR', 'ETV6', 'OVOL2', 'ZNF484', 'ZNF721', 'CCAR2', 'MTF1', 'DKC1', 'GPBP1L1', 'POGZ', 'METTL3', 'ERBB2', 'NIPBL', 'ZNF384', 'NFYA', 'ELF3', 'NKRF', 'XRCC5', 'NFRKB', 'NAT10', 'CDK2', 'TRIM28', 'ITGA2', 'METTL14', 'ZNF398', 'WDR75', 'ICE1', 'ZNF493', 'BRPF3', 'IGF1R', 'PASK', 'NUP98', 'MAML1', 'MYO6', 'PRDM2', 'POLDIP3', 'ZNF814', 'ZNF24', 'DVL2', 'SCAF8', 'TCF12', 'ZNF770', 'NAT14', 'PRDM10', 'CDK13', 'HNRNPU', 'MAP3K4', 'SALL2', 'DDX17', 'ZNF786', 'POT1', 'EIF4A3', 'DHX9', 'SYNCRIP', 'CDK12', 'ATR', 'SEC14L2', 'GMEB1', 'KDM5A', 'HDAC3', 'ZMIZ2', 'ZNF263', 'PBX2', 'TMF1', 'CEP290', 'ZNF782', 'ACTL6A', 'ZNF268', 'KMT2E', 'HDAC1', 'IRF6', 'ZNF318', 'RBMX', 'NPAT', 'AJUBA', 'SMARCA5', 'WRAP53', 'MAPKAPK5', 'CTBP2', 'BPTF', 'CREB3L4', 'CHD6', 'CTCF', 'TCERG1', 'DHX36', 'BRD8', 'REL', 'ZNF292', 'KDM1A', 'ZNF112', 'SOX10', 'RLF', 'DHX33', 'ZNF227', 'TP53BP1', 'PIK3R2']
GOBP_CHROMOSOME_ORGANIZATION	1	3.887251387269151e-29	1.0	0.15481651376146788	['ARID1A', 'PHF20', 'ARID4B', 'SIN3A', 'RBBP5', 'SMARCC1', 'NDC1', 'KDM3A', 'TFAP2C', 'RSF1', 'LIN54', 'NUP62', 'EP300', 'MYSM1', 'SMC5', 'TRIM27', 'WAPL', 'TET3', 'ASCC3', 'MSH2', 'PCID2', 'ZNF518A', 'CTNNB1', 'TET2', 'CDC23', 'CTR9', 'HNRNPD', 'EPC2', 'KDM3B', 'EMSY', 'ERCC3', 'TOP2B', 'CHMP4C', 'SENP6', 'NUCKS1', 'SLF1', 'LSM11', 'JARID2', 'CHD8', 'ACTR5', 'LDB1', 'ERCC1', 'TLK1', 'DCLRE1C', 'ESCO1', 'SUZ12', 'KMT2A', 'KANSL1', 'ZNF827', 'MEN1', 'KDM5B', 'PDS5B', 'ARID1B', 'KDM2A', 'TP53', 'BRD2', 'SPTY2D1', 'ARID2', 'HP1BP3', 'DKC1', 'L3MBTL2', 'POGZ', 'METTL3', 'PRMT5', 'CENPC', 'NIPBL', 'RFWD3', 'DNMT1', 'YTHDC1', 'XRCC5', 'TSPYL4', 'NFRKB', 'FANCD2', 'NAT10', 'DCLRE1A', 'CDK2', 'TRIM28', 'EXOSC10', 'SETD5', 'DNAJC9', 'BRPF3', 'PIBF1', 'KMT5B', 'MRE11', 'GATAD2B', 'HNRNPU', 'TRRAP', 'CHD3', 'MAP3K4', 'WRN', 'POT1', 'WRNIP1', 'DHX9', 'SETDB2', 'DCAF1', 'TTI1', 'ATR', 'KDM5A', 'HDAC3', 'ANAPC4', 'RLIM', 'MCPH1', 'MBTD1', 'ACTL6A', 'KMT2E', 'MCM9', 'HDAC1', 'BAZ2B', 'SMARCA5', 'MLH3', 'ZNF207', 'MAPKAPK5', 'WRAP53', 'CBX5', 'NUP155', 'BPTF', 'SMARCAD1', 'KDM4C', 'CHD6', 'CTCF', 'NUP133', 'SUDS3', 'LATS1', 'DHX36', 'BRD8', 'SRPK1', 'SART3', 'KDM1A', 'SMYD5', 'EYA3', 'STAG2', 'KIF22', 'MSH6', 'KDM6A', 'PDS5A']
GOBP_MRNA_METABOLIC_PROCESS	1	1.750807384780689e-25	1.0	0.1671875	['TSEN54', 'HNRNPF', 'SNRNP48', 'SMG7', 'APP', 'ERN1', 'COIL', 'SF3B1', 'EIF4ENIF1', 'RBM26', 'TAF2', 'ZCCHC8', 'CNOT10', 'PRPF19', 'AQR', 'HNRNPH1', 'PAXBP1', 'CPSF6', 'RBM23', 'TIA1', 'PRPF38B', 'CCNT1', 'PCID2', 'SCAF4', 'PLRG1', 'CTR9', 'SRSF10', 'DHX15', 'HNRNPD', 'ESRP2', 'PRPF38A', 'LUC7L2', 'ZC3H14', 'MED1', 'PCF11', 'SON', 'METTL16', 'TGS1', 'LSM11', 'RBM4', 'PNN', 'SRRM1', 'PUM1', 'PAPOLA', 'RBM8A', 'CNOT6', 'CNOT1', 'TP53', 'GEMIN4', 'LARP4B', 'FIP1L1', 'NCBP3', 'PRPF40A', 'VDR', 'RBM4B', 'EDC3', 'CCAR2', 'DKC1', 'METTL3', 'PRMT5', 'PAN3', 'KIN', 'SECISBP2', 'YTHDC1', 'PTBP3', 'ANGEL2', 'EXOSC10', 'METTL14', 'RBMXL1', 'CPSF7', 'NUP98', 'CDC40', 'RBM27', 'NUDT21', 'SCAF8', 'CDK13', 'HNRNPU', 'PRPF4', 'DDX17', 'RNMT', 'EIF4A3', 'PUM2', 'U2AF2', 'DHX9', 'SYNCRIP', 'CDK12', 'CNOT6L', 'ZNF326', 'SREK1', 'PAN2', 'CNOT3', 'RBMX', 'DHX34', 'RBM39', 'ESRP1', 'RBM25', 'PRPF4B', 'TCERG1', 'THOC2', 'DHX36', 'SRPK1', 'SART3', 'KDM1A', 'DDX46', 'PKP3', 'HNRNPL', 'NONO']
GOBP_MRNA_PROCESSING	1	8.987009595452576e-25	1.0	0.195852534562212	['TSEN54', 'HNRNPF', 'SNRNP48', 'APP', 'ERN1', 'COIL', 'SF3B1', 'RBM26', 'ZCCHC8', 'PRPF19', 'AQR', 'HNRNPH1', 'PAXBP1', 'CPSF6', 'RBM23', 'TIA1', 'PRPF38B', 'CCNT1', 'SCAF4', 'PLRG1', 'CTR9', 'SRSF10', 'DHX15', 'ESRP2', 'LUC7L2', 'PRPF38A', 'ZC3H14', 'PCF11', 'SON', 'METTL16', 'TGS1', 'LSM11', 'RBM4', 'PNN', 'SRRM1', 'PAPOLA', 'RBM8A', 'GEMIN4', 'FIP1L1', 'NCBP3', 'PRPF40A', 'RBM4B', 'CCAR2', 'METTL3', 'PRMT5', 'PAN3', 'KIN', 'YTHDC1', 'PTBP3', 'METTL14', 'RBMXL1', 'CPSF7', 'NUP98', 'CDC40', 'RBM27', 'NUDT21', 'SCAF8', 'CDK13', 'HNRNPU', 'PRPF4', 'DDX17', 'RNMT', 'EIF4A3', 'U2AF2', 'DHX9', 'SYNCRIP', 'CDK12', 'CNOT6L', 'ZNF326', 'SREK1', 'PAN2', 'RBMX', 'RBM39', 'ESRP1', 'RBM25', 'PRPF4B', 'TCERG1', 'THOC2', 'DHX36', 'SRPK1', 'SART3', 'KDM1A', 'DDX46', 'HNRNPL', 'NONO']
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	1.3837805522862355e-21	1.0	0.12066246056782334	['ZNF131', 'ERCC6', 'TRPS1', 'SIN3A', 'MAGEF1', 'ZNF10', 'MAGED4', 'ZNF134', 'SFMBT2', 'TFAP2A', 'ZNF136', 'TFAP2C', 'WWC1', 'NCOA5', 'RSF1', 'IRX3', 'EIF4ENIF1', 'EP300', 'ZNF180', 'TRIM27', 'PSPC1', 'NCOA2', 'ILF3', 'ZNF891', 'RNF169', 'CCNT1', 'MSH2', 'CTNNB1', 'NELFCD', 'ZNF91', 'SCAF4', 'CTR9', 'SRSF10', 'ZNF254', 'HNRNPD', 'PTPN2', 'PATZ1', 'ZC3H14', 'ZBTB33', 'MED1', 'BCLAF1', 'ZNF568', 'METTL16', 'SPDEF', 'CCAR1', 'BTRC', 'CHD8', 'JARID2', 'LDB1', 'ERCC1', 'MAGED4B', 'SUZ12', 'KMT2A', 'CNOT1', 'TCF3', 'ZNF827', 'MEN1', 'KDM5B', 'PHC1', 'KDM2A', 'TP53', 'ZNF140', 'LARP4B', 'SP3', 'ZFP90', 'ZNF431', 'VDR', 'ETV6', 'OVOL2', 'CCAR2', 'DKC1', 'PHF12', 'L3MBTL2', 'PTPRK', 'PRMT5', 'NIPBL', 'DNMT1', 'SECISBP2', 'ELF3', 'NKRF', 'XRCC5', 'PIAS1', 'PURB', 'NAT10', 'CDK2', 'PTBP3', 'TRIM28', 'ZNF141', 'ANGEL2', 'EXOSC10', 'NFX1', 'ZNF398', 'RBBP8', 'PRDM2', 'ZNF24', 'SCAF8', 'GATAD2B', 'HNRNPU', 'CHD3', 'EZR', 'POT1', 'U2AF2', 'PIAS3', 'KCTD1', 'DHX9', 'SETDB2', 'DCAF1', 'SYNCRIP', 'CBFA2T2', 'KDM5A', 'HDAC3', 'ZNF439', 'ZBTB42', 'PPP1R13L', 'ZNF263', 'RLIM', 'MCPH1', 'BTAF1', 'MBTD1', 'ZNF268', 'HDAC1', 'ZBTB5', 'ZNF318', 'RBMX', 'NPAT', 'ZNF8', 'AJUBA', 'DHX34', 'CTBP2', 'CBX5', 'BPTF', 'PHF6', 'TRIM33', 'CTCF', 'SP2', 'SUDS3', 'TCERG1', 'UBR5', 'VGLL4', 'DHX36', 'ZNF558', 'KDM1A', 'PKP3', 'ZNF675', 'SOX10', 'RBAK', 'MAGEE1', 'HNRNPL', 'ZNF12', 'ZNF3', 'MSH6', 'TP53BP1', 'NONO']
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1	1.673570239843539e-21	1.0	0.13013698630136986	['GMEB2', 'TCF20', 'ERCC6', 'ZNF48', 'ARID4B', 'SLC9A1', 'ATF6', 'SIN3A', 'SMARCC1', 'CCNT2', 'APP', 'KDM3A', 'TFAP2A', 'PBX1', 'TFAP2C', 'NCOA6', 'PAXIP1', 'RSF1', 'IRX3', 'SENP1', 'EP300', 'TAF2', 'MYSM1', 'ZNF841', 'NCOA2', 'PRDM4', 'CASK', 'ZNF229', 'PAXBP1', 'TET3', 'GRHL1', 'GRHL2', 'F2RL1', 'CCNT1', 'RPS6KA1', 'CTNNB1', 'ZNF91', 'TET2', 'AHI1', 'ZNF227', 'ZNF43', 'GPBP1', 'ATAD2B', 'AGRN', 'CARF', 'MED1', 'SP1', 'NUCKS1', 'BCLAF1', 'SPDEF', 'CHD8', 'ZNF780B', 'LDB1', 'ATF6B', 'ERCC1', 'ZNF197', 'FIZ1', 'KMT2A', 'ZNF585B', 'TCF3', 'ZNF827', 'MEN1', 'LMX1B', 'JUP', 'ZNF33A', 'PHIP', 'ZNF544', 'ZNF107', 'IFT74', 'ZNF609', 'ZFP62', 'TP53', 'EPCAM', 'SP3', 'ZBED4', 'VDR', 'ETV6', 'OVOL2', 'ZNF484', 'ZNF721', 'MTF1', 'POGZ', 'NIPBL', 'ZNF384', 'NFYA', 'ELF3', 'NKRF', 'ZNF493', 'MAML1', 'MYO6', 'PRDM2', 'ZNF814', 'ZNF24', 'DVL2', 'TCF12', 'ZNF770', 'PRDM10', 'CDK13', 'HNRNPU', 'SALL2', 'DDX17', 'ZNF786', 'DHX9', 'CDK12', 'GMEB1', 'HDAC3', 'ZMIZ2', 'ZNF263', 'PBX2', 'TMF1', 'ZNF782', 'ZNF268', 'HDAC1', 'IRF6', 'RBMX', 'NPAT', 'SMARCA5', 'CTBP2', 'BPTF', 'CREB3L4', 'CHD6', 'TCERG1', 'DHX36', 'BRD8', 'REL', 'ZNF292', 'KDM1A', 'ZNF112', 'SOX10', 'RLF', 'ZNF606', 'TP53BP1', 'PIK3R2']
GOBP_CHROMATIN_ORGANIZATION	1	4.191535579781047e-21	1.0	0.1762208067940552	['ARID1A', 'PHF20', 'ARID4B', 'SIN3A', 'RBBP5', 'SMARCC1', 'KDM3A', 'TFAP2C', 'RSF1', 'LIN54', 'EP300', 'MYSM1', 'TRIM27', 'TET3', 'ZNF518A', 'TET2', 'CTR9', 'EPC2', 'KDM3B', 'EMSY', 'NUCKS1', 'LSM11', 'JARID2', 'CHD8', 'ACTR5', 'TLK1', 'SUZ12', 'KMT2A', 'KANSL1', 'ZNF827', 'MEN1', 'KDM5B', 'ARID1B', 'KDM2A', 'TP53', 'BRD2', 'SPTY2D1', 'ARID2', 'HP1BP3', 'L3MBTL2', 'METTL3', 'PRMT5', 'DNMT1', 'YTHDC1', 'TSPYL4', 'NFRKB', 'CDK2', 'TRIM28', 'EXOSC10', 'SETD5', 'DNAJC9', 'BRPF3', 'KMT5B', 'GATAD2B', 'HNRNPU', 'TRRAP', 'CHD3', 'SETDB2', 'DCAF1', 'TTI1', 'KDM5A', 'HDAC3', 'RLIM', 'MBTD1', 'ACTL6A', 'KMT2E', 'HDAC1', 'BAZ2B', 'SMARCA5', 'CBX5', 'BPTF', 'SMARCAD1', 'KDM4C', 'CHD6', 'CTCF', 'SUDS3', 'BRD8', 'SRPK1', 'SART3', 'KDM1A', 'SMYD5', 'EYA3', 'KDM6A']
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1	6.501448749652193e-21	1.0	0.11532951289398281	['ZNF131', 'TRPS1', 'SIN3A', 'MAGEF1', 'ZNF10', 'MAGED4', 'ZNF134', 'SFMBT2', 'TFAP2A', 'ZNF136', 'TFAP2C', 'WWC1', 'NCOA5', 'RSF1', 'IRX3', 'CAPRIN1', 'EIF4ENIF1', 'EP300', 'ZNF180', 'CNOT10', 'TRIM27', 'PSPC1', 'NCOA2', 'ILF3', 'WAPL', 'ZNF891', 'TIA1', 'CTNNB1', 'NELFCD', 'LIG3', 'ZNF91', 'SCAF4', 'CTR9', 'ZNF254', 'HNRNPD', 'PTPN2', 'PATZ1', 'ZBTB33', 'MED1', 'BCLAF1', 'ZNF568', 'METTL16', 'SPDEF', 'CCAR1', 'BTRC', 'RBM4', 'CHD8', 'EIF2AK3', 'LDB1', 'JARID2', 'MAGED4B', 'PUM1', 'SUZ12', 'CNOT6', 'CNOT1', 'TCF3', 'ZNF827', 'MEN1', 'KDM5B', 'PHC1', 'CNOT9', 'KDM2A', 'TP53', 'ZNF140', 'SP3', 'LSM14A', 'ZFP90', 'ZNF431', 'VDR', 'ETV6', 'OVOL2', 'CCAR2', 'PHF12', 'L3MBTL2', 'METTL3', 'PTPRK', 'PRMT5', 'PAN3', 'NIPBL', 'DNMT1', 'ELF3', 'NKRF', 'PIAS1', 'XRCC5', 'PURB', 'NAT10', 'CDK2', 'TRIM28', 'ZNF141', 'EXOSC10', 'METTL14', 'NFX1', 'ZNF398', 'PASK', 'RBBP8', 'RAD17', 'PRDM2', 'PIBF1', 'ZNF24', 'SCAF8', 'GATAD2B', 'HNRNPU', 'CHD3', 'EZR', 'POT1', 'EIF4A3', 'DONSON', 'PIAS3', 'KCTD1', 'DHX9', 'SETDB2', 'DCAF1', 'SYNCRIP', 'ATP1A1', 'CBFA2T2', 'ATR', 'UNK', 'KDM5A', 'CNOT6L', 'HDAC3', 'ZNF439', 'ZBTB42', 'PPP1R13L', 'ZNF263', 'RLIM', 'MCPH1', 'BTAF1', 'MBTD1', 'ZNF268', 'HDAC1', 'PAN2', 'CNOT3', 'ZBTB5', 'ZNF318', 'NPAT', 'ZNF8', 'AJUBA', 'CTBP2', 'CBX5', 'BPTF', 'PHF6', 'TRIM33', 'CTCF', 'SP2', 'SUDS3', 'TCERG1', 'GSK3B', 'GRB7', 'VGLL4', 'DHX36', 'ZNF558', 'KDM1A', 'ZNF675', 'SOX10', 'RBAK', 'MAGEE1', 'HNRNPL', 'ZNF12', 'ZNF3', 'NONO', 'PDS5A']
