pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_SMALL_CELL_LUNG_CANCER	1	0.20840909352612053	1.5247916981534195	1.0	56.75	['PIAS4', 'PIK3R1', 'LAMC2', 'TRAF4', 'PIK3CD', 'RELA', 'PIAS1', 'SKP2', 'BIRC3', 'PTGS2', 'LAMC1', 'CDK2', 'ITGA2', 'ITGA6', 'E2F3', 'LAMC3', 'LAMB3', 'CASP9', 'LAMA4', 'PTK2', 'RB1', 'RXRB', 'RXRA', 'MAX', 'PIK3CB', 'LAMA3', 'RARB', 'CCND1', 'PIAS2', 'TRAF1', 'COL4A4', 'AKT2', 'XIAP', 'NFKB1', 'IKBKB', 'TP53', 'TRAF6', 'LAMB2', 'LAMA1', 'COL4A6', 'TRAF3', 'FHIT', 'E2F1', 'BIRC2', 'BCL2', 'LAMA5', 'APAF1', 'AKT3', 'CDK4', 'PIK3CG', 'PIAS3', 'TRAF5', 'BCL2L1', 'TRAF2', 'PIK3R2', 'CDK6', 'ITGA3']
KEGG_PROSTATE_CANCER	1	0.20545578536810102	1.553095192535343	1.0	21.4	['HSP90AB1', 'BRAF', 'PIK3R1', 'MTOR', 'ERBB2', 'RELA', 'PIK3CD', 'LEF1', 'HSP90AA1', 'CDK2', 'EGFR', 'PDPK1', 'CASP9', 'TCF7', 'EP300', 'IGF1R', 'MAPK1', 'NFKB1', 'IKBKB', 'CREB3L4', 'TP53', 'CREB1', 'FGFR2', 'CTNNB1', 'NKX3-1', 'CREBBP', 'PDGFA', 'PIK3R2', 'TGFA', 'MAP2K1']
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.20542663029709662	1.5440529910140874	1.0	37.07	['RFT1', 'DOLPP1', 'MAN2A2', 'DPM1', 'ALG1', 'FUT8', 'ALG13', 'ALG10', 'STT3B', 'MGAT4B', 'STT3A', 'ALG12', 'ALG6', 'RPN2', 'TUSC3', 'MGAT4A', 'DPM2', 'MOGS', 'GANAB', 'MGAT5', 'ST6GAL1', 'ALG2', 'B4GALT3', 'MAN1B1', 'B4GALT1', 'DDOST']
KEGG_RNA_POLYMERASE	1	0.19995391109380747	1.5419540008978765	1.0	54.36	['POLR3F', 'POLR1C', 'POLR3B', 'POLR2C', 'POLR2L', 'POLR2E', 'POLR2H', 'POLR3A', 'POLR2J2', 'POLR2B', 'POLR2F', 'POLR1A', 'POLR1E', 'POLR3G', 'POLR3D', 'POLR3H', 'POLR2K', 'POLR2G', 'POLR2A', 'POLR2D', 'POLR1B', 'POLR3C']
KEGG_BASAL_CELL_CARCINOMA	1	0.17482791679682871	1.5958521121952949	1.0	31.07	['SMO', 'SUFU', 'LEF1', 'FZD3', 'PTCH2', 'TCF7', 'WNT5B', 'WNT6', 'WNT2B', 'TP53', 'AXIN1', 'GLI3', 'FZD6', 'DVL2', 'FZD9', 'DVL3', 'PTCH1', 'GSK3B', 'CTNNB1', 'FZD1', 'WNT4', 'STK36', 'FZD7']
KEGG_AXON_GUIDANCE	1	0.1271077274963285	1.669357516736995	1.0	53.4	['PAK4', 'PLXNA1', 'CDC42', 'PTK2', 'PLXNC1', 'MAPK1', 'CHP1', 'SRGAP3', 'SEMA4C', 'ABL1', 'PPP3CB', 'PLXNA3', 'SEMA4B', 'SEMA4G', 'PLXNB1', 'UNC5B', 'SRGAP1', 'SEMA3A', 'ROCK1', 'ABLIM3', 'SEMA7A', 'SEMA6A', 'SEMA4D', 'GNAI3', 'LIMK1', 'MET', 'CFL2', 'L1CAM', 'ROBO3', 'SEMA4A', 'EFNA4', 'PAK2', 'EFNB2', 'SEMA3E', 'NTN4', 'SEMA3C', 'LRRC4C', 'PLXNB3', 'RASA1', 'PLXNA2', 'CDK5', 'EPHA4', 'EFNB3', 'EPHB4', 'NCK2', 'UNC5C', 'NRP1', 'RGS3', 'PPP3CA', 'LIMK2', 'NFAT5', 'RHOD', 'NGEF', 'EFNA1', 'PAK3', 'EPHA2', 'RHOA', 'PLXNB2', 'NRAS', 'EPHA1', 'SEMA3F', 'PPP3R1', 'ARHGEF12', 'EPHB6', 'SEMA5A', 'NFATC2', 'SEMA3D', 'KRAS', 'DPYSL2', 'PAK1', 'GSK3B', 'EPHB3', 'CXCR4', 'NFATC3', 'PAK6', 'EPHB1', 'EFNA3', 'FES', 'PAK5']
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.10549735938336974	1.7248794412559987	1.0	31.77	['ITGA10', 'ACTN4', 'ITGB6', 'LEF1', 'CACNG4', 'ITGB4', 'ITGA2', 'ITGA6', 'CACNA1C', 'ITGA4', 'TCF7', 'CACNB3', 'CTNNA1', 'CACNA2D2', 'ACTN1', 'JUP', 'CACNA1D', 'EMD', 'CACNA2D1', 'DAG1', 'ITGA9', 'CTNNB1', 'DSG2', 'PKP2', 'ITGB8', 'DSP', 'SGCG', 'ACTG1', 'DMD', 'DSC2', 'ITGA3']
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.10273473778767764	1.7213428525599708	1.0	22.75	['PCYT1A', 'ETNK2', 'LYPLA2', 'LPCAT3', 'ADPRM', 'AGPAT1', 'DGKA', 'ETNK1', 'LPCAT2', 'MBOAT1', 'PLD1', 'GPAT4', 'PLA2G4B', 'CDS1', 'CHKA', 'GPD2', 'PGS1', 'PTDSS1', 'CRLS1', 'JMJD7-PLA2G4B', 'AGPAT4', 'LCLAT1', 'DGKH', 'MBOAT2', 'PLD2', 'PLPP2', 'MBOAT7']
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.09068768136125649	1.7630883972801377	1.0	34.91	['RAD50', 'RAD51C', 'RAD52', 'MUS81', 'POLD3', 'NBN', 'XRCC3', 'RPA2', 'RAD51B', 'TOP3B', 'RPA1', 'RAD54B', 'POLD1', 'MRE11', 'XRCC2', 'BRCA2', 'TOP3A']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.06708013314230932	1.8315386143446015	1.0	79.69	['PAK4', 'NFATC1', 'MAPK13', 'GRAP2', 'PTPN6', 'CDC42', 'CD4', 'PTPRC', 'CD3D', 'VAV2', 'PIK3CB', 'VAV1', 'MAPK1', 'MAPK11', 'AKT2', 'CHP1', 'CD28', 'PPP3CB', 'PLCG1', 'NFKBIB', 'IFNG', 'MALT1', 'LCK', 'MAP2K1', 'CARD11', 'PIK3CA', 'CD247', 'CD3E', 'PDPK1', 'BCL10', 'CHUK', 'NFKBIE', 'PRKCQ', 'ICOS', 'MAP3K7', 'PDCD1', 'CDK4', 'PAK2', 'LCP2', 'GRB2', 'ZAP70', 'IL10', 'MAP3K14', 'PIK3R5', 'VAV3', 'LAT', 'PPP3CC', 'DLG1', 'TNF', 'SOS1', 'PIK3R3', 'MAPK3', 'MAP2K2', 'CD3G', 'CD8B', 'ITK', 'RASGRP1', 'CBLB', 'MAPK14', 'IKBKB', 'NCK2', 'CBL', 'AKT3', 'TEC', 'PIK3CG', 'PPP3CA', 'MAP2K7', 'FOS', 'CBLC', 'NFAT5', 'PAK3', 'RHOA', 'CD8A', 'NRAS', 'PIK3R1', 'RELA', 'PIK3CD', 'PPP3R1', 'CD40LG', 'MAPK9', 'CTLA4', 'MAP3K8', 'NFATC2', 'NFATC4', 'KRAS', 'SOS2', 'NFKB1', 'RAF1', 'FYN', 'PAK1', 'GSK3B', 'NFATC3', 'PAK6', 'HRAS', 'PAK5', 'AKT1', 'PIK3R2']
