pathway	freq	padj	stability	overlap	genes
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	7.841951279144974e-37	1.0	0.13093093093093094	{'POT1;ERCC1;DKC1;CHD6;CENPJ;REL;CREB3L4;HDAC1;JUP;RBMX;GRHL1;PRDM10;ZNF292;POGZ;ZNF606;ATF6B;KDM3A;MEN1;NFYA;PRDM4;CASK;CCNT1;ARID1B;DVL2;NUP62;ZNF107;ZNF544;TCF12;IGF1R;MYO6;NUCKS1;PAN2;ERN1;METTL3;BPTF;DDX17;TRIM27;RNF111;VDR;TCF3;F2RL1;PHIP;GRHL2;MED1;ATAD2B;SOX10;NVL;KMT5B;CDH1;CCAR2;SENP1;RBMXL1;HNRNPU;TAF2;ZNF112;ZNF585B;SIN3A;FIZ1;ZNF814;ZNF609;JMY;ZNF484;RSF1;TCF20;ERBB2;CNOT3;RBM23;ZNF43;LMX1B;SMARCA5;ZFP90;MYSM1;ZNF721;ZNF782;ETV6;AGRN;NKRF;CHD8;ARID2;PAN3;MRE11;AHI1;MTF1;SP1;NAT14;TOPORS;ZNF786;EYA3;SEC14L2;ARID4B;KMT2E;ATF6;PAXBP1;CDK2;IFT74;EPCAM;RLF;TFAP2A;CARF;PBX1;SALL2;ZNF496;SMARCC1;TP53BP1;EP300;EIF4ENIF1;CTBP2;MBTD1;SF3B1;PAXIP1;BRD8;WRAP53;KDM5A;MSH2;ZNF263;TRRAP;CCAR1;ZBED4;CDK13;TRIM28;PRPF19;PCID2;RBBP8;PATZ1;ERCC6;TFAM;ARID1A;WRN;ZMIZ2;ZNF398;ZNF24;GPBP1L1;ACTL6A;ZNF841;NEK4;NOLC1;IRF6;CCNT2;ZNF493;ZNF711;CNOT1;MAPKAPK5;TET2;SLF1;SCAF8;DHX33;NCOA6;RAI1;ZFP62;BCLAF1;ZNF780B;NIPBL;RPS6KA1;ZNF268;SPDEF;GMEB2;ZNF91;MAML1;NUDT21;CNOT6L;ZNF48;XRCC5;HNRNPD;ZNF197;CDK12;TMF1;GMEB1;BTRC;PRDM2;METTL16;HDAC3;ZNF384;NPAT;PBX2;CTCF;TP53;ZNF33A;TCERG1;ZNF827;ICE1;EPC2;CNOT9;APP;ACTR5;ZNF227;TFAP2C;METTL14;CNOT6;PUM1;SLC9A1;U2AF2;ZNF229;ILF3;CTNNB1;KMT2A;TET3;NUP98;DHX36;KDM1A;WWC1;SYNCRIP;WDR75;EIF2AK3;NFRKB;SP3;ATR;NCOA2;ZNF318;DHX9;CEP290;LDB1;IRX3;GPBP1;ELF3;ZNF770;OVOL2;MAP3K4;PIK3R2'}
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	1	2.1415503899280198e-33	1.0	0.1312127236580517	{'ERCC1;CHD6;CENPJ;REL;CREB3L4;HDAC1;JUP;RBMX;GRHL1;PRDM10;ZNF292;POGZ;ZNF606;ATF6B;KDM3A;MEN1;NFYA;PRDM4;CASK;CCNT1;ARID1B;DVL2;NUP62;ZNF107;ZNF544;TCF12;MYO6;NUCKS1;PAN2;ERN1;METTL3;BPTF;DDX17;TRIM27;RNF111;VDR;TCF3;F2RL1;PHIP;GRHL2;MED1;ATAD2B;SOX10;CCAR2;CDH1;RBMXL1;SENP1;HNRNPU;TAF2;ZNF112;ZNF585B;SIN3A;FIZ1;ZNF814;ZNF609;JMY;ZNF484;RSF1;TCF20;ERBB2;CNOT3;RBM23;ZNF43;LMX1B;SMARCA5;ZFP90;MYSM1;ZNF721;ZNF782;ETV6;AGRN;NKRF;CHD8;PAN3;AHI1;MTF1;SP1;NAT14;TOPORS;ZNF786;SEC14L2;ARID4B;KMT2E;ATF6;PAXBP1;CDK2;IFT74;EPCAM;RLF;TFAP2A;CARF;PBX1;SALL2;ZNF496;SMARCC1;TP53BP1;EP300;EIF4ENIF1;CTBP2;SF3B1;PAXIP1;BRD8;KDM5A;ZNF263;CCAR1;ZBED4;CDK13;TRIM28;PRPF19;PCID2;PATZ1;ERCC6;TFAM;ARID1A;ZMIZ2;ZNF398;ZNF24;GPBP1L1;ACTL6A;ZNF841;NEK4;NOLC1;IRF6;CCNT2;ZNF493;ZNF711;CNOT1;TET2;SCAF8;DHX33;NCOA6;RAI1;ZFP62;BCLAF1;ZNF780B;NIPBL;RPS6KA1;ZNF268;SPDEF;GMEB2;ZNF91;MAML1;NUDT21;CNOT6L;ZNF48;HNRNPD;ZNF197;CDK12;TMF1;GMEB1;BTRC;PRDM2;METTL16;HDAC3;ZNF384;NPAT;PBX2;CTCF;TP53;ZNF33A;TCERG1;ZNF827;ICE1;CNOT9;APP;ACTR5;ZNF227;TFAP2C;METTL14;CNOT6;PUM1;SLC9A1;U2AF2;ZNF229;ILF3;CTNNB1;KMT2A;TET3;NUP98;DHX36;KDM1A;WWC1;SYNCRIP;WDR75;EIF2AK3;NFRKB;SP3;NCOA2;DHX9;ZNF318;CEP290;LDB1;IRX3;GPBP1;ELF3;ZNF770;OVOL2;PIK3R2'}
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	1	9.731766847061429e-30	1.0	0.12080141426045964	{'POT1;ERCC1;DKC1;CHD6;CENPJ;REL;CREB3L4;HDAC1;JUP;RBMX;GRHL1;PRDM10;ZNF292;POGZ;ZNF606;ATF6B;KDM3A;MEN1;NFYA;PRDM4;CCNT1;ARID1B;DVL2;NUP62;ZNF107;ZNF544;AJUBA;TCF12;IGF1R;MYO6;NUCKS1;METTL3;BPTF;DDX17;TRIM27;RNF111;VDR;TCF3;F2RL1;PHIP;GRHL2;MED1;ATAD2B;SOX10;NVL;CCAR2;CDH1;SENP1;HNRNPU;TAF2;ZNF112;ZNF585B;SIN3A;FIZ1;ZNF814;ZNF609;JMY;LARP4B;ZNF484;RSF1;TCF20;ERBB2;RBM23;ZNF43;LMX1B;SMARCA5;ZFP90;MYSM1;ZNF721;ZNF782;ETV6;AGRN;NKRF;CHD8;AHI1;MTF1;SP1;NAT14;TOPORS;BRPF3;ZNF786;SEC14L2;ARID4B;KMT2E;ATF6;PAXBP1;CDK2;IFT74;EPCAM;RLF;TFAP2A;CARF;PBX1;SALL2;ZNF496;PASK;SMARCC1;TP53BP1;EP300;CTBP2;SF3B1;PAXIP1;CDH3;BRD8;WRAP53;KCTD13;KDM5A;ZNF263;CCAR1;ZBED4;CDK13;TRIM28;PCID2;PATZ1;ERCC6;TFAM;ARID1A;ZMIZ2;ZNF398;ZNF24;GPBP1L1;ACTL6A;ZNF841;NEK4;NOLC1;IRF6;CCNT2;ZNF493;ZNF711;MAPKAPK5;TET2;SCAF8;DHX33;NCOA6;RAI1;ZFP62;BCLAF1;ZNF780B;NIPBL;RPS6KA1;ZNF268;POLDIP3;SPDEF;GMEB2;ZNF91;MAML1;ZNF48;XRCC5;HNRNPD;ZNF197;CDK12;TMF1;GMEB1;BTRC;PRDM2;HDAC3;ZNF384;NPAT;PBX2;CASK;CTCF;TP53;ZNF33A;TCERG1;ZNF827;ICE1;CNOT9;APP;ACTR5;ZNF227;TFAP2C;METTL14;CNOT6;SLC9A1;ZNF229;ILF3;CTNNB1;KMT2A;PTPN2;TET3;NUP98;DHX36;KDM1A;EIF4A3;WWC1;SYNCRIP;ITGA2;WDR75;EIF2AK3;NFRKB;SP3;ATR;NCOA2;ZNF318;DHX9;CEP290;LDB1;IRX3;GPBP1;ELF3;NAT10;ZNF770;OVOL2;MAP3K4;PIK3R2'}
GOBP_CHROMOSOME_ORGANIZATION	1	3.886389851057434e-29	1.0	0.15481651376146788	{'POT1;DKC1;ERCC1;CHD6;SENP6;HDAC1;HP1BP3;POGZ;LIN54;KDM3A;MEN1;ARID1B;NUP62;KDM5B;TSPYL4;LSM11;NUCKS1;BAZ2B;METTL3;BPTF;SART3;KIF22;TRIM27;MCM9;LATS1;TOP2B;KMT5B;HNRNPU;SUDS3;SMC5;RFWD3;SETDB2;KANSL1;DCLRE1A;SIN3A;ANAPC4;RSF1;CHMP4C;SMARCA5;MYSM1;CENPC;JARID2;CHD8;ARID2;MRE11;NUP133;ASCC3;MSH6;BRPF3;EYA3;PRMT5;SPTY2D1;PDS5B;KDM4C;ARID4B;KMT2E;SRPK1;CDK2;PDS5A;SMARCC1;WRNIP1;TTI1;EP300;MBTD1;NDC1;DCLRE1C;BRD8;KDM2A;WRAP53;KDM5A;MSH2;TRRAP;CDC23;TRIM28;BRD2;PCID2;WRN;ARID1A;STAG2;SETD5;ACTL6A;MAPKAPK5;TET2;SLF1;SMARCAD1;ZNF518A;ERCC3;NIPBL;ZNF207;XRCC5;HNRNPD;HDAC3;L3MBTL2;DNAJC9;ESCO1;DNMT1;CTCF;TP53;SMYD5;WAPL;ZNF827;PHF20;EPC2;CHD3;KDM3B;ACTR5;PIBF1;TFAP2C;TLK1;GATAD2B;YTHDC1;NUP155;RLIM;RBBP5;KDM6A;CTNNB1;KMT2A;TET3;DHX36;KDM1A;CTR9;NFRKB;EMSY;FANCD2;DHX9;ATR;MLH3;CBX5;SUZ12;DCAF1;LDB1;EXOSC10;NAT10;MAP3K4;MCPH1'}
GOBP_MRNA_METABOLIC_PROCESS	1	1.7504193512290979e-25	1.0	0.1671875	{'DKC1;RBM8A;COIL;AQR;RBM27;SRRM1;RBMX;HNRNPL;DDX46;ZNF326;CNOT10;CCNT1;PRPF4;LSM11;PRPF38A;ESRP2;PAN2;ERN1;METTL3;SART3;SCAF4;DDX17;PRPF38B;CPSF7;VDR;PLRG1;MED1;CCAR2;RBMXL1;HNRNPU;RBM4;RNMT;SMG7;HNRNPF;TAF2;PUM2;LARP4B;CNOT3;RBM23;TIA1;THOC2;RBM25;NONO;ANGEL2;PAN3;SON;PRMT5;SECISBP2;SRPK1;PAXBP1;RBM4B;LUC7L2;EIF4ENIF1;SF3B1;PNN;PRPF40A;CDK13;PRPF19;PCID2;ESRP1;NCBP3;PKP3;CNOT1;SRSF10;HNRNPH1;SCAF8;SREK1;SNRNP48;RBM39;NUDT21;CNOT6L;HNRNPD;CDK12;TGS1;METTL16;DHX15;PTBP3;TP53;TCERG1;KIN;CPSF6;GEMIN4;APP;METTL14;DHX34;CNOT6;PAPOLA;PCF11;YTHDC1;PUM1;CDC40;U2AF2;TSEN54;EDC3;PRPF4B;NUP98;DHX36;KDM1A;EIF4A3;SYNCRIP;CTR9;ZC3H14;ZCCHC8;DHX9;EXOSC10;RBM26;FIP1L1'}
GOBP_MRNA_PROCESSING	1	8.985017793680535e-25	1.0	0.195852534562212	{'RBM8A;COIL;AQR;RBM27;SRRM1;RBMX;HNRNPL;DDX46;ZNF326;CCNT1;PRPF4;LSM11;PRPF38A;ESRP2;PAN2;ERN1;METTL3;SART3;SCAF4;DDX17;PRPF38B;CPSF7;PLRG1;CCAR2;RBMXL1;HNRNPU;RBM4;RNMT;HNRNPF;RBM23;TIA1;THOC2;RBM25;NONO;PAN3;SON;PRMT5;SRPK1;PAXBP1;RBM4B;LUC7L2;SF3B1;PNN;PRPF40A;CDK13;PRPF19;ESRP1;NCBP3;SRSF10;HNRNPH1;SREK1;SCAF8;SNRNP48;RBM39;NUDT21;CNOT6L;CDK12;TGS1;METTL16;DHX15;PTBP3;TCERG1;KIN;CPSF6;GEMIN4;APP;METTL14;PAPOLA;PCF11;YTHDC1;CDC40;U2AF2;TSEN54;PRPF4B;NUP98;DHX36;KDM1A;EIF4A3;SYNCRIP;CTR9;ZC3H14;ZCCHC8;DHX9;RBM26;FIP1L1'}
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	1.3834738633340444e-21	1.0	0.12066246056782334	{'POT1;DKC1;ERCC1;ZBTB42;HDAC1;PSPC1;RBMX;ZNF141;HNRNPL;MEN1;CCNT1;VGLL4;KDM5B;ZNF675;ZNF10;AJUBA;BPTF;SCAF4;UBR5;ZBTB5;TRIM27;VDR;TCF3;MED1;SOX10;CBFA2T2;ZNF431;CCAR2;HNRNPU;ZNF558;SUDS3;EZR;ZNF131;SETDB2;SIN3A;LARP4B;RSF1;TRIM33;ZFP90;NONO;ETV6;ZNF180;ANGEL2;MAGEF1;NKRF;JARID2;CHD8;PURB;MAGED4B;MSH6;PRMT5;SECISBP2;PTPRK;ZNF3;CDK2;TFAP2A;TP53BP1;EP300;EIF4ENIF1;CTBP2;MBTD1;PIAS3;ZNF891;RBAK;KDM2A;PPP1R13L;SP2;ZNF439;ZNF263;MSH2;CCAR1;KDM5A;TRIM28;PHC1;RBBP8;PATZ1;PHF6;ZNF8;ERCC6;RNF169;ZNF398;ZNF24;PKP3;CNOT1;SRSF10;ZNF12;SCAF8;BCLAF1;MAGED4;NCOA5;NIPBL;ZNF268;SPDEF;ZNF91;TRPS1;XRCC5;HNRNPD;BTAF1;METTL16;HDAC3;NFX1;BTRC;PRDM2;NPAT;L3MBTL2;DNMT1;PTBP3;CTCF;TP53;ZNF568;TCERG1;ZNF827;ZNF140;SFMBT2;CHD3;TFAP2C;DHX34;ZNF136;NELFCD;GATAD2B;MAGEE1;U2AF2;ILF3;RLIM;CTNNB1;KMT2A;PTPN2;KCTD1;DHX36;KDM1A;WWC1;PHF12;SYNCRIP;PIAS1;CTR9;ZC3H14;SP3;NCOA2;DHX9;ZNF318;CBX5;ZNF254;SUZ12;DCAF1;LDB1;ZBTB33;IRX3;ELF3;NAT10;ZNF134;OVOL2;EXOSC10;MCPH1'}
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1	1.6731993244535028e-21	1.0	0.13013698630136986	{'ERCC1;CHD6;REL;CREB3L4;HDAC1;JUP;RBMX;GRHL1;ZNF292;PRDM10;POGZ;ZNF606;ATF6B;KDM3A;MEN1;NFYA;PRDM4;CCNT1;DVL2;ZNF107;ZNF544;TCF12;MYO6;NUCKS1;BPTF;DDX17;VDR;F2RL1;TCF3;PHIP;GRHL2;MED1;ATAD2B;SOX10;SENP1;HNRNPU;TAF2;ZNF112;ZNF585B;SIN3A;ZNF814;FIZ1;ZNF609;ZNF484;RSF1;TCF20;ZNF43;LMX1B;SMARCA5;MYSM1;ZNF721;ZNF782;ETV6;AGRN;NKRF;CHD8;AHI1;MTF1;SP1;ZNF786;ARID4B;ATF6;PAXBP1;EPCAM;IFT74;TFAP2A;RLF;CARF;PBX1;SALL2;SMARCC1;TP53BP1;EP300;CTBP2;PAXIP1;BRD8;ZNF263;ZBED4;CDK13;ERCC6;ZMIZ2;ZNF24;ZNF841;IRF6;ZNF493;CCNT2;TET2;BCLAF1;NCOA6;ZFP62;ZNF780B;NIPBL;RPS6KA1;ZNF268;SPDEF;GMEB2;ZNF91;MAML1;ZNF48;CDK12;CASK;TMF1;GMEB1;HDAC3;ZNF384;PRDM2;ZNF197;NPAT;PBX2;TP53;ZNF33A;TCERG1;ZNF827;APP;ZNF227;TFAP2C;SLC9A1;ZNF229;CTNNB1;KMT2A;TET3;DHX36;KDM1A;SP3;NCOA2;DHX9;IRX3;LDB1;GPBP1;ELF3;ZNF770;OVOL2;PIK3R2'}
GOBP_CHROMATIN_ORGANIZATION	1	4.190606604696875e-21	1.0	0.1762208067940552	{'CHD6;HDAC1;HP1BP3;LIN54;KDM3A;MEN1;ARID1B;KDM5B;TSPYL4;LSM11;NUCKS1;BAZ2B;METTL3;BPTF;SART3;TRIM27;KMT5B;HNRNPU;SUDS3;SETDB2;KANSL1;SIN3A;RSF1;SMARCA5;MYSM1;JARID2;CHD8;ARID2;BRPF3;EYA3;PRMT5;SPTY2D1;KDM4C;ARID4B;KMT2E;SRPK1;CDK2;SMARCC1;TTI1;MBTD1;EP300;BRD8;KDM2A;KDM5A;TRRAP;TRIM28;BRD2;ARID1A;SETD5;ACTL6A;TET2;SMARCAD1;ZNF518A;HDAC3;L3MBTL2;DNAJC9;DNMT1;CTCF;TP53;SMYD5;ZNF827;PHF20;EPC2;CHD3;KDM3B;ACTR5;TLK1;TFAP2C;GATAD2B;YTHDC1;RLIM;RBBP5;KDM6A;KMT2A;TET3;KDM1A;CTR9;NFRKB;EMSY;CBX5;SUZ12;DCAF1;EXOSC10'}
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1	6.500007825727183e-21	1.0	0.11532951289398281	{'POT1;ZBTB42;HDAC1;PSPC1;ZNF141;HNRNPL;MEN1;CNOT10;VGLL4;KDM5B;ZNF675;ZNF10;AJUBA;LSM14A;PAN2;METTL3;BPTF;SCAF4;ZBTB5;TRIM27;VDR;TCF3;MED1;SOX10;CBFA2T2;ZNF431;CCAR2;HNRNPU;ZNF558;SUDS3;RBM4;EZR;ZNF131;SETDB2;SIN3A;RSF1;CNOT3;TIA1;TRIM33;ZFP90;NONO;ETV6;ZNF180;MAGEF1;NKRF;JARID2;CHD8;PAN3;PURB;MAGED4B;PRMT5;PTPRK;ZNF3;UNK;CDK2;TFAP2A;PDS5A;GRB7;PASK;EP300;EIF4ENIF1;CTBP2;MBTD1;PIAS3;CAPRIN1;ZNF891;RBAK;KDM2A;PPP1R13L;SP2;ZNF439;ZNF263;KDM5A;CCAR1;TRIM28;PHC1;RAD17;RBBP8;PATZ1;PHF6;ZNF8;ZNF398;ZNF24;CNOT1;DONSON;LIG3;ZNF12;SCAF8;BCLAF1;MAGED4;NCOA5;NIPBL;ZNF268;SPDEF;ZNF91;GSK3B;TRPS1;CNOT6L;XRCC5;HNRNPD;BTAF1;METTL16;HDAC3;NFX1;BTRC;PRDM2;NPAT;L3MBTL2;DNMT1;CTCF;TP53;ZNF568;WAPL;ZNF827;TCERG1;ATP1A1;ZNF140;SFMBT2;CNOT9;CHD3;PIBF1;TFAP2C;METTL14;CNOT6;ZNF136;NELFCD;GATAD2B;MAGEE1;PUM1;ILF3;RLIM;CTNNB1;PTPN2;KCTD1;DHX36;KDM1A;EIF4A3;WWC1;SYNCRIP;PHF12;PIAS1;CTR9;EIF2AK3;SP3;ATR;NCOA2;ZNF318;DHX9;CBX5;ZNF254;SUZ12;DCAF1;LDB1;ZBTB33;IRX3;ELF3;NAT10;ZNF134;OVOL2;EXOSC10;MCPH1'}
