pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_P53_SIGNALING_PATHWAY	1	0.2290210914391049	1.4382852034911953	1.0	44.83	['CASP8', 'ATR', 'PPM1D', 'CHEK1', 'PIDD1', 'ZMAT3', 'TP53AIP1', 'CD82', 'BAX', 'CCNG2', 'CCND3', 'MDM4', 'CCNE2', 'CDK2', 'DDB2', 'MDM2', 'CASP9', 'ADGRB1', 'TNFRSF10B', 'TP73', 'FAS', 'STEAP3', 'TP53', 'SERPINB5', 'CHEK2', 'SESN3', 'BBC3', 'APAF1', 'SIAH1', 'CDK4', 'SFN', 'RCHY1', 'BID', 'TSC2', 'ATM', 'PERP', 'EI24', 'CCNB1', 'CASP3', 'CDK6']
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.22761454606803413	1.4469388606445872	1.0	69.26	['BRAF', 'NRAS', 'EGF', 'PIK3R1', 'E2F2', 'PIK3CA', 'ERBB2', 'PIK3CD', 'CDK6', 'FOXO3', 'RASSF5', 'EGFR', 'E2F3', 'SOS1', 'PIK3R3', 'PDPK1', 'MAP2K2', 'CASP9', 'BAD', 'RB1', 'RXRB', 'PIK3CB', 'MAPK1', 'KRAS', 'CCND1', 'PIK3R2', 'SOS2', 'RAF1', 'TP53', 'ARAF', 'STK4', 'FHIT', 'E2F1', 'RASSF1', 'AKT3', 'CDK4', 'PLCG1', 'PIK3CG', 'HRAS', 'GRB2', 'PLCG2', 'AKT1', 'RARB', 'TGFA', 'MAP2K1']
KEGG_PANCREATIC_CANCER	1	0.2121443677569626	1.470522994553103	1.0	69.26	['BRAF', 'EGF', 'PIK3R1', 'E2F2', 'RAC3', 'STAT3', 'PIK3CA', 'ERBB2', 'SMAD2', 'RELA', 'PIK3CD', 'CDK6', 'MAPK9', 'VEGFB', 'TGFB3', 'CDC42', 'RAC2', 'RAD51', 'EGFR', 'E2F3', 'PIK3R3', 'BAD', 'CASP9', 'CHUK', 'RB1', 'SMAD4', 'PLD1', 'PIK3CB', 'MAPK8', 'RALGDS', 'MAPK1', 'KRAS', 'CCND1', 'RALBP1', 'TGFB2', 'IKBKB', 'NFKB1', 'RAF1', 'TP53', 'ARAF', 'E2F1', 'TGFB1', 'RAC1', 'AKT3', 'SMAD3', 'CDK4', 'RALA', 'TGFBR1', 'PIK3CG', 'IKBKG', 'STAT1', 'PGF', 'MAPK10', 'BRCA2', 'BCL2L1', 'AKT1', 'PIK3R2', 'TGFA', 'MAP2K1']
KEGG_BASAL_CELL_CARCINOMA	1	0.19951942620878868	1.4922991282296172	1.0	32.53	['SMO', 'SUFU', 'LEF1', 'FZD3', 'PTCH2', 'TCF7', 'WNT5B', 'WNT6', 'WNT7B', 'TP53', 'AXIN1', 'GLI3', 'FZD6', 'DVL2', 'DVL3', 'PTCH1', 'GSK3B', 'CTNNB1', 'FZD1', 'WNT4', 'STK36', 'APC', 'FZD7']
KEGG_RNA_POLYMERASE	1	0.18124536864087598	1.5212682970156592	1.0	43.28	['POLR3F', 'POLR1C', 'POLR3B', 'POLR3K', 'POLR1D', 'POLR2C', 'POLR2H', 'POLR3A', 'POLR2B', 'POLR2F', 'POLR1A', 'POLR1E', 'POLR3G', 'POLR3D', 'POLR2G', 'POLR2A', 'POLR2D', 'POLR1B', 'POLR3C']
KEGG_ENDOMETRIAL_CANCER	1	0.1703351227079096	1.542999415530178	1.0	69.26	['BRAF', 'NRAS', 'EGF', 'PIK3R1', 'PIK3CA', 'ERBB2', 'LEF1', 'PIK3CD', 'FOXO3', 'TCF7L1', 'EGFR', 'SOS1', 'PIK3R3', 'PDPK1', 'MAP2K2', 'CASP9', 'BAD', 'TCF7', 'CTNNA1', 'PIK3CB', 'MAPK1', 'KRAS', 'CCND1', 'TCF7L2', 'SOS2', 'RAF1', 'TP53', 'AXIN1', 'ARAF', 'ELK1', 'MLH1', 'CDH1', 'GSK3B', 'AKT1', 'CTNNB1', 'MYC', 'AKT3', 'PIK3CG', 'HRAS', 'GRB2', 'APC', 'PIK3R2', 'MAP2K1']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.1653693145282291	1.5665405694210897	1.0	69.26	['BRAF', 'NRAS', 'PIK3R1', 'E2F2', 'PIK3CA', 'RELA', 'PIK3CD', 'CRK', 'RUNX1', 'TGFB3', 'E2F3', 'MDM2', 'SOS1', 'PIK3R3', 'MAP2K2', 'CTBP1', 'BAD', 'CHUK', 'HDAC1', 'RB1', 'SMAD4', 'PTPN11', 'PIK3CB', 'MAPK1', 'KRAS', 'CCND1', 'CTBP2', 'CBLB', 'SOS2', 'STAT5B', 'TGFB2', 'IKBKB', 'NFKB1', 'CRKL', 'TP53', 'RAF1', 'SHC2', 'SHC1', 'ARAF', 'CBL', 'HDAC2', 'SHC4', 'ABL1', 'E2F1', 'MYC', 'TGFB1', 'AKT3', 'SMAD3', 'CDK4', 'BCR', 'TGFBR1', 'PIK3CG', 'IKBKG', 'HRAS', 'CBLC', 'GRB2', 'CDKN1B', 'BCL2L1', 'AKT1', 'PIK3R2', 'CDK6', 'MAP2K1']
KEGG_WNT_SIGNALING_PATHWAY	1	0.16246071735954706	1.561686178740741	1.0	68.15	['CSNK2A2', 'NLK', 'PLCB3', 'SMAD4', 'WNT5B', 'CSNK1A1L', 'EP300', 'CSNK2B', 'WIF1', 'CCND1', 'WNT2B', 'WNT10A', 'CAMK2G', 'WNT7B', 'PPP2R1B', 'SFRP1', 'FZD4', 'CTNNB1', 'PSEN1', 'PPP3CB', 'SIAH1', 'FZD10', 'NKD2', 'VANGL1', 'FZD2', 'CSNK1A1', 'BTRC', 'CHD8', 'ROCK1', 'PRKACB', 'VANGL2', 'LRP6', 'CTBP1', 'TCF7', 'TCF7L2', 'RUVBL1', 'TBL1X', 'DAAM2', 'TP53', 'CSNK2A1', 'WNT11', 'FZD6', 'MAP3K7', 'FZD9', 'PLCB4', 'FRAT2', 'FZD1', 'DVL1', 'MAPK10', 'PPP2CA', 'SMAD2', 'LEF1', 'SENP2', 'CCND3', 'RAC2', 'TCF7L1', 'PPP2R5C', 'PPP2R5E', 'CSNK1E', 'CAMK2B', 'CUL1', 'MAPK8', 'PPP2R5A', 'WNT3', 'AXIN1', 'DVL2', 'PPP3CA', 'WNT4', 'NFAT5', 'FZD8', 'WNT6', 'CXXC4', 'PORCN', 'RAC3', 'PPP3R1', 'MAPK9', 'ROCK2', 'FZD3', 'MMP7', 'PPP2CB', 'PPP2R1A', 'PPP2R5D', 'NFATC4', 'SKP1', 'CTBP2', 'FRAT1', 'WNT5A', 'PLCB1', 'DVL3', 'PPARD', 'GSK3B', 'PLCB2', 'MYC', 'CAMK2D', 'RAC1', 'SMAD3', 'NFATC3', 'PRKX', 'CREBBP', 'TBL1XR1', 'PRICKLE1', 'FBXW11', 'CTNNBIP1', 'APC', 'DAAM1', 'FZD7']
KEGG_LYSINE_DEGRADATION	1	0.10625562652720023	1.668306818648303	1.0	27.44	['ACAT1', 'NSD3', 'ASH1L', 'AASDH', 'AASDHPPT', 'KMT5C', 'KMT5A', 'ALDH7A1', 'DOT1L', 'EHMT1', 'BBOX1', 'SETDB1', 'SUV39H2', 'KMT5B', 'SETD1A', 'NSD1', 'SETD1B', 'SETD2', 'SETMAR', 'EHMT2', 'SETDB2']
KEGG_SMALL_CELL_LUNG_CANCER	1	0.1013413268073384	1.6861207558607068	1.0	27.32	['PIAS4', 'PIK3R1', 'LAMC2', 'TRAF4', 'RELA', 'PIAS1', 'CDK2', 'ITGA2', 'ITGA6', 'E2F3', 'LAMB3', 'CASP9', 'PTK2', 'RB1', 'RXRB', 'LAMA3', 'RARB', 'XIAP', 'IKBKB', 'NFKB1', 'TP53', 'TRAF6', 'LAMA1', 'COL4A6', 'FHIT', 'BIRC2', 'LAMA5', 'APAF1', 'CDK4', 'PIAS3', 'TRAF5', 'BCL2L1', 'TRAF2', 'PIK3R2', 'ITGA3']
