pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_COLORECTAL_CANCER	1	0.23850391702081997	1.345813933525988	1.0	73.56	['PIK3R2', 'MSH6', 'MLH1', 'TGFBR1', 'SMAD4', 'RAF1', 'TGFB3', 'MAPK9', 'KRAS', 'MSH2', 'APPL1', 'TGFBR2', 'PIK3CA', 'APC', 'AKT3', 'TCF7L1', 'SMAD2', 'RAC1', 'BAX', 'AKT2', 'LEF1', 'TP53', 'PIK3CD', 'CASP3', 'MSH3', 'BCL2', 'AKT1', 'MAPK8', 'BAD', 'TGFB2', 'BRAF', 'MYC', 'TCF7L2', 'PIK3R3', 'AXIN1', 'MAPK1', 'MAPK10', 'CCND1', 'RAC2', 'PIK3R1', 'TCF7', 'MAP2K1', 'CTNNB1', 'CASP9', 'PIK3CB', 'TGFB1', 'RALGDS', 'RHOA', 'MAPK3', 'SMAD3', 'RAC3', 'ARAF', 'GSK3B']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.23683617146212568	1.3426038762462782	1.0	75.84	['RUNX1', 'SOS1', 'CHUK', 'NFKB1', 'RB1', 'CBLB', 'E2F1', 'TGFBR1', 'SMAD4', 'CRK', 'SOS2', 'RAF1', 'SMAD3', 'IKBKG', 'TGFB3', 'E2F2', 'CBLC', 'KRAS', 'SHC1', 'CBL', 'SHC4', 'SHC2', 'TGFBR2', 'PIK3CA', 'AKT3', 'MDM2', 'BCR', 'AKT2', 'PIK3CD', 'TP53', 'PTPN11', 'HRAS', 'AKT1', 'NRAS', 'BCL2L1', 'BAD', 'TGFB2', 'ARAF', 'GAB2', 'BRAF', 'MYC', 'MAP2K2', 'CTBP1', 'MECOM', 'PIK3R3', 'CDKN1B', 'CDK4', 'MAPK1', 'HDAC2', 'CDK6', 'RELA', 'CRKL', 'CCND1', 'PIK3R1', 'ABL1', 'MAP2K1', 'HDAC1', 'PIK3CB', 'GRB2', 'TGFB1', 'MAPK3', 'CTBP2', 'IKBKB', 'E2F3', 'PIK3R2']
KEGG_P53_SIGNALING_PATHWAY	1	0.21980662467303688	1.3700476082118012	1.0	49.9	['ADGRB1', 'APAF1', 'CDK2', 'PERP', 'FAS', 'BBC3', 'CHEK1', 'CCNB2', 'ATM', 'CASP8', 'SHISA5', 'CCND3', 'MDM2', 'BID', 'CCNB1', 'CD82', 'SIAH1', 'BAX', 'ZMAT3', 'TP53', 'CASP3', 'SFN', 'TNFRSF10B', 'CHEK2', 'ATR', 'MDM4', 'TSC2', 'CCNG2', 'TP53AIP1', 'RCHY1', 'CDK4', 'PIDD1', 'TP73', 'EI24', 'DDB2', 'CDK6', 'CCNE2', 'SERPINB5', 'TP53I3', 'CASP9', 'STEAP3', 'SESN3', 'PPM1D']
KEGG_AXON_GUIDANCE	1	0.2187917328732661	1.3765682903725436	1.0	75.77	['SRGAP2', 'KRAS', 'PLXNA1', 'RAC1', 'CXCR4', 'SEMA3G', 'RASA1', 'NCK1', 'EFNA4', 'SEMA4G', 'GNAI1', 'ROCK1', 'EPHA2', 'ROBO3', 'SEMA4F', 'ABL1', 'UNC5C', 'PLXNB1', 'ARHGEF12', 'UNC5B', 'SEMA4D', 'NRP1', 'PAK6', 'SEMA4B', 'LIMK1', 'EFNB3', 'FYN', 'CFL1', 'PAK4', 'SEMA3A', 'SEMA6C', 'SLIT2', 'PLXNA2', 'SRGAP3', 'NTN1', 'HRAS', 'ABLIM1', 'PAK1', 'SEMA4A', 'EPHA7', 'CDC42', 'NTN4', 'SLIT3', 'FES', 'UNC5A', 'RAC2', 'ABLIM3', 'EPHA4', 'EFNA5', 'PLXNA3', 'RHOA', 'MAPK3', 'EFNA1', 'RAC3', 'EFNA3', 'CFL2', 'EPHA3', 'EFNB2', 'SRGAP1', 'PLXNC1', 'SEMA7A', 'ROBO1', 'SEMA5A', 'RHOD', 'NCK2', 'EPHB3', 'NGEF', 'SEMA3C', 'PPP3CA', 'SEMA6D', 'SEMA3D', 'MAPK1', 'SEMA3E', 'NFATC4', 'ITGB1', 'PLXNB2', 'PLXNB3', 'SEMA6A', 'SEMA4C', 'GSK3B', 'GNAI3', 'LIMK2', 'ABLIM2', 'ROCK2', 'PTK2', 'PAK3', 'GNAI2', 'EPHB6', 'LRRC4C', 'PAK2', 'NFAT5', 'NFATC3', 'SEMA6B', 'NRAS', 'PAK5', 'EFNB1', 'EPHB1', 'RGS3', 'PPP3CB', 'SEMA3F', 'CDK5', 'EPHB4', 'EPHA1']
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	0.2168949625438175	1.3886999861427458	1.0	75.58	['MPI', 'KHK', 'PFKFB1', 'HK2', 'HK3', 'MTMR6', 'SORD', 'PFKFB2', 'HK1', 'PFKP', 'ALDOA', 'MTMR7', 'FPGT', 'PFKM', 'ALDOC', 'PFKFB3', 'FBP1', 'PMM2', 'GMPPB', 'GMPPA', 'PFKFB4', 'PFKL', 'MTMR2', 'PMM1', 'GMDS', 'PHPT1', 'AKR1B1', 'TPI1', 'MTMR1']
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.21480484334782377	1.3857885293646015	1.0	70.05	['GGPS1', 'ACAT1', 'FDPS', 'ACAT2', 'DHDDS', 'HMGCR', 'PMVK', 'MVK', 'MVD', 'IDI2', 'PDSS2', 'IDI1', 'PDSS1', 'HMGCS2', 'HMGCS1']
KEGG_FOCAL_ADHESION	1	0.2141614457714388	1.3972808367670633	1.0	73.56	['ACTN2', 'VASP', 'FLNB', 'ITGA4', 'ERBB2', 'SOS2', 'LAMC3', 'RAF1', 'ITGB8', 'ITGAV', 'COL4A1', 'COL1A2', 'BIRC2', 'RAC1', 'LAMA1', 'HGF', 'AKT2', 'PPP1R12A', 'TNC', 'BCL2', 'PDGFD', 'ARHGAP5', 'AKT1', 'MYL12B', 'THBS3', 'COL4A6', 'BRAF', 'ITGA1', 'ROCK1', 'THBS2', 'COL5A1', 'COL4A4', 'CHAD', 'COL2A1', 'CTNNB1', 'IGF1R', 'LAMA3', 'SHC1', 'SOS1', 'ILK', 'PRKCB', 'PAK6', 'FLNA', 'ITGB7', 'FLT1', 'FLNC', 'ITGB5', 'COL5A2', 'ELK1', 'FYN', 'LAMB1', 'VWF', 'PAK4', 'ACTB', 'PDGFC', 'LAMA2', 'PDGFA', 'HRAS', 'CAV1', 'PARVA', 'MAPK8', 'BAD', 'PAK1', 'VAV1', 'PIK3R3', 'PARVB', 'CDC42', 'DOCK1', 'COL5A3', 'MAPK10', 'PPP1CA', 'RAC2', 'PIK3R1', 'CCND1', 'MAP2K1', 'ITGA6', 'LAMC2', 'ITGB6', 'LAMA4', 'PXN', 'THBS4', 'RAC3', 'RHOA', 'MAPK3', 'VAV3', 'SPP1', 'PDGFRB', 'COL6A3', 'PTEN', 'COL11A2', 'ZYX', 'ITGA10', 'MAPK9', 'ITGA7', 'SHC4', 'SHC2', 'PIK3CA', 'AKT3', 'PIP5K1C', 'LAMC1', 'DIAPH1', 'PGF', 'VAV2', 'PDPK1', 'ITGA2', 'ARHGAP35', 'PIK3CD', 'ITGB4', 'ACTN4', 'PPP1CC', 'COL4A2', 'TLN2', 'MAPK1', 'MYL5', 'ACTG1', 'CRKL', 'COL3A1', 'ITGB1', 'ACTN1', 'GSK3B', 'COL11A1', 'ITGB3', 'ROCK2', 'CRK', 'LAMB2', 'BCAR1', 'PDGFRA', 'PTK2', 'PPP1CB', 'BIRC3', 'PAK3', 'LAMA5', 'SRC', 'CCND3', 'PAK2', 'RASGRF1', 'MYLK', 'IGF1', 'VEGFB', 'PAK5', 'PRKCA', 'ITGA9', 'ITGA3', 'EGFR', 'THBS1', 'COL1A1', 'RELN', 'XIAP', 'PIK3CB', 'GRB2', 'KDR', 'EGF', 'LAMB3', 'CAV2', 'PIK3R2']
KEGG_PROTEIN_EXPORT	1	0.20888147889745617	1.4081828904861984	1.0	34.19	['SEC11C', 'SRP68', 'SEC61A1', 'SRP54', 'SEC61A2', 'SRPRA', 'SPCS1', 'SRPRB', 'HSPA5', 'SEC63', 'SRP72', 'SRP9P1', 'SRP19', 'SPCS3']
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.18970495153701258	1.4380457591927283	1.0	60.74	['GALE', 'GALK2', 'HK2', 'GNPNAT1', 'GALT', 'PGM2', 'CMAS', 'UGP2', 'AMDHD2', 'GALK1', 'GNPDA2', 'HEXB', 'HEXA', 'HK1', 'NANS', 'GNE', 'PGM1', 'FPGT', 'RENBP', 'PMM2', 'GMPPB', 'NAGK', 'GPI', 'UGDH', 'CYB5R3', 'GMDS', 'GNPDA1', 'NANP', 'PGM3', 'GFPT1', 'UXS1', 'GMPPA']
KEGG_GLIOMA	1	0.1857684300432392	1.4535109067776901	1.0	73.56	['PDGFRB', 'SOS1', 'E2F1', 'RB1', 'PRKCB', 'CAMK2B', 'PLCG2', 'PTEN', 'SOS2', 'RAF1', 'PDGFRA', 'E2F2', 'CALM1', 'KRAS', 'SHC1', 'SHC4', 'SHC2', 'PIK3CA', 'AKT3', 'MDM2', 'CALM2', 'IGF1', 'CALML3', 'PDGFA', 'PIK3CD', 'TP53', 'CALM3', 'AKT2', 'HRAS', 'AKT1', 'NRAS', 'PRKCA', 'BRAF', 'CALML5', 'MAP2K2', 'PIK3R3', 'TGFA', 'CDK4', 'MTOR', 'MAPK1', 'EGFR', 'CALML6', 'CAMK2D', 'CDK6', 'PLCG1', 'CCND1', 'PIK3R1', 'MAP2K1', 'IGF1R', 'PIK3CB', 'GRB2', 'EGF', 'MAPK3', 'ARAF', 'E2F3', 'PIK3R2']
